query
"{'hash': 'd2912721e37c3820e35203a817490e0fc1c31ff3', 'query': ""SELECT first_name FROM Students WHERE middle_name != 'John'"", 'template': 'SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# != #VALUE#'}"
"{'hash': '66417bddc2dbaaa5bb310e7f53ad2e309d23ef34', 'query': ""SELECT T1.teacher_id, T2.student_id FROM Teachers AS T1 JOIN Detention AS T2 ON T1.teacher_id = T2.teacher_id WHERE T2.detention_type_code = 'type1' OR T2.detention_type_code BETWEEN 'type2' AND 'type3' OR T2.detention_type_code = (SELECT detention_type_code FROM Ref_Detention_Type WHERE detention_type_description = 'type4') GROUP BY T2.student_id HAVING COUNT(T1.teacher_id) > 1 LIMIT 10"", 'template': ""SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = '#VALUE#' OR #COLUMN# BETWEEN '#VALUE#' AND '#VALUE#' OR #COLUMN# = (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = '#VALUE#') GROUP BY #COLUMN# HAVING COUNT(#COLUMN#) > #VALUE# LIMIT #VALUE#""}"
"{'hash': '846dd77342c9678076b59fb7a8db24bdedf6bb40', 'query': 'SELECT COUNT(DISTINCT T1.first_name) FROM Students AS T1 INNER JOIN Addresses AS T2 ON T1.address_id = T2.address_id WHERE T1.date_first_rental <= T2.zip_postcode', 'template': 'SELECT COUNT(DISTINCT #COLUMN#) FROM #TABLE# AS T1 INNER JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE #COLUMN# <= #COLUMN#'}"
"{'hash': '6082d0ac6c09533a135ac8711dea982cfc25cf3b', 'query': 'SELECT T1.teacher_id FROM Teachers AS T1, Teachers AS T2 WHERE T1.teacher_id != T2.teacher_id GROUP BY T1.teacher_id HAVING MIN(T1.teacher_id) =', 'template': 'SELECT #COLUMN# FROM #TABLE# AS T1, #TABLE# AS T2 WHERE #COLUMN# != #COLUMN# GROUP BY #COLUMN# HAVING MIN(#COLUMN#) ='}"
"{'hash': 'f1c0d6cec56251a74eec6e28932e76271225f4b2', 'query': ""SELECT T1.first_name, T1.last_name, T1.middle_name, T2.first_name, T2.last_name FROM Students AS T1 JOIN Students AS T2 ON T1.student_id = T2.student_id WHERE T1.date_left_university BETWEEN '2020-01-01' AND '2021-12-31' ORDER BY T2.date_first_rental ASC"", 'template': 'SELECT #COLUMN#, #COLUMN#, #COLUMN#, #COLUMN#, #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# ORDER BY #COLUMN# ASC'}"
"{'hash': '167c35555e320d98d4b79c9492daae875a4419cd', 'query': 'SELECT T1.student_id FROM Students AS T1 JOIN Students AS T2 ON T1.student_id = T2.student_id WHERE T1.cell_mobile_number BETWEEN 100 AND 1000 AND NOT EXISTS (SELECT T3.teacher_id FROM Teachers AS T3 WHERE T3.teacher_id = T1.student_id)', 'template': 'SELECT #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# AND NOT EXISTS (SELECT #COLUMN# FROM #TABLE# AS T3 WHERE #COLUMN# = #COLUMN#)'}"
"{'hash': 'ddc52e1127ccf376cc676bd7b38a5f74ff43598c', 'query': 'SELECT COUNT(student_id), COUNT(DISTINCT detention_id) FROM Students_in_Detention', 'template': 'SELECT COUNT(#COLUMN#), COUNT(DISTINCT #COLUMN#) FROM #TABLE#'}"
"{'hash': '193feb7e53c35c6dd2c96f3d3c3a39db8f498904', 'query': 'SELECT T1.last_name FROM Students AS T1 JOIN Student_Addresses AS T2 ON T1.student_id = T2.student_id WHERE T2.monthly_rental <= 100 LIMIT 5', 'template': 'SELECT #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE #COLUMN# <= #VALUE# LIMIT #VALUE#'}"
"{'hash': '09f7304a2061f45d8a1b169685796c68ebd33d58', 'query': ""SELECT T1.first_name FROM Students AS T1 WHERE T1.cell_mobile_number = '1234567890' OR T1.email_address = 'student@example.com' OR EXISTS (SELECT 1 FROM Student_Addresses AS T2 WHERE T2.student_id = T1.student_id AND T2.date_address_to IS NULL) ORDER BY T1.date_first_rental DESC"", 'template': 'SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #VALUE# OR #COLUMN# = #VALUE# OR EXISTS (SELECT 1 FROM #TABLE# WHERE #COLUMN# = #COLUMN# AND #COLUMN# IS NULL) ORDER BY #COLUMN# DESC'}"
"{'hash': '60c80fb16b5eb7f6aa3fb416f130e20d9f58999f', 'query': ""SELECT * FROM Ref_Incident_Type WHERE incident_type_code != 'IT001' ORDER BY incident_type_description ASC"", 'template': 'SELECT * FROM #TABLE# WHERE #COLUMN# != #VALUE# ORDER BY #COLUMN# ASC'}"
"{'hash': '19a0da553000735a022bb99e0bfa3e9b90d704b1', 'query': 'SELECT T1.student_id FROM Students AS T1 JOIN Student_Addresses AS T2 ON T1.student_id = T2.student_id WHERE T2.monthly_rental > 1000 ORDER BY T1.student_id ASC', 'template': 'SELECT #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# > #VALUE# ORDER BY #COLUMN# ASC'}"
"{'hash': 'f1f823b3796f5e41d53d8ff18cc5371d51df9f46', 'query': 'SELECT T1.student_id, T2.address_id FROM Students AS T1 JOIN Addresses AS T2 ON T1.address_id = T2.address_id WHERE T1.student_id < 100', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE #COLUMN# < #VALUE#'}"
"{'hash': '54b87308a4c4eaa949803873cc5e35c743325476', 'query': ""SELECT T1.teacher_id FROM Teachers AS T1 JOIN Detention AS T2 ON T1.teacher_id = T2.teacher_id WHERE T1.gender = 'Male' AND T2.detention_type_code = 'Major' AND T2.teacher_id NOT IN (SELECT teacher_id FROM Detention WHERE detention_type_code = 'Minor') GROUP BY T2.teacher_id HAVING AVG(T2.datetime_detention_end) > '2022-01-01'"", 'template': 'SELECT #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# AND #COLUMN# = #VALUE# AND #COLUMN# NOT IN (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #VALUE#) GROUP BY #COLUMN# HAVING AVG(#COLUMN#) > #VALUE#'}"
