query
"{'hash': 'c36a25b47a6ee29753bc8fce9975cd94aae8ebf1', 'query': 'SELECT T1.Fname FROM employee AS T1 JOIN works_on AS T2 ON T1.Ssn = T2.Essn', 'template': 'SELECT #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN#'}"
"{'hash': 'c1e6c99162d8b045a8c9fe58797746f6c646c8a8', 'query': ""SELECT COUNT(DISTINCT T1.Ssn), T1.Salary FROM employee AS T1 WHERE T1.Salary > 50000 OR T1.Dno IN (SELECT T2.Dnumber FROM department AS T2 WHERE T2.Dname = 'Research') ORDER BY T1.Salary ASC"", 'template': 'SELECT COUNT(DISTINCT #COLUMN#), #COLUMN# FROM #TABLE# WHERE #COLUMN# > #VALUE# OR #COLUMN# IN (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #VALUE#) ORDER BY #COLUMN# ASC'}"
"{'hash': 'a179d83b317df8a4d0b133a05e7db0ffc54f1895', 'query': ""SELECT Fname, Lname, Salary FROM employee WHERE Salary <= 50000 AND Sex = 'M'"", 'template': 'SELECT #COLUMN#, #COLUMN#, #COLUMN# FROM #TABLE# WHERE #COLUMN# <= #VALUE# AND #COLUMN# = #VALUE#'}"
"{'hash': '3687d37e7b03c0e4a144942c4091209659bca2a5', 'query': 'SELECT Lname, Salary FROM employee WHERE Salary BETWEEN 50000 AND 100000 ORDER BY Salary DESC', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# ORDER BY #COLUMN# DESC'}"
"{'hash': 'af9b03483cac6b49172394671c8e0a5805ab2c35', 'query': 'SELECT T1.Lname, T2.Pname FROM employee AS T1 JOIN project AS T2 ON T1.Dno = T2.Dnum WHERE T1.Salary = 10000 ORDER BY T2.Pnumber DESC', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# ORDER BY #COLUMN# DESC'}"
"{'hash': 'f0e8ab2e2b5c14800d99ef402569301dc6efb3d9', 'query': ""SELECT T1.Fname, COUNT(T2.Pno) FROM employee AS T1 JOIN works_on AS T2 ON T1.Ssn = T2.Essn WHERE T1.Salary > 50000 AND EXISTS (SELECT T3.Pnumber FROM project AS T3 WHERE T3.Pnumber = T2.Pno AND T3.Pname = 'ProjectX')"", 'template': 'SELECT #COLUMN#, COUNT(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# > #VALUE# AND EXISTS (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #COLUMN# AND #COLUMN# = #VALUE#)'}"
"{'hash': '918eeb3992b4cb4f41366a180d04294c43c15450', 'query': 'SELECT COUNT(DISTINCT T1.Ssn), T2.Pname FROM employee AS T1 JOIN works_on AS T2 ON T1.Ssn = T2.Essn JOIN project AS T3 ON T2.Pno = T3.Pnumber WHERE T3.Dnum = 5', 'template': 'SELECT COUNT(DISTINCT #COLUMN#), #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE#'}"
"{'hash': '3c9db207144e7b76defb3f8b7df2302f901716c8', 'query': 'SELECT T1.Dname, AVG(T2.Salary), SUM(T3.Hours) FROM department AS T1 JOIN employee AS T2 ON T1.Mgr_ssn = T2.Ssn JOIN works_on AS T3 ON T2.Ssn = T3.Essn WHERE T2.Salary >= 50000 ORDER BY T1.Dname ASC', 'template': 'SELECT #COLUMN#, AVG(#COLUMN#), SUM(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# >= #VALUE# ORDER BY #COLUMN# ASC'}"
"{'hash': 'aaf767bd48ca59b56cda08c230f721d3465ae02b', 'query': 'SELECT COUNT(DISTINCT T1.Essn), SUM(T2.Hours) FROM employee AS T1 JOIN works_on AS T2 ON T1.Ssn = T2.Essn WHERE T2.Hours <= 20', 'template': 'SELECT COUNT(DISTINCT #COLUMN#), SUM(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# <= #VALUE#'}"
"{'hash': 'cafe93703522ad57cdf2c2f8c2425216325ac7b4', 'query': 'SELECT Lname FROM employee WHERE Ssn IN (SELECT Essn FROM works_on GROUP BY Essn HAVING MIN(Hours) > 5)', 'template': 'SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# IN (SELECT #COLUMN# FROM #TABLE# GROUP BY #COLUMN# HAVING MIN(#COLUMN#) > #VALUE#)'}"
"{'hash': '569981bce861050eec77ac0e41343df62b9dcf9d', 'query': ""SELECT T1.Dname, COUNT(T1.Dnumber) FROM department AS T1 JOIN project AS T2 ON T1.Dnumber = T2.Dnum WHERE T1.Dname != 'Research' LIMIT 5"", 'template': 'SELECT #COLUMN#, COUNT(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# != #VALUE# LIMIT #VALUE#'}"
"{'hash': '517e822b3d48f1eda3561f83bcf0265b2a90e0ea', 'query': 'SELECT COUNT(T1.Pno) FROM works_on AS T1 JOIN project AS T2 ON T1.Pno = T2.Pnumber', 'template': 'SELECT COUNT(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN#'}"
"{'hash': '79c8ccd2532a65f090a6c627f10b08c8ab36e0f0', 'query': 'SELECT T1.Fname, T2.Pnumber FROM employee AS T1 JOIN works_on AS T2 ON T1.Ssn = T2.Essn WHERE EXISTS (SELECT 1 FROM project AS T3 WHERE T3.Pnumber = T2.Pno AND T3.Dnum = 5) LIMIT 10', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE EXISTS (SELECT 1 FROM #TABLE# WHERE #COLUMN# = #COLUMN# AND #COLUMN# = #VALUE#) LIMIT #VALUE#'}"
"{'hash': '9c853ec8d129239590a930303cd9e4006b5b9869', 'query': ""SELECT COUNT(DISTINCT Pno), COUNT(DISTINCT Essn), COUNT(DISTINCT Hours) FROM works_on WHERE NOT EXISTS (SELECT 1 FROM dependent WHERE dependent.Essn = works_on.Essn AND dependent.Sex = 'M') OR Pno BETWEEN 1 AND 10 GROUP BY COUNT(DISTINCT Hours) HAVING AVG(Hours) > 10 ORDER BY COUNT(DISTINCT Essn) DESC"", 'template': 'SELECT COUNT(DISTINCT #COLUMN#), COUNT(DISTINCT #COLUMN#), COUNT(DISTINCT #COLUMN#) FROM #TABLE# WHERE NOT EXISTS (SELECT 1 FROM #TABLE# WHERE #COLUMN# = #COLUMN# AND #COLUMN# = #VALUE#) OR #COLUMN# BETWEEN #VALUE# AND #VALUE# GROUP BY COUNT(DISTINCT #COLUMN#) HAVING AVG(#COLUMN#) > #VALUE# ORDER BY COUNT(DISTINCT #COLUMN#) DESC'}"
"{'hash': '41d5cb32d5d831b3c575413cd0745d44a7586a81', 'query': 'SELECT E.Lname, W.Hours FROM employee AS E JOIN works_on AS W ON E.Ssn = W.Essn WHERE W.Hours > 5 ORDER BY W.Hours DESC LIMIT 10', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# > #VALUE# ORDER BY #COLUMN# DESC LIMIT #VALUE#'}"
