query
"{'hash': '28250259973d84d4cbc8111f3fad19fbbbc4dc83', 'query': 'SELECT bname, SUM(no_of_customers) FROM bank WHERE no_of_customers < 100 GROUP BY bname ORDER BY no_of_customers ASC', 'template': 'SELECT #COLUMN#, SUM(#COLUMN#) FROM #TABLE# WHERE #COLUMN# < #VALUE# GROUP BY #COLUMN# ORDER BY #COLUMN# ASC'}"
"{'hash': 'af2b8fc2b9d68f4799da8390b91aa8ff22abeda1', 'query': ""SELECT COUNT(acc_type), cust_name FROM customer WHERE credit_score > 700 AND acc_bal BETWEEN 1000 AND 5000 AND state = 'CA' GROUP BY cust_name HAVING COUNT(acc_type) > 1 LIMIT 10"", 'template': ""SELECT COUNT(#COLUMN#), #COLUMN# FROM #TABLE# WHERE #COLUMN# > #VALUE# AND #COLUMN# BETWEEN #VALUE# AND #VALUE# AND #COLUMN# = '#VALUE#' GROUP BY #COLUMN# HAVING COUNT(#COLUMN#) > #VALUE# LIMIT #VALUE#""}"
"{'hash': '21ead6a2d23e362c269bcbeaf1d80c211e723ca7', 'query': 'SELECT COUNT(branch_ID), AVG(no_of_customers) FROM bank LIMIT 10', 'template': 'SELECT COUNT(#COLUMN#), AVG(#COLUMN#) FROM #TABLE# LIMIT #VALUE#'}"
"{'hash': 'f01476b03baf3fffa37215137c15d5bbacbee234', 'query': ""SELECT COUNT(DISTINCT T1.cust_ID), T1.cust_name FROM customer AS T1 WHERE T1.acc_type = 'Checking' AND T1.acc_bal BETWEEN 1000 AND 5000 AND T1.no_of_loans > 2 LIMIT 10"", 'template': ""SELECT COUNT(DISTINCT #COLUMN#), #COLUMN# FROM #TABLE# AS  WHERE #COLUMN# = '#VALUE#' AND #COLUMN# BETWEEN #VALUE# AND #VALUE# AND #COLUMN# > #VALUE# LIMIT #VALUE#""}"
"{'hash': '1059f2bad121238b7034ab9e8a21fd8d2324f829', 'query': 'SELECT T1.bname, SUM(T2.amount) FROM bank AS T1 JOIN loan AS T2 ON T1.branch_ID = T2.branch_ID GROUP BY T1.bname HAVING SUM(T2.amount) > 100000 ORDER BY SUM(T2.amount) DESC', 'template': 'SELECT #COLUMN#, SUM(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# GROUP BY #COLUMN# HAVING SUM(#COLUMN#) > #VALUE# ORDER BY SUM(#COLUMN#) DESC'}"
"{'hash': '0788d8e5dd3f0a8bd45116cad52954f47cb971d3', 'query': ""SELECT cust_name, acc_type FROM customer WHERE acc_type = 'checking' AND state = 'New York' ORDER BY cust_name ASC"", 'template': ""SELECT #COLUMN#, #COLUMN# FROM #TABLE# WHERE #COLUMN# = '#VALUE#' AND #COLUMN# = '#VALUE#' ORDER BY #COLUMN# ASC""}"
"{'hash': '302ede7f4a117285323a05b88d84addbfed706ae', 'query': 'SELECT COUNT(DISTINCT branch_ID), MAX(no_of_customers) FROM bank', 'template': 'SELECT COUNT(DISTINCT #COLUMN#), MAX(#COLUMN#) FROM #TABLE#'}"
"{'hash': '17debf43c8ad43eb7e5e80ed81852b2fcc175818', 'query': ""SELECT COUNT(DISTINCT T2.cust_name), COUNT(DISTINCT T2.cust_ID), T2.state FROM bank AS T1 JOIN customer AS T2 ON T1.branch_ID = T2.branch_ID WHERE T2.acc_type = 'Savings' OR T2.no_of_loans BETWEEN 1 AND 5 OR EXISTS (SELECT 1 FROM loan AS T3 WHERE T3.cust_ID = T2.cust_ID)"", 'template': ""SELECT COUNT(DISTINCT #COLUMN#), COUNT(DISTINCT #COLUMN#), #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = '#VALUE#' OR #COLUMN# BETWEEN #VALUE# AND #VALUE# OR EXISTS (SELECT 1 FROM #TABLE# WHERE #COLUMN# = #COLUMN#)""}"
"{'hash': 'a0542619b95763606aacbe57d310001fb2089be1', 'query': 'SELECT T1.bname, SUM(T2.acc_bal), COUNT(T3.loan_ID) FROM bank AS T1 JOIN customer AS T2 ON T1.branch_ID = T2.branch_ID JOIN loan AS T3 ON T2.cust_ID = T3.cust_ID WHERE T2.acc_bal BETWEEN 1000 AND 10000 LIMIT 10', 'template': 'SELECT #COLUMN#, SUM(#COLUMN#), COUNT(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# LIMIT #VALUE#'}"
"{'hash': 'dd592e1530c2d8fe7c1d68e75395c183012ad920', 'query': ""SELECT T1.branch_ID, T2.cust_ID FROM bank AS T1 JOIN customer AS T2 ON T1.branch_ID = T2.branch_ID JOIN loan AS T3 ON T2.cust_ID = T3.cust_ID WHERE T1.no_of_customers = 1000 AND T2.acc_type = 'current' ORDER BY T1.branch_ID ASC"", 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# AND #COLUMN# = #VALUE# ORDER BY #COLUMN# ASC'}"
"{'hash': '1257e09f15e8118394b54850439e63b15e0b39ef', 'query': 'SELECT T1.branch_ID, COUNT(DISTINCT T2.cust_ID) FROM bank AS T1 JOIN customer AS T2 ON T1.branch_ID = T2.branch_ID WHERE T2.no_of_loans >= 2', 'template': 'SELECT #COLUMN#, COUNT(DISTINCT #COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# >= #VALUE#'}"
"{'hash': 'd2144dc29277504cfe52c8b0da3cad0de292cca3', 'query': 'SELECT T1.branch_ID, T2.cust_name, T3.amount FROM bank AS T1 JOIN customer AS T2 ON T1.branch_ID = T2.branch_ID JOIN loan AS T3 ON T2.cust_ID = T3.cust_ID WHERE T3.amount BETWEEN 1000 AND 5000 LIMIT 10', 'template': 'SELECT #COLUMN#, #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# LIMIT #VALUE#'}"
"{'hash': 'b5fdd63c7aa3ffb273be3dbb152b09b3dd8f8859', 'query': 'SELECT T1.cust_name, SUM(T2.amount) FROM customer AS T1 JOIN loan AS T2 ON T1.cust_ID = T2.cust_ID WHERE T1.no_of_loans > 2 OR T1.credit_score < 500 OR T1.branch_ID NOT IN (SELECT branch_ID FROM bank) ORDER BY T1.cust_name ASC', 'template': 'SELECT #COLUMN#, SUM(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# > #VALUE# OR #COLUMN# < #VALUE# OR #COLUMN# NOT IN (SELECT #COLUMN# FROM #TABLE#) ORDER BY #COLUMN# ASC'}"
"{'hash': '9d2701ab143a4e57f205a6039344dde750434d6a', 'query': 'SELECT T1.branch_ID FROM bank AS T1 WHERE T1.no_of_customers BETWEEN 100 AND 500 LIMIT 10', 'template': 'SELECT #COLUMN# FROM #TABLE# AS T1 WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# LIMIT #VALUE#'}"
"{'hash': '7e66ec8659cc81cfd6a00f1c26cb7a3bae0c09fd', 'query': 'SELECT T1.branch_ID, COUNT(T1.cust_ID) FROM customer AS T1 JOIN bank AS T2 ON T1.branch_ID = T2.branch_ID WHERE T1.credit_score > 500 ORDER BY T1.branch_ID ASC', 'template': 'SELECT #COLUMN#, COUNT(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# > #VALUE# ORDER BY #COLUMN# ASC'}"
"{'hash': 'c9a9131636bb7c1337fcd2564951de527416aaf1', 'query': ""SELECT bname FROM bank WHERE state = 'NY' AND branch_ID NOT IN (SELECT branch_ID FROM customer WHERE acc_type = 'Savings')"", 'template': 'SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #VALUE# AND #COLUMN# NOT IN (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #VALUE#)'}"
