sql,hardness
SELECT AVG(T1.Price) FROM publication AS T1 JOIN book AS T2 ON T1.Book_ID = T2.Book_ID WHERE T1.Publication_Date <= '2000-01-01',medium
SELECT T1.Title FROM book AS T1 JOIN publication AS T2 ON T1.Book_ID = T2.Book_ID WHERE T2.Publisher = 'ABC' AND T2.Publication_Date > '2000' AND T1.Issues BETWEEN 1 AND 10 ORDER BY T1.Title ASC LIMIT 10,extra
SELECT COUNT (DISTINCT Title) FROM book WHERE Issues BETWEEN 1 AND 10 OR Writer = 'Author1',medium
"SELECT T1.Title, COUNT(DISTINCT T2.Publisher) FROM book AS T1 JOIN publication AS T2 ON T1.Book_ID = T2.Book_ID WHERE T2.Price < 50 GROUP BY T1.Title ORDER BY T1.Title DESC LIMIT 10",extra
SELECT T1.Title FROM book AS T1 JOIN publication AS T2 ON T1.Book_ID = T2.Book_ID WHERE T2.Price > 20 ORDER BY T1.Writer ASC LIMIT 10,extra
"SELECT Title, COUNT(Publication_ID) FROM book AS T1 JOIN publication AS T2 ON T1.Book_ID = T2.Book_ID GROUP BY T1.Title",medium
"SELECT COUNT(DISTINCT T1.Title), T2.Publisher FROM book AS T1 JOIN publication AS T2 ON T1.Book_ID = T2.Book_ID WHERE T1.Issues > 10 OR T2.Publication_Date BETWEEN '2020-01-01' AND '2020-12-31' OR T2.Price < 20 ORDER BY T1.Title DESC LIMIT 10",extra
"SELECT T1.Title, T2.Publisher FROM book AS T1 JOIN publication AS T2 ON T1.Book_ID = T2.Book_ID JOIN publication AS T3 ON T2.Book_ID = T3.Book_ID WHERE T2.Publisher = 'Publisher1' AND T1.Writer = 'Writer1' AND T3.Price > (SELECT AVG(Price) FROM publication) ORDER BY T1.Title ASC LIMIT 10",extra
"SELECT Publisher, Title FROM publication AS T1 INNER JOIN book AS T2 ON T1.Book_ID = T2.Book_ID WHERE Publication_Date > '1990' ORDER BY Publication_ID DESC LIMIT 10",extra
"SELECT T1.Title, T2.Title FROM book AS T1 JOIN book AS T2 ON T1.Book_ID <= T2.Book_ID",medium
SELECT * FROM publication WHERE NOT EXISTS (SELECT 1 FROM book WHERE publication.Book_ID = book.Book_ID AND book.Issues = 1 AND publication.Price > 10),hard
"SELECT COUNT(DISTINCT Publisher), COUNT(Book_ID) FROM publication WHERE Publication_Date = (SELECT MAX(Publication_Date) FROM publication) ORDER BY Price DESC",extra
SELECT T1.Publisher FROM publication AS T1 JOIN publication AS T2 ON T1.Publication_ID = T2.Publication_ID WHERE T1.Price NOT IN (SELECT Price FROM publication WHERE Publication_Date = '2000') ORDER BY T1.Price DESC,extra
"SELECT COUNT(DISTINCT Publisher), Title FROM publication AS T1 JOIN book AS T2 ON T1.Book_ID = T2.Book_ID WHERE Publication_Date BETWEEN '1990' AND '2000'",medium
SELECT Publisher FROM publication WHERE Publication_Date <= '1999-01-01' AND Price <= 30.00,medium
"SELECT T1.Title, SUM(T2.Price) FROM book AS T1 JOIN publication AS T2 ON T1.Book_ID = T2.Book_ID JOIN publication AS T3 ON T2.Book_ID = T3.Book_ID WHERE T2.Publication_Date <= '2000' GROUP BY T1.Title LIMIT 10",extra
SELECT COUNT(DISTINCT T1.Publisher) FROM publication AS T1 WHERE T1.Price > (SELECT COUNT(DISTINCT T2.Writer) FROM book AS T2) LIMIT 5,extra
SELECT Publisher FROM publication WHERE Publication_Date < '2000' ORDER BY Publisher DESC,medium
"SELECT COUNT(DISTINCT T2.Title), T1.Publisher FROM publication AS T1 JOIN book AS T2 ON T1.Book_ID = T2.Book_ID WHERE T2.Issues > 5 OR T1.Publication_Date BETWEEN '2000-01-01' AND '2020-12-31' OR T1.Price < 20 ORDER BY T1.Price DESC",extra
SELECT Title FROM book AS T1 JOIN publication AS T2 ON T1.Book_ID = T2.Book_ID WHERE T2.Price > 100 LIMIT 5,hard
"SELECT T1.Title, COUNT(T2.Publication_ID) FROM book AS T1 JOIN publication AS T2 ON T1.Book_ID = T2.Book_ID WHERE T1.Issues > 20 OR T2.Publication_Date BETWEEN '2010' AND '2015' OR T1.Book_ID IN (SELECT Book_ID FROM publication WHERE Price = 100)",extra
"SELECT COUNT(DISTINCT Title), SUM(Price) FROM publication AS T1 JOIN book AS T2 ON T1.Book_ID = T2.Book_ID WHERE Publisher != 'ABC' GROUP BY Title",hard
"SELECT Title, SUM(Price) FROM book AS T1 JOIN publication AS T2 ON T1.Book_ID = T2.Book_ID WHERE T2.Publication_Date BETWEEN '2000-01-01' AND '2010-12-31' AND T1.Issues < 10 GROUP BY Title ORDER BY SUM(Price) DESC LIMIT 10",extra
SELECT AVG(Price) FROM publication WHERE Publication_Date BETWEEN '2020-01-01' AND '2020-12-31' OR Publisher = 'ABC' ORDER BY Publication_ID DESC LIMIT 10,extra
SELECT MAX(Price) FROM Publication WHERE Price = 10 LIMIT 5,medium
SELECT T1.Title FROM book AS T1 JOIN publication AS T2 ON T1.Book_ID = T2.Book_ID WHERE T2.Publisher = 'ABC' AND T2.Publication_Date < '2020-01-01' AND T1.Writer NOT IN (SELECT T3.Writer FROM book AS T3 WHERE T3.Issues > 10) LIMIT 10,extra
