sql,hardness
"SELECT T1.Document_Type_Name, COUNT(T2.Document_ID), SUM(T3.Document_Details) FROM Ref_Document_Types AS T1 JOIN Documents AS T2 ON T1.Document_Type_Code = T2.Document_Type_Code JOIN Documents_with_Expenses AS T3 ON T2.Document_ID = T3.Document_ID WHERE T2.Document_Date >= '2020-01-01' GROUP BY T1.Document_Type_Name",extra
SELECT Document_Type_Name FROM Ref_Document_Types WHERE Document_Type_Name >= 'A' AND Document_Type_Description >='A',medium
SELECT T1.Document_Type_Name FROM Ref_Document_Types AS T1 WHERE T1.Document_Type_Code IN (SELECT T2.Document_Type_Code FROM Documents AS T2 WHERE T2.Project_ID = 1) AND T1.Document_Type_Code = 'code1',extra
"SELECT T1.Document_ID, T2.Document_Type_Name FROM Documents AS T1 JOIN Ref_Document_Types AS T2 ON T1.Document_Type_Code = T2.Document_Type_Code WHERE EXISTS (SELECT 1 FROM Documents_with_Expenses AS T3 WHERE T3.Document_ID = T1.Document_ID AND T3.Budget_Type_Code = 'Type1')",extra
SELECT MAX(Document_ID) FROM Documents WHERE Document_Type_Code >= 'A',easy
"SELECT SUM(Document_ID), COUNT(Document_Type_Code) FROM Documents WHERE Document_Date BETWEEN '2000-01-01' AND '2020-12-31' LIMIT 10",extra
SELECT COUNT(Document_ID) FROM Documents WHERE Document_Type_Code = 'Type1' LIMIT 10,medium
SELECT T1.Document_Type_Name FROM Ref_Document_Types AS T1 JOIN Ref_Document_Types AS T2 ON T1.Document_Type_Code = T2.Document_Type_Code WHERE T1.Document_Type_Name BETWEEN 'A' AND 'Z' OR T2.Document_Type_Name NOT IN (SELECT Document_Type_Name FROM Ref_Document_Types WHERE Document_Type_Description = 'Test') OR T1.Document_Type_Name NOT IN (SELECT Document_Type_Name FROM Ref_Document_Types WHERE Document_Type_Description = 'Test'),extra
SELECT Document_Type_Code FROM Ref_Document_Types WHERE NOT EXISTS (SELECT 1 FROM Documents_with_Expenses WHERE Documents_with_Expenses.Document_ID = 1) LIMIT 10,extra
SELECT T1.Document_Type_Name FROM Ref_Document_Types AS T1 JOIN Documents AS T2 ON T1.Document_Type_Code = T2.Document_Type_Code WHERE T2.Document_Date BETWEEN '2020-01-01' AND '2020-12-31' AND EXISTS (SELECT 1 FROM Documents_with_Expenses AS T3 WHERE T3.Document_ID = T2.Document_ID AND T3.Budget_Type_Code = 'Budget_Code_1'),extra
"SELECT COUNT(T1.Document_ID), SUM(T1.Document_ID), COUNT(T2.Project_ID) FROM Documents AS T1 JOIN Projects AS T2 ON T1.Project_ID = T2.Project_ID JOIN Ref_Document_Types AS T3 ON T1.Document_Type_Code = T3.Document_Type_Code ORDER BY T1.Document_ID ASC LIMIT 5",extra
SELECT COUNT(DISTINCT T1.Document_Type_Name) FROM Ref_Document_Types AS T1 JOIN Documents AS T2 ON T1.Document_Type_Code = T2.Document_Type_Code WHERE T2.Project_ID = 10 AND T2.Document_Date BETWEEN '2020-01-01' AND '2020-12-31' AND T1.Document_Type_Description = 'Type A',medium
"SELECT T1.Document_Type_Name, MIN(T2.Document_Date) FROM Ref_Document_Types AS T1 JOIN Documents AS T2 ON T1.Document_Type_Code = T2.Document_Type_Code WHERE NOT EXISTS (SELECT 1 FROM Projects AS T3 WHERE T3.Project_ID = T2.Project_ID AND T3.Project_Details = ' cancelled') GROUP BY T1.Document_Type_Name",extra
"SELECT COUNT(DISTINCT Document_Type_Name), Document_Type_Description FROM Ref_Document_Types",medium
"SELECT COUNT(T1.Document_ID), SUM(T2.Document_Type_Description) FROM Documents AS T1 JOIN Ref_Document_Types AS T2 ON T1.Document_Type_Code = T2.Document_Type_Code WHERE T1.Project_ID = 123 AND T1.Document_Date BETWEEN '2020-01-01' AND '2020-12-31' AND T1.Document_Name = 'Example' ORDER BY T1.Document_Date ASC LIMIT 10",extra
"SELECT Document_Type_Name, MAX(Document_Type_Description) FROM Ref_Document_Types WHERE Document_Type_Code BETWEEN 'X' AND 'Y' GROUP BY Document_Type_Name LIMIT 10",hard
"SELECT T1.Document_ID, T2.Document_Type_Name FROM Documents AS T1 JOIN Ref_Document_Types AS T2 ON T1.Document_Type_Code = T2.Document_Type_Code WHERE T2.Document_Type_Name = 'Report' OR T2.Document_Type_Name = 'Letter' AND T2.Document_Type_Code NOT IN (SELECT T3.Document_Type_Code FROM Ref_Document_Types AS T3 WHERE T3.Document_Type_Name = 'Invoice') ORDER BY T1.Document_ID DESC",extra
SELECT COUNT(DISTINCT Document_Type_Code) FROM Documents WHERE Document_Date BETWEEN '2020-01-01' AND '2020-12-31' AND Project_ID = 1 ORDER BY Document_ID DESC LIMIT 10,hard
"SELECT T1.Document_Type_Name, COUNT(T2.Document_ID) FROM Ref_Document_Types AS T1 JOIN Documents AS T2 ON T1.Document_Type_Code = T2.Document_Type_Code WHERE T2.Document_ID NOT IN (SELECT T3.Document_ID FROM Documents_with_Expenses AS T3 WHERE T3.Budget_Type_Code = 'type1') ORDER BY T1.Document_Type_Name DESC LIMIT 10",extra
"SELECT T1.Document_Type_Name, T2.Document_Name, T3.Project_Details FROM Ref_Document_Types AS T1 JOIN Documents AS T2 ON T1.Document_Type_Code = T2.Document_Type_Code JOIN Projects AS T3 ON T2.Project_ID = T3.Project_ID WHERE T2.Document_Date <= '2020-01-01'",hard
"SELECT MAX(Document_ID) , MIN(Project_ID) FROM Documents WHERE Document_Type_Code <= ' Code '",medium
SELECT * FROM Documents WHERE Project_ID BETWEEN 100 AND 200,easy
SELECT Document_Type_Name FROM Ref_Document_Types WHERE Document_Type_Code = 'D001' AND Document_Type_Description != 'Type 1' AND Document_Type_Description NOT IN (SELECT Document_Type_Description FROM Ref_Document_Types WHERE Document_Type_Code = 'D002') LIMIT 5,extra
