sql,hardness
SELECT product_name FROM Products WHERE product_price <= 1000,easy
SELECT * FROM Products WHERE product_price BETWEEN 100 AND 200 OR product_price > (SELECT AVG(product_price) FROM Products),extra
SELECT COUNT(customer_id) FROM Customers WHERE payment_method_code = 'Credit Card',easy
SELECT product_price FROM Products WHERE product_price > 100 ORDER BY product_price DESC,medium
"SELECT product_name, MIN(product_price) FROM Products GROUP BY product_name LIMIT 10",medium
"SELECT COUNT(T1.product_id), T1.product_name FROM Products AS T1 WHERE T1.product_price BETWEEN 10 AND 20 LIMIT 10",medium
SELECT MAX(T1.product_price) FROM Products AS T1 WHERE T1.product_type_code = 'A',easy
SELECT customer_name FROM Customers WHERE customer_address = '123 Main St',easy
SELECT product_name FROM Products WHERE MIN(product_price) BETWEEN 10 AND 50 GROUP BY product_name ORDER BY product_price ASC,hard
"SELECT product_type_code, COUNT(product_name), MAX(product_price) FROM Products WHERE product_name != 'Product1'",medium
"SELECT T.product_name, AVG(T.product_price) FROM ( SELECT product_name, product_price FROM Products WHERE product_price <= 10000 ) T GROUP BY T.product_name",medium
"SELECT AVG(T1.product_price), SUM(T2.order_quantity) FROM Products AS T1 JOIN Order_Items AS T2 ON T1.product_id = T2.product_id WHERE T1.product_name != 'Product_1'",extra
"SELECT T1.customer_name, SUM(T3.order_quantity) FROM Customers AS T1 JOIN Customer_Address_History AS T2 ON T1.customer_id = T2.customer_id JOIN Order_Items AS T3 ON T2.customer_id = T3.order_id WHERE T2.customer_id NOT IN (SELECT T4.customer_id FROM Customer_Address_History AS T4 JOIN Addresses AS T5 ON T4.address_id = T5.address_id WHERE T5.city = 'New York') GROUP BY T1.customer_name ORDER BY T1.customer_name ASC",extra
"SELECT COUNT(DISTINCT T1.customer_id), COUNT(T1.order_id) FROM Customer_Orders AS T1 JOIN Order_Items AS T2 ON T1.order_id = T2.order_id WHERE T1.order_id BETWEEN 1 AND 100 OR T1.customer_id IN (SELECT customer_id FROM Customers WHERE customer_number = '12345') OR T2.product_id > 500 LIMIT 10",extra
"SELECT COUNT(DISTINCT T1.order_id) , COUNT(DISTINCT T2.order_id) , T1.order_id FROM Customer_Orders AS T1 JOIN Customer_Orders AS T2 ON T1.order_date = T2.order_date WHERE T1.order_id > T2.order_id ORDER BY T1.order_id DESC",hard
"SELECT T1.product_name, T2.order_quantity FROM Products AS T1 JOIN Order_Items AS T2 ON T1.product_id = T2.product_id WHERE T1.product_price BETWEEN 10 AND 100 AND T2.order_quantity > 5 ORDER BY T1.product_price DESC",hard
SELECT product_name FROM Products WHERE product_price >= 50 LIMIT 10,medium
SELECT T1.product_name FROM Products AS T1 JOIN Order_Items AS T2 ON T1.product_id = T2.product_id WHERE T2.order_quantity != 0 ORDER BY T1.product_name ASC,hard
SELECT T1.customer_name FROM Customers AS T1 WHERE T1.customer_id NOT IN (SELECT T2.customer_id FROM Customer_Address_History AS T2),hard
SELECT product_id FROM Products WHERE product_price = 100 AND product_type_code = 1 AND product_name = 'Product 1',medium
SELECT SUM(T1.product_price) FROM Products AS T1 WHERE T1.product_id = 1 AND EXISTS (SELECT T2.order_id FROM Customer_Orders AS T2 WHERE T2.customer_id = 1),extra
SELECT COUNT(DISTINCT T4.product_name) FROM Customers AS T1 JOIN Customer_Orders AS T2 ON T1.customer_id = T2.customer_id JOIN Order_Items AS T3 ON T2.order_id = T3.order_id JOIN Products AS T4 ON T3.product_id = T4.product_id WHERE T1.customer_name != 'ABC Inc.' GROUP BY T1.customer_name ORDER BY COUNT(DISTINCT T4.product_name) DESC LIMIT 10,extra
SELECT T1.line_1_number_building FROM Addresses AS T1 WHERE T1.city != 'New York' ORDER BY T1.zip_postcode DESC LIMIT 10,hard
SELECT T1.product_name FROM Products AS T1 JOIN Order_Items AS T2 ON T1.product_id = T2.product_id JOIN Customer_Orders AS T3 ON T2.order_id = T3.order_id WHERE T3.order_date > (SELECT order_date FROM Customer_Orders ORDER BY order_date DESC LIMIT 1),extra
