sql,hardness
SELECT Name FROM roller_coaster WHERE Length BETWEEN 100 AND 200 ORDER BY Length ASC LIMIT 5,hard
"SELECT COUNT(Roller_Coaster_ID), MAX(Height) FROM roller_coaster LIMIT 10",medium
SELECT T1.Name FROM roller_coaster AS T1 JOIN country AS T2 ON T1.Country_ID = T2.Country_ID WHERE T1.Length > 100 AND T1.Height > 50 AND T1.Country_ID IN ( SELECT Country_ID FROM country WHERE Area > 100000 ),extra
"SELECT T1.Name, T2.Name FROM roller_coaster AS T1 JOIN roller_coaster AS T2 ON T1.Country_ID = T2.Country_ID WHERE T1.Length BETWEEN 500 AND 1000 OR T1.Name IN (SELECT Name FROM roller_coaster WHERE Speed = 'Fast') ORDER BY T1.Height DESC LIMIT 10",extra
SELECT Name FROM roller_coaster WHERE Country_ID != 1,easy
SELECT * FROM roller_coaster WHERE Length >= 500,easy
SELECT MIN(Length) FROM roller_coaster WHERE Height BETWEEN 10 AND 20 ORDER BY Length ASC,medium
SELECT Name FROM roller_coaster WHERE Length != 100 AND Speed != '25',medium
"SELECT COUNT(DISTINCT T3.Name), T1.Length FROM roller_coaster AS T1 JOIN country AS T2 ON T1.Country_ID = T2.Country_ID JOIN country AS T3 ON T2.Country_ID = T3.Country_ID WHERE T1.Length BETWEEN 100 AND 200 OR T1.Length > 500 AND NOT EXISTS (SELECT 1 FROM roller_coaster WHERE Height > 100) ORDER BY T1.Length ASC",extra
SELECT Name FROM roller_coaster WHERE Length = 100,easy
SELECT Name FROM roller_coaster WHERE Length < 500 ORDER BY Name DESC,medium
"SELECT T1.Name, T2.Population FROM roller_coaster AS T1 JOIN country AS T2 ON T1.Country_ID = T2.Country_ID WHERE T1.Length > 500 AND T2.Population > 50000000 LIMIT 10",hard
"SELECT T1.Name, T2.Name FROM roller_coaster AS T1 JOIN roller_coaster AS T2 ON T1.Country_ID = T2.Country_ID",medium
SELECT T1.Name FROM roller_coaster AS T1 JOIN country AS T2 ON T1.Country_ID = T2.Country_ID WHERE T2.Population < 1000000 OR T1.Height > 50 OR T1.Country_ID NOT IN (SELECT Country_ID FROM country WHERE Area < 100000) ORDER BY T1.Length ASC,extra
SELECT Name FROM roller_coaster WHERE Country_ID = 10 AND Height > 50 AND Length BETWEEN 100 AND 200 GROUP BY Name HAVING COUNT(Status) > 1 LIMIT 10,hard
"SELECT T1.Name, T2.Name, COUNT(T1.Roller_Coaster_ID) FROM roller_coaster AS T1 JOIN roller_coaster AS T2 ON T1.Country_ID = T2.Country_ID WHERE T1.Length > 100 OR T2.Height < 50 OR T1.Country_ID IN (SELECT Country_ID FROM country WHERE Population > 1000000)",extra
"SELECT T1.Name, COUNT(T2.Name) FROM roller_coaster AS T1 JOIN country AS T2 ON T1.Country_ID = T2.Country_ID WHERE T1.Park != 'Disneyland' ORDER BY T1.Name ASC LIMIT 10",extra
"SELECT T1.Name, AVG(T1.Length) FROM roller_coaster AS T1 JOIN country AS T2 ON T1.Country_ID = T2.Country_ID WHERE T1.Height >= 50 ORDER BY T1.Name ASC LIMIT 10",extra
SELECT Name FROM roller_coaster WHERE Length > 1000 OR Speed = 'Fast' ORDER BY Height DESC,hard
"SELECT T1.Name, AVG(T1.Height) FROM roller_coaster AS T1 WHERE T1.Country_ID IN (SELECT Country_ID FROM country WHERE Name = 'USA') GROUP BY T1.Name",extra
"SELECT T2.Name, COUNT(T1.Roller_Coaster_ID) FROM roller_coaster AS T1 JOIN country AS T2 ON T1.Country_ID = T2.Country_ID WHERE T1.Length > 100 AND T1.Height < 50 AND T1.Speed LIKE '%mph' AND EXISTS (SELECT * FROM country WHERE T2.Country_ID = T1.Country_ID) GROUP BY T2.Name",extra
"SELECT T1.Name, T2.Name FROM roller_coaster AS T1 JOIN country AS T2 ON T1.Country_ID = T2.Country_ID JOIN country AS T3 ON T2.Country_ID = T3.Country_ID WHERE T1.Length <= 100",hard
"SELECT T1.Name, COUNT(T2.Length) FROM roller_coaster AS T1 JOIN roller_coaster AS T2 ON T1.Country_ID = T2.Country_ID WHERE T2.Length > 100 OR T1.Name = 'Roller' OR EXISTS (SELECT * FROM country WHERE country.Country_ID = T2.Country_ID)",extra
"SELECT T1.Name, T2.Name FROM roller_coaster AS T1 JOIN roller_coaster AS T2 ON T1.Country_ID = T2.Country_ID WHERE T1.Length BETWEEN 500 AND 2000 AND EXISTS (SELECT 1 FROM country WHERE Country_ID = T1.Country_ID) ORDER BY T1.Height DESC LIMIT 10",extra
