sql,hardness
SELECT COUNT(DISTINCT Name) FROM people WHERE Age < 20 LIMIT 10,medium
SELECT T1.Church_ID FROM church AS T1 JOIN wedding AS T2 ON T1.Church_ID = T2.Church_ID WHERE T1.Church_ID IN (SELECT T3.Church_ID FROM wedding AS T3 GROUP BY T3.Church_ID HAVING COUNT(DISTINCT T3.Male_ID) > 1) ORDER BY T1.Church_ID ASC,extra
"SELECT T1.Name, COUNT(T2.Church_ID), COUNT(DISTINCT T2.Church_ID) FROM people AS T1 JOIN wedding AS T2 ON T1.People_ID = T2.Male_ID WHERE T1.People_ID IN (SELECT T3.Male_ID FROM wedding AS T3) ORDER BY T1.Name DESC",extra
"SELECT Name, MAX(Age), MIN(Age) FROM people WHERE Country > 'USA' ORDER BY Name DESC",extra
SELECT p.Name FROM people AS p WHERE NOT EXISTS ( SELECT 1 FROM wedding AS w WHERE w.Male_ID = p.People_ID ),hard
"SELECT T1.Name, COUNT(DISTINCT T2.Church_ID) FROM people AS T1 JOIN wedding AS T2 ON T1.People_ID = T2.Female_ID JOIN church AS T3 ON T2.Church_ID = T3.Church_ID WHERE T2.Year = 2000 ORDER BY T1.Name ASC",extra
SELECT T1.Name FROM people AS T1 JOIN people AS T2 ON T1.People_ID = T2.People_ID WHERE T1.Age > 25 LIMIT 10,hard
SELECT * FROM people WHERE Age <= 30 LIMIT 10,medium
"SELECT T1.Name, COUNT(DISTINCT T2.Church_ID) FROM people AS T1 JOIN wedding AS T2 ON T1.People_ID = T2.Female_ID WHERE NOT EXISTS (SELECT 1 FROM church AS T3 WHERE T3.Church_ID = T2.Church_ID AND T3.Name = 'Test Church') LIMIT 10",extra
"SELECT COUNT(T1.Church_ID), T3.Age FROM church AS T1 JOIN wedding AS T2 ON T1.Church_ID = T2.Church_ID JOIN people AS T3 ON T3.People_ID = T2.Female_ID WHERE T3.Is_Male != 'true' GROUP BY T3.Age LIMIT 10",extra
"SELECT T1.Name, COUNT(DISTINCT T2.Female_ID) FROM people AS T1 JOIN wedding AS T2 ON T1.People_ID = T2.Male_ID WHERE T2.Year > 2000 OR T1.Age > 30 OR T1.People_ID IN (SELECT Male_ID FROM wedding WHERE Year > 2000)",extra
"SELECT T1.Name, T2.Name, T3.Year FROM people AS T1 JOIN church AS T2 ON T1.People_ID = T2.Church_ID JOIN wedding AS T3 ON T2.Church_ID = T3.Church_ID WHERE T1.Age BETWEEN 20 AND 30 OR T1.Name IN (SELECT Name FROM people WHERE Country = 'USA') OR T3.Year > 2000 ORDER BY T1.Name ASC",extra
"SELECT T1.Name, MIN(T1.Age) FROM people AS T1 WHERE T1.Age > 30 GROUP BY T1.Name",medium
SELECT COUNT(Age) FROM people AS t1,easy
SELECT Age FROM people WHERE Age BETWEEN 20 AND 30 LIMIT 10,medium
SELECT T1.Name FROM people AS T1 JOIN wedding AS T2 ON T1.People_ID = T2.Male_ID JOIN church AS T3 ON T2.Church_ID = T3.Church_ID WHERE T2.Year = 2000 ORDER BY T1.Age DESC,extra
"SELECT T2.Name, COUNT(T1.Church_ID) , SUM(T2.Open_Date) FROM wedding AS T1 JOIN church AS T2 ON T1.Church_ID = T2.Church_ID JOIN people AS T3 ON T1.Male_ID = T3.People_ID WHERE T3.Age < 30 ORDER BY T2.Name DESC",extra
SELECT Name FROM people WHERE Age <= 30,easy
"SELECT T1.Country, COUNT(T2.Church_ID) FROM people AS T1 JOIN wedding AS T2 ON T1.People_ID = T2.Male_ID WHERE T1.Age < 30 GROUP BY T1.Country",hard
"SELECT Age, Is_Male FROM people WHERE Age > 20 OR Is_Male = 'Yes' OR Country NOT IN ( SELECT Country FROM people WHERE Age < 25 ) ORDER BY Age DESC LIMIT 10",extra
SELECT SUM(T1.Age) FROM people AS T1 WHERE T1.Age > 18 LIMIT 10,medium
SELECT Name FROM people WHERE Country IN (SELECT Name FROM church WHERE Open_Date < 1000) AND Is_Male = 'M' ORDER BY Name DESC,extra
"SELECT COUNT(DISTINCT T3.Name), COUNT(T1.Church_ID) FROM church AS T1 JOIN wedding AS T2 ON T1.Church_ID = T2.Church_ID JOIN people AS T3 ON T2.Female_ID = T3.People_ID WHERE T3.Age = 25",hard
