query
"{'hash': '7ddee8f0c1928db043644d57112256433eff34f8', 'query': ""SELECT T1.property_type_description, MIN(T3.room_size) FROM Ref_Property_Types AS T1 JOIN Properties AS T2 ON T1.property_type_code = T2.property_type_code JOIN Rooms AS T3 ON T2.property_id = T3.property_id WHERE T1.property_type_code = 'residential' GROUP BY T1.property_type_description"", 'template': ""SELECT #COLUMN#, MIN(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = '#VALUE#' GROUP BY #COLUMN#""}"
"{'hash': '9fe01a433f8849910ff1952a14c95b5ae66df66a', 'query': 'SELECT T1.property_name FROM Properties AS T1, Properties AS T2 WHERE T1.property_id = T2.property_id AND T2.price_min IN (SELECT price_min FROM Properties WHERE vendor_requested_price > 100000)', 'template': 'SELECT #COLUMN# FROM #TABLE# AS T1, #TABLE# AS T2 WHERE T1.#COLUMN# = T2.#COLUMN# AND T2.#COLUMN# IN (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# > #VALUE#)'}"
"{'hash': '194a5f118e0ebdd23fcf5319f08be4074275e213', 'query': 'SELECT COUNT(DISTINCT T1.property_type_code), COUNT(DISTINCT T1.property_type_code), COUNT(DISTINCT T1.property_type_code) FROM Properties AS T1 JOIN Properties AS T2 ON T1.property_id = T2.property_id LIMIT 10', 'template': 'SELECT COUNT(DISTINCT #COLUMN#), COUNT(DISTINCT #COLUMN#), COUNT(DISTINCT #COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# LIMIT #VALUE#'}"
"{'hash': '5b052f7af1f08c7b778497250e6928e67d8d4925', 'query': 'SELECT T1.property_name, T2.feature_name FROM Properties AS T1 JOIN Property_Features AS T2 ON T1.property_id = T2.property_id WHERE T1.price_min = 100 AND T2.feature_value BETWEEN 10 AND 20 OR T1.vendor_requested_price > 50', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# AND #COLUMN# BETWEEN #VALUE# AND #VALUE# OR #COLUMN# > #VALUE#'}"
"{'hash': 'ec1f4d1e5a4fc630da9a559d2196de39a9c72720', 'query': ""SELECT COUNT(T1.feature_id), COUNT(T2.property_address_id), COUNT(T3.property_type_code) FROM Features AS T1 JOIN Properties AS T2 ON T1.feature_id = T2.property_id JOIN Ref_Property_Types AS T3 ON T2.property_type_code = T3.property_type_code WHERE T1.feature_name = 'pool' AND T2.property_name BETWEEN 'A' AND 'Z' AND T3.property_type_description = ( SELECT property_type_description FROM Ref_Property_Types WHERE property_type_code = 'residential' )"", 'template': 'SELECT COUNT(#COLUMN#), COUNT(#COLUMN#), COUNT(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# AND #COLUMN# BETWEEN #VALUE# AND #VALUE# AND #COLUMN# = ( SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #VALUE# )'}"
"{'hash': 'd70e3d2c7fbad5b6e5e62248329a92a439114de1', 'query': ""SELECT COUNT(DISTINCT T1.property_id) FROM Properties AS T1 JOIN Property_Features AS T2 ON T1.property_id = T2.property_id WHERE T1.property_type_code = 'residential' AND T2.feature_value BETWEEN 100 AND 200 AND T1.vendor_requested_price > 500000 LIMIT 10"", 'template': 'SELECT COUNT(DISTINCT #COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# AND #COLUMN# BETWEEN #VALUE# AND #VALUE# AND #COLUMN# > #VALUE# LIMIT #VALUE#'}"
"{'hash': '6a69a2d0e8a6a2f35ab76ddc00023eeeb06fb299', 'query': ""SELECT MAX(T1.vendor_requested_price) FROM Properties AS T1 WHERE T1.property_type_code = 'residential'"", 'template': 'SELECT MAX(#COLUMN#) FROM #TABLE# AS #TABLE# WHERE #COLUMN# = #VALUE#'}"
"{'hash': '7e85eb0ab8779649bee16213521c0e1b41fa66f2', 'query': ""SELECT T1.property_name FROM Properties AS T1 JOIN User_Property_History AS T2 ON T1.property_id = T2.property_id WHERE T2.datestamp <= '2022-01-01'"", 'template': 'SELECT #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# <= #VALUE#'}"
"{'hash': '8f7daf2b42fdfb26f1300a69f20a9137c5d674ee', 'query': 'SELECT T1.property_name FROM Properties AS T1 JOIN Properties AS T2 ON T1.property_id = T2.property_id WHERE T1.vendor_requested_price > 100000 ORDER BY T1.property_name ASC', 'template': 'SELECT #COLUMN# FROM #TABLE# AS #TABLE# JOIN #TABLE# AS #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# > #VALUE# ORDER BY #COLUMN# ASC'}"
"{'hash': 'b1e65b6a0db8bd89e71bcbe328973f7a43a002d2', 'query': 'SELECT T1.property_name, T2.feature_name, T3.room_type_description FROM Properties AS T1 JOIN Property_Features AS T2 ON T1.property_id = T2.property_id JOIN Rooms AS T3 ON T1.property_id = T3.property_id', 'template': 'SELECT #COLUMN#, #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN#'}"
"{'hash': '99d45d68429578336f7f4745423a8962c85c9c4b', 'query': 'SELECT T1.user_id, T2.property_id FROM Users AS T1 JOIN Properties AS T2 ON T1.user_id = T2.owner_user_id LIMIT 10', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# LIMIT #VALUE#'}"
"{'hash': '4eb8c7182fa9a66d50438a9c42b5bf6926304c02', 'query': ""SELECT COUNT(DISTINCT T1.property_id), COUNT(T1.property_id) FROM Properties AS T1 JOIN Rooms AS T2 ON T1.property_id = T2.property_id WHERE T1.property_type_code != 'RES'"", 'template': 'SELECT COUNT(DISTINCT #COLUMN#), COUNT(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# != #VALUE#'}"
"{'hash': 'd1ef82fe37ef9a6d956e53ca65d31d102f178c96', 'query': ""SELECT COUNT(DISTINCT T3.feature_id), T1.property_name FROM Properties AS T1 JOIN Property_Features AS T2 ON T1.property_id = T2.property_id JOIN Features AS T3 ON T2.feature_id = T3.feature_id WHERE T3.feature_name = 'Garden' AND T2.feature_value = 'Yes' AND T1.property_type_code NOT IN (SELECT T4.property_type_code FROM Properties AS T4 WHERE T4.vendor_requested_price > 100000) ORDER BY T1.property_name DESC LIMIT 10"", 'template': 'SELECT COUNT(DISTINCT #COLUMN#), #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# AND #COLUMN# = #VALUE# AND #COLUMN# NOT IN (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# > #VALUE#) ORDER BY #COLUMN# DESC LIMIT #VALUE#'}"
"{'hash': '0ecaa637243b1b4feaab4a3738e2e3a2f8912bbf', 'query': 'SELECT T1.property_name FROM Properties AS T1 WHERE T1.vendor_requested_price <= 1000 ORDER BY T1.vendor_requested_price DESC', 'template': 'SELECT #COLUMN# FROM #TABLE# AS T1 WHERE T1.#COLUMN# <= #VALUE# ORDER BY T1.#COLUMN# DESC'}"
"{'hash': '90da292d3fe4750aff0b73a907b046bab20c2333', 'query': ""SELECT COUNT(DISTINCT T1.property_id), COUNT(T1.property_id) FROM Properties AS T1 JOIN Property_Features AS T2 ON T1.property_id = T2.property_id WHERE T2.feature_value > 'average'"", 'template': 'SELECT COUNT(DISTINCT #COLUMN#), COUNT(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# > #VALUE#'}"
