Specification,query
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN_JOIN_JOIN', 'where_type': {'basic_comparison': '>'}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'ASC', 'limit_type': 'none', 'value_exp_types': ['single_exp_number', 'single_exp_text', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT year, name, Paper.paper_id FROM Citation JOIN Author_list JOIN Affiliation JOIN Paper ON Author_list.affiliation_id = Affiliation.affiliation_id AND Author_list.paper_id = Paper.paper_id AND Paper.paper_id = Citation.cited_paper_id AND Citation.paper_id = Paper.paper_id WHERE  Affiliation.affiliation_id > 30 ORDER BY name ASC"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN_JOIN', 'where_type': 'not_exists_subquery', 'number_of_value_exp_in_group_by': 1, 'having_type': {'single': 'AVG'}, 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['count_distinct_exp', 'count_distinct_exp', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT COUNT(DISTINCT cited_paper_id), COUNT(DISTINCT Paper.paper_id), cited_paper_id, venue FROM Citation JOIN Author_list JOIN Paper ON Author_list.paper_id = Paper.paper_id AND Paper.paper_id = Citation.cited_paper_id AND Citation.paper_id = Paper.paper_id WHERE EXISTS (SELECT * FROM Paper AS i WHERE  i.year < 45 AND Citation.paper_id = i.paper_id LIMIT 9) GROUP BY venue HAVING AVG(affiliation_id) <= 81"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'basic_comparison': '<'}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'DESC', 'limit_type': 'without_offset', 'value_exp_types': ['single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT author_id FROM Author_list WHERE  affiliation_id < 70 ORDER BY author_id DESC LIMIT 9
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN_JOIN', 'where_type': {'logical_operator': ['OR', 'between', 'not_exists_subquery']}, 'number_of_value_exp_in_group_by': 1, 'having_type': {'single': 'MIN'}, 'orderby_type': 'none', 'limit_type': 'without_offset', 'value_exp_types': ['count_distinct_exp'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT COUNT(DISTINCT year), venue FROM Citation JOIN Author_list JOIN Paper ON Author_list.paper_id = Paper.paper_id AND Paper.paper_id = Citation.cited_paper_id AND Citation.paper_id = Paper.paper_id WHERE affiliation_id BETWEEN 1 AND 10 OR EXISTS (SELECT * FROM Author_list AS d WHERE  d.author_id > 57 AND Paper.paper_id = d.paper_id) GROUP BY venue HAVING MIN(year) < 78 LIMIT 3"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'basic_comparison': '='}, 'number_of_value_exp_in_group_by': 1, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['count_distinct_exp', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT COUNT(DISTINCT paper_id), paper_id, year FROM Paper WHERE  year = 53 GROUP BY year"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': 'exists_subquery', 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'without_offset', 'value_exp_types': ['single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT address FROM Affiliation WHERE EXISTS (SELECT * FROM Author_list WHERE  affiliation_id > 14 AND Affiliation.affiliation_id = affiliation_id LIMIT 4) LIMIT 3
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN_JOIN_JOIN', 'where_type': {'logical_operator': ['AND', 'between', 'basic_comparison']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT AVG(Author_list.author_id), Author.author_id FROM Author_list JOIN Author JOIN Affiliation JOIN Paper ON Author_list.affiliation_id = Affiliation.affiliation_id AND Author_list.paper_id = Paper.paper_id AND Author.author_id = Author_list.author_id WHERE year BETWEEN 1 AND 10 AND  Author.author_id < 32"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'logical_operator': ['OR', 'between', 'comparison_with_subquery']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'ASC', 'limit_type': 'none', 'value_exp_types': ['single_exp_number', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT author_id, paper_id FROM Author_list WHERE affiliation_id BETWEEN 1 AND 10 OR affiliation_id <= (SELECT MAX(affiliation_id) FROM Author_list WHERE  affiliation_id > 6) ORDER BY paper_id ASC"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': 'none', 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'without_offset', 'value_exp_types': ['single_exp_text', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT w.cited_paper_id, w.cited_paper_id FROM Citation AS w LIMIT 2"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': 'between', 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT Citation.paper_id FROM Citation JOIN Paper ON Paper.paper_id = Citation.cited_paper_id AND Citation.paper_id = Paper.paper_id WHERE year BETWEEN 1 AND 10
