sql,hardness
SELECT MAX(Book_ID) FROM book WHERE  Author_ID != 3,easy
SELECT Age FROM author JOIN book ON author.Author_ID = book.Author_ID WHERE book.Author_ID BETWEEN 1 AND 10 AND Author_ID < (SELECT MIN(Author_ID) FROM author AS s WHERE  s.Age > 43 LIMIT 3) ORDER BY Age DESC LIMIT 10,extra
"SELECT COUNT(book.Author_ID), book.Press_ID FROM book JOIN book AS u ON book.Book_ID = u.Book_ID WHERE  u.Book_ID >= 25 AND EXISTS (SELECT * FROM press WHERE  Year_Profits_billion > 20 AND book.Book_ID = Press_ID) ORDER BY book.Press_ID DESC",extra
"SELECT book.Author_ID, Sale_Amount FROM author JOIN book JOIN press ON book.Press_ID = press.Press_ID AND author.Author_ID = book.Author_ID WHERE  Month_Profits_billion = 11",hard
"SELECT MAX(x.Age), x.Gender, x.Name FROM author AS x WHERE  x.Age <= 77 OR Name NOT IN (SELECT Name FROM author WHERE  Author_ID >= 49 LIMIT 2)",extra
SELECT press.Name FROM author JOIN book JOIN press ON book.Press_ID = press.Press_ID AND author.Author_ID = book.Author_ID WHERE  book.Press_ID <= 32,hard
SELECT AVG(z.Age) FROM author AS z WHERE z.Age BETWEEN 1 AND 10,easy
"SELECT MAX(Author_ID), Gender FROM author WHERE  Author_ID < 7 AND Name NOT IN (SELECT Name FROM author AS e WHERE  e.Author_ID > 55) LIMIT 6",extra
SELECT AVG(press.Press_ID) FROM author JOIN book JOIN press ON book.Press_ID = press.Press_ID AND author.Author_ID = book.Author_ID WHERE  press.Press_ID > 76 OR EXISTS (SELECT * FROM author WHERE book.Book_ID = Author_ID),extra
"SELECT MAX(Author_ID), Author_ID FROM book JOIN press ON book.Press_ID = press.Press_ID WHERE  book.Press_ID > 58 ORDER BY Author_ID DESC",hard
"SELECT AVG(Age), Book_Series FROM author JOIN book ON author.Author_ID = book.Author_ID WHERE Name NOT IN (SELECT Name FROM author WHERE Author_ID BETWEEN 1 AND 10) LIMIT 8",extra
"SELECT COUNT(DISTINCT y.Age), y.Author_ID, y.Age, y.Gender FROM author AS y WHERE  y.Author_ID <= 34 GROUP BY y.Gender HAVING AVG(y.Author_ID) <= 92",medium
SELECT MAX(Year_Profits_billion) FROM press WHERE Month_Profits_billion IN (SELECT Month_Profits_billion FROM press AS g WHERE g.Month_Profits_billion BETWEEN 1 AND 10) LIMIT 4,extra
"SELECT Name, Name FROM press WHERE Name NOT IN (SELECT Name FROM author AS s WHERE  s.Author_ID = 65) ORDER BY Name DESC",extra
"SELECT COUNT(Press_ID), Author_ID FROM book WHERE Book_ID BETWEEN 1 AND 10 OR Title > (SELECT MAX(Title) FROM book WHERE  Author_ID = 49)",extra
SELECT MAX(Author_ID) FROM book WHERE EXISTS (SELECT * FROM press WHERE  Year_Profits_billion != 34 AND book.Book_ID = Press_ID LIMIT 9),hard
"SELECT Year_Profits_billion, Sale_Amount, Release_date FROM author JOIN book JOIN press ON book.Press_ID = press.Press_ID AND author.Author_ID = book.Author_ID WHERE  author.Author_ID > 63 GROUP BY Release_date LIMIT 6",extra
"SELECT press.Month_Profits_billion, v.Month_Profits_billion, v.Year_Profits_billion FROM press AS v JOIN press ON press.Press_ID = v.Press_ID WHERE press.Year_Profits_billion BETWEEN 1 AND 10 GROUP BY v.Year_Profits_billion ORDER BY v.Month_Profits_billion ASC",extra
"SELECT MAX(Age), SUM(Age), COUNT(DISTINCT Author_ID) FROM author WHERE  Age < 85 LIMIT 7",extra
"SELECT AVG(h.Month_Profits_billion), SUM(h.Press_ID), h.Name FROM press AS h WHERE  h.Year_Profits_billion != 37 ORDER BY h.Name ASC",extra
"SELECT COUNT(DISTINCT Release_date), Gender FROM author JOIN book JOIN press ON book.Press_ID = press.Press_ID AND author.Author_ID = book.Author_ID WHERE  Age > 84 GROUP BY Gender HAVING MAX(Book_ID) < 56 ORDER BY Gender ASC",extra
