sql,hardness
"SELECT Candidate_ID, Unsure_rate FROM candidate GROUP BY Unsure_rate HAVING MIN(Oppose_rate) = 85",medium
"SELECT COUNT(DISTINCT Consider_rate), Consider_rate, Unsure_rate FROM candidate WHERE  Candidate_ID > 59 GROUP BY Unsure_rate HAVING MAX(Consider_rate) > 86 ORDER BY Unsure_rate ASC",hard
SELECT v.Candidate_ID FROM candidate AS v WHERE  v.Oppose_rate = 41 ORDER BY v.Candidate_ID ASC,medium
"SELECT COUNT(Height), Sex, Date_of_Birth FROM people WHERE Weight BETWEEN 1 AND 10 OR  Height != 95 GROUP BY Date_of_Birth HAVING COUNT(Weight) < 42",hard
"SELECT COUNT(DISTINCT Consider_rate), Poll_Source, Sex FROM people JOIN candidate ON candidate.People_ID = people.People_ID LIMIT 6",medium
"SELECT Name, Sex FROM people WHERE  People_ID < 81 GROUP BY Name HAVING AVG(Height) <= 80 ORDER BY Name DESC",hard
SELECT Date FROM candidate WHERE  Support_rate > 39,easy
"SELECT d.Date, d.Date, d.People_ID FROM candidate AS d WHERE  d.People_ID = 58 GROUP BY d.People_ID LIMIT 5",hard
SELECT s.Date FROM candidate AS s WHERE s.Support_rate BETWEEN 1 AND 10 AND Consider_rate NOT IN (SELECT Consider_rate FROM candidate AS p WHERE  p.Consider_rate <= 17 LIMIT 7),extra
"SELECT COUNT(DISTINCT Sex), Sex FROM people JOIN candidate ON candidate.People_ID = people.People_ID",medium
"SELECT candidate.Poll_Source, candidate.Poll_Source FROM candidate AS f JOIN candidate ON candidate.Candidate_ID = f.Candidate_ID WHERE  candidate.Candidate_ID > 79 OR EXISTS (SELECT * FROM people WHERE People_ID BETWEEN 1 AND 10 AND candidate.Candidate_ID = People_ID)",extra
"SELECT COUNT(DISTINCT candidate.Support_rate), candidate.Candidate_ID FROM candidate AS u JOIN candidate ON candidate.Candidate_ID = u.Candidate_ID WHERE  candidate.Consider_rate = 79",medium
"SELECT Weight, Name, Sex FROM people WHERE Weight BETWEEN 1 AND 10 AND Weight IN (SELECT Weight FROM people) ORDER BY Name ASC",extra
"SELECT g.People_ID, g.Date_of_Birth FROM people AS g WHERE Weight IN (SELECT Weight FROM people AS e) GROUP BY g.Date_of_Birth ORDER BY g.People_ID DESC LIMIT 10",extra
"SELECT COUNT(DISTINCT c.Name), c.Weight FROM people AS c WHERE  c.Height > 94",medium
"SELECT AVG(o.Unsure_rate), SUM(o.Consider_rate), SUM(o.Oppose_rate) FROM candidate AS o WHERE o.Consider_rate BETWEEN 1 AND 10 OR Poll_Source IN (SELECT Poll_Source FROM candidate WHERE  Candidate_ID = 76 LIMIT 1)",extra
"SELECT SUM(candidate.Oppose_rate), candidate.Candidate_ID FROM candidate AS g JOIN candidate ON candidate.Candidate_ID = g.Candidate_ID",medium
"SELECT COUNT(DISTINCT Weight), Height FROM people",medium
"SELECT SUM(Weight), AVG(People_ID), AVG(People_ID) FROM people WHERE Height BETWEEN 1 AND 10 OR Name IN (SELECT Name FROM people WHERE  Height > 99)",extra
"SELECT MIN(people.People_ID), b.Height FROM people AS b JOIN people ON people.People_ID = b.People_ID WHERE  b.Height <= 46 LIMIT 10",hard
SELECT Date FROM people JOIN candidate ON candidate.People_ID = people.People_ID WHERE Oppose_rate IN (SELECT Oppose_rate FROM candidate WHERE  People_ID != 70 LIMIT 2) ORDER BY Date DESC,extra
"SELECT Candidate_ID, Support_rate FROM people JOIN candidate ON candidate.People_ID = people.People_ID WHERE  Candidate_ID > 5",medium
"SELECT Poll_Source, Date FROM candidate WHERE  People_ID != 26 ORDER BY Poll_Source ASC LIMIT 4",hard
