sql,hardness
SELECT h.Weight FROM cars_data AS h WHERE  h.Weight = 91 AND Weight = (SELECT MAX(Weight) FROM cars_data AS b) GROUP BY h.Weight HAVING MIN(h.Cylinders) < 93,extra
"SELECT ContId, ContId FROM continents WHERE  ContId < 7 AND ContId NOT IN (SELECT ContId FROM continents AS b WHERE  b.ContId != 98 LIMIT 8)",extra
SELECT v.MPG FROM cars_data AS v WHERE  v.Accelerate = 96 ORDER BY v.MPG DESC,medium
"SELECT MIN(MakeId), Id, car_names.Model FROM car_names JOIN car_makers JOIN model_list ON model_list.Maker = car_makers.Id AND car_names.Model = model_list.Model WHERE Id BETWEEN 1 AND 10 OR EXISTS (SELECT * FROM car_makers AS c WHERE  c.Id >= 68 AND model_list.ModelId = c.Id LIMIT 5) GROUP BY car_names.Model ORDER BY Id ASC",extra
SELECT i.Country FROM car_makers AS i WHERE i.Id BETWEEN 1 AND 10 OR FullName IN (SELECT FullName FROM car_makers AS v LIMIT 2),extra
SELECT model_list.Model FROM car_names JOIN car_makers JOIN model_list ON model_list.Maker = car_makers.Id AND car_names.Model = model_list.Model WHERE  ModelId > 4 ORDER BY model_list.Model ASC,extra
"SELECT CountryName, countries.Continent FROM countries JOIN continents ON countries.Continent = continents.ContId WHERE  ContId < 53 OR CountryName IN (SELECT CountryName FROM countries WHERE  Continent != 45) GROUP BY countries.Continent HAVING SUM(CountryId) <= 35 ORDER BY countries.Continent DESC LIMIT 4",extra
SELECT CountryName FROM countries WHERE Continent BETWEEN 1 AND 10 AND  CountryId != 65 ORDER BY CountryName DESC,medium
"SELECT COUNT(DISTINCT CountryName), COUNT(DISTINCT Continent), CountryName FROM countries WHERE  Continent = 28 AND CountryName NOT IN (SELECT CountryName FROM countries AS s WHERE  s.CountryId < 46) GROUP BY CountryName HAVING MAX(CountryId) > 57 ORDER BY CountryName DESC",extra
"SELECT Id, Country FROM car_makers WHERE  Id = 47 GROUP BY Country",medium
"SELECT m.MakeId, m.MakeId, m.Model FROM car_names AS m WHERE  m.MakeId >= 31 GROUP BY m.Model HAVING SUM(m.MakeId) > 54",medium
SELECT Horsepower FROM car_names JOIN cars_data ON cars_data.Id = car_names.MakeId WHERE EXISTS (SELECT * FROM cars_data AS m WHERE  m.Accelerate > 59 AND car_names.MakeId = m.Id),extra
"SELECT AVG(MakeId), COUNT(DISTINCT Model) FROM car_names WHERE MakeId BETWEEN 1 AND 10 AND  MakeId != 30",hard
SELECT Country FROM countries JOIN car_names JOIN car_makers JOIN model_list ON car_makers.Country = countries.CountryId AND model_list.Maker = car_makers.Id AND car_names.Model = model_list.Model WHERE  Id >= 87 ORDER BY Country ASC,extra
"SELECT f.ContId, f.Continent FROM continents AS f WHERE  f.ContId >= 4 OR Continent IN (SELECT Continent FROM countries) GROUP BY f.Continent ORDER BY f.ContId ASC",extra
"SELECT MakeId, Model FROM car_names LIMIT 4",medium
"SELECT SUM(Edispl), COUNT(DISTINCT Year), Year FROM car_names JOIN cars_data ON cars_data.Id = car_names.MakeId WHERE Accelerate BETWEEN 1 AND 10",extra
"SELECT COUNT(DISTINCT Make), MakeId, Id FROM car_names JOIN car_makers JOIN model_list ON model_list.Maker = car_makers.Id AND car_names.Model = model_list.Model WHERE Id BETWEEN 1 AND 10 AND  MakeId = 44 LIMIT 9",extra
"SELECT COUNT(DISTINCT ContId), ContId FROM continents WHERE ContId BETWEEN 1 AND 10 OR Continent NOT IN (SELECT Continent FROM countries AS y WHERE y.CountryId BETWEEN 1 AND 10 AND  y.Continent != 54)",extra
"SELECT COUNT(cars_data.Id), AVG(c.Accelerate), COUNT(DISTINCT c.MPG) FROM cars_data AS c JOIN cars_data ON cars_data.Id = c.Id WHERE  c.Weight < 34",extra
"SELECT COUNT(DISTINCT x.Cylinders), cars_data.Id FROM cars_data AS x JOIN cars_data ON cars_data.Id = x.Id WHERE  cars_data.Accelerate != 56",medium
"SELECT AVG(d.Id), COUNT(DISTINCT d.Country) FROM car_makers AS d WHERE  d.Id <= 41",medium
"SELECT COUNT(DISTINCT Model), Make FROM car_names WHERE  MakeId <= 28",medium
SELECT car_makers.Maker FROM car_makers AS p JOIN car_makers ON car_makers.Id = p.Id ORDER BY car_makers.Maker DESC,medium
SELECT MakeId FROM car_names WHERE  MakeId >= 99 ORDER BY MakeId DESC,medium
"SELECT a.Year, cars_data.Edispl, cars_data.Year FROM cars_data AS a JOIN cars_data ON cars_data.Id = a.Id WHERE  a.Year >= 64 GROUP BY cars_data.Year HAVING MIN(a.Weight) = 53 ORDER BY cars_data.Year DESC LIMIT 9",extra
SELECT Country FROM car_makers WHERE  Id <= 14,easy
SELECT e.Model FROM model_list AS e WHERE e.Maker BETWEEN 1 AND 10 AND  e.Maker <= 95,medium
"SELECT car_names.MakeId, r.Model FROM car_names AS r JOIN car_names ON car_names.MakeId = r.MakeId WHERE  car_names.MakeId > 59 OR EXISTS (SELECT * FROM model_list WHERE Maker BETWEEN 1 AND 10 AND  ModelId != 54 AND car_names.MakeId = Model LIMIT 8)",extra
"SELECT j.CountryId, j.CountryName FROM countries AS j WHERE  j.CountryId > 68 ORDER BY j.CountryName DESC",medium
"SELECT ModelId, model_list.Maker FROM car_names JOIN car_makers JOIN model_list ON model_list.Maker = car_makers.Id AND car_names.Model = model_list.Model ORDER BY ModelId ASC LIMIT 8",extra
"SELECT ModelId, ModelId FROM car_makers JOIN model_list ON model_list.Maker = car_makers.Id LIMIT 1",medium
SELECT CountryId FROM countries WHERE CountryId BETWEEN 1 AND 10 AND  Continent > 24 ORDER BY CountryId DESC LIMIT 3,hard
"SELECT COUNT(Edispl), Maker, MPG, Cylinders FROM model_list JOIN cars_data JOIN car_names ON car_names.Model = model_list.Model AND cars_data.Id = car_names.MakeId WHERE  Edispl != 33 GROUP BY Cylinders HAVING AVG(Id) > 67 LIMIT 5",extra
"SELECT AVG(h.Id), h.Id, h.FullName, h.Maker FROM car_makers AS h WHERE FullName IN (SELECT FullName FROM car_makers WHERE  Id > 32) GROUP BY h.Maker HAVING MAX(h.Id) > 31",extra
"SELECT COUNT(DISTINCT k.Make), k.MakeId FROM car_names AS k WHERE  k.MakeId != 38 LIMIT 8",medium
