sql,hardness
"SELECT MIN(Staff_in_Processes.document_id), process_outcome_code FROM Documents_Processes JOIN Staff_in_Processes ON Documents_Processes.document_id = Staff_in_Processes.document_id WHERE  Staff_in_Processes.document_id = 57 LIMIT 10",hard
"SELECT COUNT(DISTINCT Documents_Processes.process_id), process_description FROM Documents_Processes JOIN Business_Processes JOIN Staff_in_Processes ON Documents_Processes.process_id = Business_Processes.process_id AND Documents_Processes.document_id = Staff_in_Processes.document_id WHERE staff_role_code > (SELECT AVG(staff_role_code) FROM Staff_in_Processes AS t WHERE  t.document_id <= 72)",extra
SELECT i.process_name FROM Business_Processes AS i WHERE  i.process_id < 49,easy
SELECT process_outcome_code FROM Documents_Processes WHERE process_id BETWEEN 1 AND 10 AND  process_id >= 29 ORDER BY process_outcome_code ASC,medium
SELECT Staff_in_Processes.process_id FROM Process_Outcomes JOIN Documents_Processes JOIN Business_Processes JOIN Staff_in_Processes ON Documents_Processes.process_id = Business_Processes.process_id AND Documents_Processes.document_id = Staff_in_Processes.document_id AND Process_Outcomes.process_outcome_code = Documents_Processes.process_outcome_code WHERE  Business_Processes.process_id = 5 AND document_id IN (SELECT document_id FROM Documents_Processes AS p WHERE  p.document_id != 6) GROUP BY Staff_in_Processes.process_id,extra
"SELECT d.process_id, d.process_id, d.other_details FROM Business_Processes AS d WHERE  d.next_process_id >= 33 GROUP BY d.other_details LIMIT 4",hard
SELECT z.author_name FROM Documents AS z WHERE  z.document_id = 78,easy
"SELECT Documents_Processes.process_status_code, other_details FROM Process_Status JOIN Documents_Processes JOIN Business_Processes ON Documents_Processes.process_status_code = Process_Status.process_status_code AND Documents_Processes.process_id = Business_Processes.process_id WHERE document_id BETWEEN 1 AND 10 AND  next_process_id = 25 GROUP BY Documents_Processes.process_status_code HAVING MAX(next_process_id) = 63 ORDER BY Documents_Processes.process_status_code DESC",extra
SELECT process_outcome_code FROM Process_Outcomes WHERE process_outcome_code IN (SELECT process_outcome_code FROM Documents_Processes AS p WHERE  p.process_id >= 51 LIMIT 3) ORDER BY process_outcome_code DESC,extra
"SELECT MIN(Documents_Processes.process_id), Documents_Processes.process_id FROM Documents JOIN Documents_Processes JOIN Business_Processes ON Documents_Processes.process_id = Business_Processes.process_id AND Documents.document_id = Documents_Processes.document_id WHERE  Business_Processes.process_id != 29 ORDER BY Documents_Processes.process_id ASC",extra
SELECT COUNT(DISTINCT process_status_code) FROM Documents_Processes JOIN Staff_in_Processes ON Documents_Processes.document_id = Staff_in_Processes.document_id WHERE  Documents_Processes.document_id < 84,medium
SELECT process_id FROM Staff_in_Processes WHERE  process_id <= 52,easy
SELECT Documents.document_id FROM Process_Outcomes JOIN Documents JOIN Documents_Processes ON Documents.document_id = Documents_Processes.document_id AND Process_Outcomes.process_outcome_code = Documents_Processes.process_outcome_code WHERE  Documents_Processes.document_id < 14 ORDER BY Documents.document_id DESC LIMIT 6,extra
SELECT COUNT(DISTINCT other_details) FROM Staff JOIN Documents_Processes JOIN Staff_in_Processes ON Documents_Processes.document_id = Staff_in_Processes.document_id AND Staff_in_Processes.staff_id = Staff.staff_id WHERE  Staff_in_Processes.document_id <= 63,hard
"SELECT process_status_code, Process_Outcomes.process_outcome_code FROM Process_Outcomes JOIN Documents_Processes ON Process_Outcomes.process_outcome_code = Documents_Processes.process_outcome_code WHERE  document_id >= 48 LIMIT 6",hard
"SELECT SUM(Documents_Processes.document_id), AVG(Documents.document_id) FROM Process_Status JOIN Documents JOIN Documents_Processes ON Documents_Processes.process_status_code = Process_Status.process_status_code AND Documents.document_id = Documents_Processes.document_id WHERE document_description IN (SELECT document_description FROM Documents AS j WHERE j.document_id BETWEEN 1 AND 10 AND  j.document_id < 74)",extra
"SELECT COUNT(DISTINCT Staff.staff_id), COUNT(DISTINCT date_to) FROM Staff JOIN Staff_in_Processes ON Staff_in_Processes.staff_id = Staff.staff_id",medium
"SELECT AVG(next_process_id), next_process_id FROM Business_Processes GROUP BY next_process_id ORDER BY next_process_id DESC",medium
"SELECT other_details, staff_role_code FROM Staff_in_Processes WHERE  document_id < 56 AND EXISTS (SELECT * FROM Staff AS t WHERE  t.staff_id < 81 AND Staff_in_Processes.document_id = t.staff_id) GROUP BY staff_role_code HAVING COUNT(document_id) < 82",extra
"SELECT process_id, process_status_code FROM Documents_Processes WHERE  process_id < 0 GROUP BY process_id HAVING MIN(process_id) < 75",medium
"SELECT COUNT(DISTINCT q.author_name), q.other_details FROM Authors AS q",medium
"SELECT document_id, staff_role_code FROM Staff_in_Processes WHERE document_id BETWEEN 1 AND 10 AND  process_id >= 9 GROUP BY staff_role_code HAVING MAX(document_id) < 93 ORDER BY staff_role_code ASC",hard
"SELECT COUNT(Business_Processes.process_id), Staff_in_Processes.process_id FROM Staff JOIN Documents_Processes JOIN Business_Processes JOIN Staff_in_Processes ON Documents_Processes.process_id = Business_Processes.process_id AND Documents_Processes.document_id = Staff_in_Processes.document_id AND Staff_in_Processes.staff_id = Staff.staff_id WHERE  Documents_Processes.process_id > 36 GROUP BY Staff_in_Processes.process_id ORDER BY Staff_in_Processes.process_id DESC",extra
"SELECT MIN(staff_id), MAX(staff_id) FROM Staff WHERE  staff_id <= 3 OR staff_id <= (SELECT AVG(staff_id) FROM Staff WHERE  staff_id < 45)",extra
SELECT Documents_Processes.document_id FROM Documents JOIN Documents_Processes JOIN Business_Processes JOIN Authors ON Documents_Processes.process_id = Business_Processes.process_id AND Documents.author_name = Authors.author_name AND Documents.document_id = Documents_Processes.document_id WHERE Documents.document_id BETWEEN 1 AND 10 AND  Documents_Processes.document_id > 31 ORDER BY Documents_Processes.document_id ASC,extra
"SELECT MAX(d.document_id), d.author_name FROM Documents AS d WHERE  d.document_id <= 45 AND other_details <= (SELECT MIN(other_details) FROM Staff_in_Processes AS e WHERE  e.document_id = 75 LIMIT 6) LIMIT 9",extra
"SELECT COUNT(Documents_Processes.process_id), Documents_Processes.document_id FROM Process_Status JOIN Documents JOIN Documents_Processes JOIN Staff_in_Processes ON Documents_Processes.process_status_code = Process_Status.process_status_code AND Documents_Processes.document_id = Staff_in_Processes.document_id AND Documents.document_id = Documents_Processes.document_id WHERE  Documents_Processes.document_id >= 2",extra
