sql,hardness
"SELECT SUM(student_id), event_id FROM Student_Events WHERE  event_id = 52 ORDER BY event_id ASC",medium
SELECT student_id FROM Students WHERE  student_id > 6 OR EXISTS (SELECT * FROM Behaviour_Monitoring AS w WHERE  w.behaviour_monitoring_id > 37 AND Students.student_id = w.student_id LIMIT 4) ORDER BY student_id ASC,extra
"SELECT transcript_details, transcript_details, transcript_details, student_id FROM Transcripts WHERE student_id BETWEEN 1 AND 10 OR  student_id > 15 GROUP BY student_id HAVING AVG(transcript_id) >= 20",hard
SELECT bio_data FROM Students JOIN Student_Loans JOIN Behaviour_Monitoring ON Behaviour_Monitoring.student_id = Students.student_id AND Student_Loans.student_id = Students.student_id WHERE Students.student_id BETWEEN 1 AND 10 LIMIT 6,extra
"SELECT COUNT(DISTINCT amount_of_loan), COUNT(DISTINCT Achievements.achievement_type_code), Achievements.student_id FROM Students JOIN Achievements JOIN Student_Loans JOIN Ref_Achievement_Type ON Students.student_id = Achievements.student_id AND Achievements.achievement_type_code = Ref_Achievement_Type.achievement_type_code AND Student_Loans.student_id = Students.student_id WHERE EXISTS (SELECT * FROM Student_Loans AS d WHERE d.student_id BETWEEN 1 AND 10 AND  d.student_loan_id <= 50 AND Students.student_id = d.student_id) ORDER BY Achievements.student_id ASC",extra
"SELECT MIN(transcript_id), COUNT(DISTINCT date_of_transcript) FROM Transcripts WHERE student_id BETWEEN 1 AND 10",medium
SELECT event_id FROM Ref_Event_Types JOIN Student_Events ON Student_Events.event_type_code = Ref_Event_Types.event_type_code WHERE  event_id <= 2 ORDER BY event_id ASC,hard
"SELECT AVG(detention_id), COUNT(DISTINCT Ref_Detention_Type.detention_type_code), detention_summary FROM Ref_Detention_Type JOIN Detention ON Detention.detention_type_code = Ref_Detention_Type.detention_type_code WHERE  detention_id = 75 GROUP BY detention_summary ORDER BY detention_summary DESC",extra
SELECT student_loan_id FROM Students JOIN Student_Loans JOIN Behaviour_Monitoring ON Behaviour_Monitoring.student_id = Students.student_id AND Student_Loans.student_id = Students.student_id WHERE Student_Loans.student_id BETWEEN 1 AND 10 OR  student_loan_id < 1,extra
"SELECT AVG(Students.student_id), behaviour_monitoring_id, Student_Loans.student_id FROM Students JOIN Achievements JOIN Behaviour_Monitoring JOIN Student_Loans ON Students.student_id = Achievements.student_id AND Behaviour_Monitoring.student_id = Students.student_id AND Student_Loans.student_id = Students.student_id GROUP BY Student_Loans.student_id",extra
SELECT i.transcript_id FROM Transcripts AS i WHERE student_id NOT IN (SELECT student_id FROM Students WHERE  student_id <= 19),hard
SELECT behaviour_monitoring_details FROM Behaviour_Monitoring WHERE behaviour_monitoring_id BETWEEN 1 AND 10 AND  behaviour_monitoring_id > 27 LIMIT 9,medium
"SELECT h.student_id, h.student_details FROM Students AS h WHERE h.student_id BETWEEN 1 AND 10 AND  h.student_id != 47",medium
"SELECT MAX(Achievements.student_id), SUM(achievement_id), MAX(Achievements.student_id) FROM Students JOIN Achievements JOIN Student_Loans JOIN Ref_Achievement_Type ON Students.student_id = Achievements.student_id AND Achievements.achievement_type_code = Ref_Achievement_Type.achievement_type_code AND Student_Loans.student_id = Students.student_id WHERE  Students.student_id <= 21",extra
"SELECT AVG(behaviour_monitoring_id), AVG(achievement_id) FROM Students JOIN Achievements JOIN Behaviour_Monitoring ON Students.student_id = Achievements.student_id AND Behaviour_Monitoring.student_id = Students.student_id WHERE  behaviour_monitoring_id = 39 AND EXISTS (SELECT * FROM Students WHERE Behaviour_Monitoring.behaviour_monitoring_id = student_id)",extra
"SELECT COUNT(DISTINCT m.date_to), m.address_id, m.student_address_id, m.student_id FROM Students_Addresses AS m WHERE  m.address_id != 16 GROUP BY m.student_id HAVING MIN(m.student_id) = 9 ORDER BY m.address_id DESC",hard
"SELECT student_id, student_id FROM Transcripts WHERE transcript_id NOT IN (SELECT transcript_id FROM Transcripts AS a) ORDER BY student_id DESC",extra
SELECT address_id FROM Addresses ORDER BY address_id ASC,easy
