sql,hardness
"SELECT MAX(Customers.customer_id), COUNT(DISTINCT date_became_customer), COUNT(DISTINCT customer_name) FROM Customers JOIN Customer_Contact_Channels JOIN Customer_Orders JOIN Order_Items ON Customers.customer_id = Customer_Contact_Channels.customer_id AND Customer_Orders.customer_id = Customers.customer_id AND Order_Items.order_id = Customer_Orders.order_id WHERE product_id BETWEEN 1 AND 10 LIMIT 9",extra
"SELECT COUNT(DISTINCT Customers.customer_id), Customer_Orders.customer_id FROM Customers JOIN Customer_Orders JOIN Order_Items ON Customer_Orders.customer_id = Customers.customer_id AND Order_Items.order_id = Customer_Orders.order_id WHERE  Order_Items.order_id < 5",hard
"SELECT COUNT(DISTINCT customer_id), channel_code FROM Customer_Contact_Channels WHERE  customer_id > 66 ORDER BY channel_code ASC",medium
SELECT order_id FROM Order_Items WHERE  order_id < 54 ORDER BY order_id DESC LIMIT 5,hard
SELECT Products.product_id FROM Products AS n JOIN Products ON Products.product_id = n.product_id WHERE  n.product_id = 53 ORDER BY Products.product_id DESC,hard
SELECT COUNT(DISTINCT order_details) FROM Customers JOIN Customer_Orders ON Customer_Orders.customer_id = Customers.customer_id WHERE  Customer_Orders.customer_id < 54 OR customer_id > (SELECT MIN(customer_id) FROM Customer_Contact_Channels WHERE  customer_id > 59),extra
"SELECT y.product_details, Products.product_details FROM Products AS y JOIN Products ON Products.product_id = y.product_id WHERE product_details IN (SELECT product_details FROM Products AS o WHERE  o.product_id > 12) GROUP BY y.product_details HAVING MAX(Products.product_id) >= 25 ORDER BY y.product_details DESC LIMIT 5",extra
SELECT order_id FROM Customer_Orders WHERE  customer_id <= 25 ORDER BY order_id DESC LIMIT 5,hard
SELECT COUNT(DISTINCT b.state_province_county) FROM Addresses AS b WHERE b.address_id BETWEEN 1 AND 10 OR  b.address_id <= 66,medium
"SELECT a.customer_id, a.contact_number FROM Customer_Contact_Channels AS a WHERE a.customer_id BETWEEN 1 AND 10 OR channel_code IN (SELECT channel_code FROM Customer_Contact_Channels WHERE customer_id BETWEEN 1 AND 10)",extra
"SELECT AVG(address_id), country FROM Addresses WHERE address_id BETWEEN 1 AND 10 AND  address_id <= 41",medium
"SELECT COUNT(f.address_id), COUNT(DISTINCT f.zip_postcode), f.address_content, f.city FROM Addresses AS f WHERE address_content IN (SELECT address_content FROM Addresses AS k) GROUP BY f.city",extra
"SELECT payment_method, customer_name, other_customer_details FROM Customers WHERE  customer_id < 76 LIMIT 5",medium
"SELECT COUNT(f.address_id), f.address_id, f.address_content FROM Addresses AS f WHERE f.address_id BETWEEN 1 AND 10 AND  f.address_id = 55 GROUP BY f.address_content",extra
"SELECT AVG(address_id), MAX(address_id), zip_postcode FROM Addresses WHERE address_id BETWEEN 1 AND 10 AND EXISTS (SELECT * FROM Customer_Addresses AS c WHERE  c.customer_id < 40 AND Addresses.address_id = c.address_id) ORDER BY zip_postcode DESC LIMIT 9",extra
"SELECT SUM(l.address_id), l.address_id, l.state_province_county, Addresses.zip_postcode FROM Addresses JOIN Addresses AS l ON Addresses.address_id = l.address_id WHERE  l.address_id != 81 GROUP BY Addresses.zip_postcode",hard
SELECT k.zip_postcode FROM Addresses AS k WHERE  k.address_id != 1 ORDER BY k.zip_postcode DESC,medium
"SELECT COUNT(DISTINCT product_id), order_details FROM Customer_Orders JOIN Order_Items ON Order_Items.order_id = Customer_Orders.order_id WHERE  Customer_Orders.order_id >= 27 LIMIT 8",hard
SELECT c.other_customer_details FROM Customers AS c WHERE  c.customer_id <= 81 AND date_became_customer = (SELECT MIN(date_became_customer) FROM Customers WHERE customer_id BETWEEN 1 AND 10),extra
SELECT order_details FROM Customer_Orders WHERE  order_id <= 75 OR order_status IN (SELECT order_status FROM Customer_Orders AS e WHERE e.order_id BETWEEN 1 AND 10) ORDER BY order_details DESC,extra
SELECT AVG(Customer_Orders.order_id) FROM Products JOIN Customers JOIN Customer_Orders JOIN Order_Items ON Customer_Orders.customer_id = Customers.customer_id AND Order_Items.order_id = Customer_Orders.order_id AND Products.product_id = Order_Items.product_id WHERE order_date != (SELECT MIN(order_date) FROM Customer_Orders AS p WHERE  p.order_id > 31),extra
"SELECT SUM(t.product_id), t.product_id FROM Order_Items AS t",medium
"SELECT Customer_Contact_Channels.customer_id, Customers.customer_id FROM Customers JOIN Customer_Contact_Channels ON Customers.customer_id = Customer_Contact_Channels.customer_id WHERE  Customer_Contact_Channels.customer_id <= 95 ORDER BY Customers.customer_id DESC",hard
"SELECT customer_id, other_customer_details FROM Customers",medium
"SELECT AVG(z.customer_id), COUNT(z.customer_id) FROM Customer_Contact_Channels AS z WHERE  z.customer_id > 52 LIMIT 3",extra
"SELECT MIN(o.customer_id), COUNT(DISTINCT o.customer_id) FROM Customers AS o WHERE o.customer_id BETWEEN 1 AND 10 OR  o.customer_id = 72",hard
SELECT Customer_Orders.order_id FROM Customer_Orders JOIN Order_Items ON Order_Items.order_id = Customer_Orders.order_id WHERE  customer_id > 90,medium
SELECT z.other_address_details FROM Addresses AS z WHERE  z.address_id >= 40 LIMIT 10,medium
"SELECT COUNT(DISTINCT date_became_customer), customer_id, date_became_customer FROM Customers GROUP BY date_became_customer HAVING MAX(customer_id) >= 44 ORDER BY date_became_customer ASC",medium
