sql,hardness
"SELECT MIN(account_id), account_name FROM Accounts WHERE  customer_id >= 4",medium
SELECT o.order_details FROM Orders AS o WHERE  o.order_id <= 87 ORDER BY o.order_details ASC LIMIT 5,hard
"SELECT SUM(vat_rating), MIN(vat_rating), product_type_description FROM Product_Categories WHERE vat_rating BETWEEN 1 AND 10 OR product_type_description IN (SELECT product_type_description FROM Product_Categories AS t WHERE  t.vat_rating <= 40 LIMIT 8) GROUP BY product_type_description LIMIT 2",extra
SELECT u.product_title FROM Invoice_Line_Items AS u WHERE  u.product_price != 86 AND derived_product_cost IN (SELECT derived_product_cost FROM Invoice_Line_Items AS a WHERE  a.order_item_id >= 96) ORDER BY u.product_title ASC LIMIT 3,extra
"SELECT COUNT(DISTINCT invoice_number), transaction_type FROM Financial_Transactions WHERE  account_id <= 68 ORDER BY transaction_type ASC LIMIT 4",hard
"SELECT COUNT(DISTINCT login_password), Customers.customer_id FROM Customers JOIN Invoices JOIN Accounts JOIN Orders ON Orders.customer_id = Customers.customer_id AND Invoices.order_id = Orders.order_id AND Customers.customer_id = Accounts.customer_id WHERE  Orders.customer_id <= 9 LIMIT 5",extra
"SELECT u.unit_price, u.unit_price FROM Products AS u WHERE u.unit_price BETWEEN 1 AND 10 OR  u.parent_product_id >= 92",extra
"SELECT customer_id, order_details FROM Invoice_Line_Items JOIN Invoices JOIN Orders ON Invoices.order_id = Orders.order_id AND Invoices.invoice_number = Invoice_Line_Items.invoice_number WHERE  product_price < 51 OR derived_product_cost NOT IN (SELECT derived_product_cost FROM Invoice_Line_Items) ORDER BY order_details ASC",extra
"SELECT Orders.order_id, Orders.customer_id, account_id FROM Customers JOIN Invoices JOIN Accounts JOIN Orders ON Orders.customer_id = Customers.customer_id AND Invoices.order_id = Orders.order_id AND Customers.customer_id = Accounts.customer_id WHERE Orders.order_id BETWEEN 1 AND 10 AND email_address NOT IN (SELECT email_address FROM Customers AS d WHERE d.customer_id BETWEEN 1 AND 10 OR  d.customer_id = 24)",extra
"SELECT other_transaction_details, transaction_comment FROM Financial_Transactions WHERE  transaction_amount >= 92",medium
"SELECT account_id, account_id, transaction_type FROM Financial_Transactions WHERE  invoice_number >= 10 GROUP BY transaction_type",medium
SELECT Customers.customer_id FROM Customers JOIN Accounts JOIN Orders ON Orders.customer_id = Customers.customer_id AND Customers.customer_id = Accounts.customer_id WHERE EXISTS (SELECT * FROM Customers AS d WHERE  d.customer_id > 22 AND Accounts.account_id = d.customer_id) ORDER BY Customers.customer_id DESC LIMIT 1,extra
"SELECT COUNT(DISTINCT email_address), country FROM Customers JOIN Orders ON Orders.customer_id = Customers.customer_id WHERE EXISTS (SELECT * FROM Order_Items AS k WHERE k.product_id BETWEEN 1 AND 10 OR  k.order_item_id <= 6 AND Orders.order_id = k.order_id) GROUP BY country HAVING MAX(Orders.customer_id) > 34",extra
SELECT MAX(order_item_id) FROM Order_Items JOIN Products ON Products.product_id = Order_Items.product_id WHERE order_item_id BETWEEN 1 AND 10 OR order_item_id NOT IN (SELECT order_item_id FROM Invoice_Line_Items AS l WHERE  l.product_id >= 9 LIMIT 4),extra
"SELECT MIN(vat_rating), production_type_code FROM Product_Categories WHERE production_type_code NOT IN (SELECT production_type_code FROM Products AS e WHERE  e.product_id = 39 LIMIT 2) ORDER BY production_type_code DESC",extra
"SELECT n.login_password, Customers.state_county_province FROM Customers AS n JOIN Customers ON Customers.customer_id = n.customer_id WHERE Customers.customer_id BETWEEN 1 AND 10 OR  n.customer_id < 56 GROUP BY Customers.state_county_province ORDER BY Customers.state_county_province ASC",extra
SELECT e.invoice_number FROM Invoices AS e ORDER BY e.invoice_number ASC,easy
SELECT Invoices.invoice_number FROM Invoices AS e JOIN Invoices ON Invoices.invoice_number = e.invoice_number WHERE  e.invoice_number = 16 AND EXISTS (SELECT * FROM Orders AS r WHERE  r.customer_id >= 59 AND Invoices.invoice_number = r.order_id) ORDER BY Invoices.invoice_number ASC LIMIT 6,extra
SELECT e.vat_rating FROM Product_Categories AS e WHERE  e.vat_rating >= 84 GROUP BY e.vat_rating HAVING COUNT(e.vat_rating) < 16 ORDER BY e.vat_rating ASC,hard
SELECT country FROM Customers JOIN Orders ON Orders.customer_id = Customers.customer_id WHERE  Orders.customer_id > 29 LIMIT 8,hard
SELECT account_name FROM Financial_Transactions JOIN Accounts ON Accounts.account_id = Financial_Transactions.account_id WHERE transaction_amount BETWEEN 1 AND 10 OR EXISTS (SELECT * FROM Financial_Transactions WHERE  transaction_amount <= 16 AND Accounts.account_id = account_id LIMIT 6) LIMIT 6,extra
SELECT r.order_id FROM Orders AS r WHERE  r.order_id >= 36 LIMIT 5,medium
SELECT phone_number FROM Customers JOIN Orders ON Orders.customer_id = Customers.customer_id WHERE  Orders.customer_id >= 53 ORDER BY phone_number ASC,hard
"SELECT u.transaction_comment, u.transaction_type FROM Financial_Transactions AS u ORDER BY u.transaction_type ASC LIMIT 1",medium
"SELECT customer_id, email_address FROM Customers WHERE  customer_id >= 7",medium
"SELECT AVG(invoice_number), invoice_number FROM Financial_Transactions WHERE  transaction_amount = 36 ORDER BY invoice_number ASC",medium
SELECT Customers.customer_id FROM Customers JOIN Orders ON Orders.customer_id = Customers.customer_id WHERE customer_id > (SELECT MIN(customer_id) FROM Accounts AS i LIMIT 5) LIMIT 6,extra
