sql,hardness
SELECT Date FROM debate JOIN debate_people JOIN people ON debate_people.Negative = people.People_ID AND debate_people.Debate_ID = debate.Debate_ID AND people.People_ID = debate_people.Affirmative WHERE  People_ID = 99,hard
SELECT l.Date FROM debate JOIN debate AS l ON debate.Debate_ID = l.Debate_ID WHERE  l.Num_of_Audience < 62,medium
"SELECT COUNT(g.Age), g.Party FROM people AS g WHERE  g.Age < 36 ORDER BY g.Party ASC",medium
"SELECT Debate_ID, District FROM debate_people JOIN people ON debate_people.Negative = people.People_ID AND people.People_ID = debate_people.Affirmative GROUP BY District ORDER BY District ASC",hard
"SELECT COUNT(DISTINCT debate_people.Debate_ID), Venue FROM debate JOIN debate_people ON debate_people.Debate_ID = debate.Debate_ID WHERE  Num_of_Audience <= 77 GROUP BY Venue ORDER BY Venue DESC",extra
SELECT Party FROM people WHERE  People_ID > 25 ORDER BY Party DESC LIMIT 3,hard
SELECT COUNT(DISTINCT j.Debate_ID) FROM debate_people AS j WHERE  j.Negative != 25,easy
"SELECT Negative, Debate_ID FROM debate_people LIMIT 9",medium
"SELECT AVG(Negative), Negative FROM debate_people JOIN people ON debate_people.Negative = people.People_ID AND people.People_ID = debate_people.Affirmative ORDER BY Negative DESC",medium
"SELECT Affirmative, Negative FROM debate JOIN debate_people ON debate_people.Debate_ID = debate.Debate_ID WHERE  debate_people.Debate_ID > 71",medium
"SELECT MAX(debate_people.Debate_ID), SUM(People_ID) FROM debate JOIN debate_people JOIN people ON debate_people.Negative = people.People_ID AND debate_people.Debate_ID = debate.Debate_ID AND people.People_ID = debate_people.Affirmative WHERE  Negative >= 42 OR EXISTS (SELECT * FROM debate WHERE debate_people.Debate_ID = Debate_ID LIMIT 7)",extra
"SELECT COUNT(DISTINCT Age), Venue, Affirmative FROM debate JOIN debate_people JOIN people ON debate_people.Negative = people.People_ID AND debate_people.Debate_ID = debate.Debate_ID AND people.People_ID = debate_people.Affirmative WHERE Negative IN (SELECT Negative FROM debate_people AS m) GROUP BY Affirmative HAVING MAX(debate_people.Debate_ID) >= 87 ORDER BY Affirmative ASC",extra
"SELECT SUM(Debate_ID), People_ID FROM debate_people JOIN people ON debate_people.Negative = people.People_ID AND people.People_ID = debate_people.Affirmative WHERE  Debate_ID = 83",medium
SELECT If_Affirmative_Win FROM debate_people JOIN people ON debate_people.Negative = people.People_ID AND people.People_ID = debate_people.Affirmative,easy
SELECT h.Age FROM people AS h WHERE h.Age BETWEEN 1 AND 10 OR  h.People_ID > 10 ORDER BY h.Age DESC,hard
"SELECT AVG(Debate_ID), Affirmative FROM debate_people WHERE Affirmative BETWEEN 1 AND 10 OR  Affirmative <= 63 GROUP BY Affirmative HAVING MIN(Negative) = 35 ORDER BY Affirmative DESC LIMIT 3",extra
"SELECT COUNT(DISTINCT Venue), Venue FROM debate WHERE  Num_of_Audience > 66 OR Date = (SELECT SUM(Date) FROM debate AS l)",extra
"SELECT COUNT(DISTINCT n.Negative), n.Negative FROM debate_people AS n WHERE  n.Negative <= 51 ORDER BY n.Negative ASC",medium
"SELECT n.Venue, n.Venue, n.Num_of_Audience FROM debate AS n WHERE  n.Debate_ID <= 31 GROUP BY n.Num_of_Audience HAVING AVG(n.Debate_ID) = 93",medium
"SELECT COUNT(debate.Debate_ID), COUNT(DISTINCT debate.Venue) FROM debate JOIN debate AS k ON debate.Debate_ID = k.Debate_ID WHERE debate.Num_of_Audience BETWEEN 1 AND 10 OR Venue NOT IN (SELECT Venue FROM debate WHERE  Num_of_Audience <= 56)",extra
"SELECT MAX(Affirmative), Affirmative FROM debate_people WHERE  Affirmative >= 11 GROUP BY Affirmative",medium
