sql,hardness
"SELECT v.Integration_Platform_ID, v.Customer_Interaction_ID FROM Integration_Platform AS v WHERE v.Customer_Interaction_ID BETWEEN 1 AND 10 GROUP BY v.Customer_Interaction_ID HAVING COUNT(v.Customer_Interaction_ID) >= 80",medium
"SELECT MIN(Channels.Channel_ID), Channels.Channel_Details, x.Channel_Details FROM Channels JOIN Channels AS x ON Channels.Channel_ID = x.Channel_ID WHERE  x.Channel_ID < 43 GROUP BY x.Channel_Details ORDER BY x.Channel_Details ASC",extra
"SELECT Services_and_Channels_Details, Channel_ID FROM Customer_Interactions JOIN Integration_Platform ON Integration_Platform.Customer_Interaction_ID = Customer_Interactions.Customer_Interaction_ID WHERE Customer_ID = (SELECT SUM(Customer_ID) FROM Customers_and_Services WHERE  Service_ID < 11) GROUP BY Channel_ID HAVING COUNT(Channel_ID) = 28 LIMIT 2",extra
"SELECT Services.Service_ID, Customers_and_Services_Details, Service_Details FROM Services JOIN Customers_and_Services ON Services.Service_ID = Customers_and_Services.Service_ID WHERE Services.Service_ID BETWEEN 1 AND 10 AND Customer_ID IN (SELECT Customer_ID FROM Customer_Interactions WHERE Customer_Interaction_ID BETWEEN 1 AND 10) GROUP BY Service_Details ORDER BY Customers_and_Services_Details DESC",extra
"SELECT w.Integration_Platform_ID, w.Integration_Platform_ID, w.Integration_Platform_Details FROM Integration_Platform AS w WHERE w.Customer_Interaction_ID BETWEEN 1 AND 10 AND  w.Integration_Platform_ID < 19 ORDER BY w.Integration_Platform_ID ASC LIMIT 3",hard
"SELECT COUNT(Analytical_Layer.Analytical_ID), Analytical_Layer.Analytical_ID, Analytical_Layer.Analytical_ID FROM Analytical_Layer JOIN Analytical_Layer AS w ON Analytical_Layer.Analytical_ID = w.Analytical_ID WHERE Analytical_Layer.Analytical_ID BETWEEN 1 AND 10",medium
"SELECT q.Customers_and_Services_ID, q.Customers_and_Services_Details FROM Customers_and_Services AS q WHERE q.Service_ID BETWEEN 1 AND 10 GROUP BY q.Customers_and_Services_Details ORDER BY q.Customers_and_Services_ID DESC",hard
"SELECT SUM(Customer_ID), Status_Code, Customer_ID FROM Channels JOIN Customer_Interactions ON Channels.Channel_ID = Customer_Interactions.Channel_ID GROUP BY Customer_ID",medium
"SELECT MAX(z.Customer_ID), COUNT(DISTINCT z.Customers_and_Services_Details) FROM Customers_and_Services AS z WHERE  z.Customers_and_Services_ID <= 63",medium
SELECT Status_Code FROM Customer_Interactions JOIN Customers ON Customer_Interactions.Customer_ID = Customers.Customer_ID WHERE  Service_ID > 3 AND Channel_ID IN (SELECT Channel_ID FROM Customer_Interactions AS b WHERE  b.Customer_Interaction_ID >= 81 LIMIT 10),extra
"SELECT AVG(Customer_ID), Status_Code FROM Customer_Interactions JOIN Integration_Platform ON Integration_Platform.Customer_Interaction_ID = Customer_Interactions.Customer_Interaction_ID ORDER BY Status_Code DESC",medium
"SELECT COUNT(DISTINCT Customers_and_Services_ID), Customers_and_Services_ID, Customers_and_Services_Details FROM Customers JOIN Services JOIN Customers_and_Services ON Customers_and_Services.Customer_ID = Customers.Customer_ID AND Services.Service_ID = Customers_and_Services.Service_ID GROUP BY Customers_and_Services_Details HAVING MAX(Customers_and_Services.Service_ID) > 30",hard
"SELECT MAX(Channel_ID), Channel_Details FROM Channels WHERE Channel_ID BETWEEN 1 AND 10 AND Channel_ID IN (SELECT Channel_ID FROM Channels WHERE  Channel_ID < 4) GROUP BY Channel_Details",extra
SELECT Customers_and_Services_ID FROM Customer_Interactions JOIN Services JOIN Customers_and_Services JOIN Integration_Platform ON Customer_Interactions.Service_ID = Services.Service_ID AND Services.Service_ID = Customers_and_Services.Service_ID AND Integration_Platform.Customer_Interaction_ID = Customer_Interactions.Customer_Interaction_ID WHERE  Customers_and_Services.Customer_ID >= 15 OR Customers_and_Services_Details <= (SELECT AVG(Customers_and_Services_Details) FROM Customers_and_Services AS j WHERE  j.Customers_and_Services_ID < 68) ORDER BY Customers_and_Services_ID ASC,extra
