sql,hardness
"SELECT e.Customer_ID, e.Customer_Details FROM Customers AS e WHERE  e.Customer_ID = 13 GROUP BY e.Customer_Details ORDER BY e.Customer_Details DESC",hard
SELECT Customer_Details FROM Customers WHERE EXISTS (SELECT * FROM Customer_Policies AS m WHERE Customers.Customer_ID = m.Customer_ID),hard
"SELECT COUNT(Amount_Claimed), COUNT(DISTINCT Policy_ID) FROM Claims",medium
"SELECT AVG(w.Customer_ID), w.Customer_Details FROM Customers AS w ORDER BY w.Customer_Details DESC LIMIT 8",medium
"SELECT p.Customer_ID, p.Customer_ID FROM Customer_Policies AS p WHERE  p.Customer_ID < 10 AND Policy_Type_Code NOT IN (SELECT Policy_Type_Code FROM Customer_Policies AS g WHERE g.Policy_ID BETWEEN 1 AND 10 AND  g.Customer_ID != 85 LIMIT 9)",extra
"SELECT Customer_Details, Customer_Details FROM Customers JOIN Customer_Policies JOIN Claims ON Customer_Policies.Customer_ID = Customers.Customer_ID AND Claims.Policy_ID = Customer_Policies.Policy_ID WHERE Amount_Settled BETWEEN 1 AND 10 AND  Amount_Claimed != 60",hard
"SELECT Payment_Method_Code, Claims.Policy_ID FROM Claims JOIN Settlements JOIN Customer_Policies JOIN Payments ON Claims.Policy_ID = Customer_Policies.Policy_ID AND Settlements.Claim_ID = Claims.Claim_ID AND Payments.Settlement_ID = Settlements.Settlement_ID WHERE  Settlements.Amount_Settled != 34 GROUP BY Claims.Policy_ID",extra
"SELECT MAX(Payments.Settlement_ID), Claim_ID FROM Settlements JOIN Payments ON Payments.Settlement_ID = Settlements.Settlement_ID",medium
"SELECT Customer_Details, Customer_Details FROM Customers WHERE  Customer_ID < 2 GROUP BY Customer_Details",medium
"SELECT Customer_Policy_ID, Customer_Policy_ID FROM Settlements WHERE Settlement_ID BETWEEN 1 AND 10 AND EXISTS (SELECT * FROM Claims AS m WHERE m.Policy_ID BETWEEN 1 AND 10 AND Settlements.Settlement_ID = m.Claim_ID LIMIT 2) LIMIT 2",extra
"SELECT Policy_ID, Customer_ID, Policy_Type_Code FROM Customer_Policies ORDER BY Customer_ID ASC LIMIT 8",medium
"SELECT n.Customer_Policy_ID, n.Amount_Settled FROM Settlements AS n JOIN Settlements ON Settlements.Settlement_ID = n.Settlement_ID WHERE  n.Claim_ID < 36 ORDER BY n.Amount_Settled DESC",hard
SELECT j.Customer_Details FROM Customers AS j JOIN Customers ON Customers.Customer_ID = j.Customer_ID WHERE  Customers.Customer_ID != 12 LIMIT 5,hard
"SELECT z.Amount_Settled, z.Amount_Settled FROM Claims AS z",medium
"SELECT Amount_Payment, Payment_Method_Code FROM Payments WHERE  Amount_Payment != 65 GROUP BY Amount_Payment HAVING AVG(Amount_Payment) <= 98 LIMIT 6",hard
"SELECT Policy_Type_Code, Policy_Type_Code, Customer_Details, Start_Date FROM Customers JOIN Settlements JOIN Customer_Policies JOIN Claims ON Customer_Policies.Customer_ID = Customers.Customer_ID AND Claims.Policy_ID = Customer_Policies.Policy_ID AND Settlements.Claim_ID = Claims.Claim_ID WHERE  Claims.Policy_ID < 21 GROUP BY Start_Date ORDER BY Customer_Details DESC",extra
"SELECT Policy_Type_Code, Policy_Type_Code, Claims.Amount_Claimed FROM Claims JOIN Settlements JOIN Customer_Policies ON Claims.Policy_ID = Customer_Policies.Policy_ID AND Settlements.Claim_ID = Claims.Claim_ID WHERE Customer_Policies.Policy_ID BETWEEN 1 AND 10 AND  Claims.Claim_ID < 51 GROUP BY Claims.Amount_Claimed ORDER BY Policy_Type_Code DESC LIMIT 6",extra
"SELECT Settlement_ID, Payment_Method_Code FROM Payments ORDER BY Settlement_ID DESC",medium
"SELECT COUNT(DISTINCT Claims.Amount_Claimed), Customers.Customer_ID, Customer_Policy_ID FROM Customers JOIN Settlements JOIN Customer_Policies JOIN Claims ON Customer_Policies.Customer_ID = Customers.Customer_ID AND Claims.Policy_ID = Customer_Policies.Policy_ID AND Settlements.Claim_ID = Claims.Claim_ID WHERE  Settlements.Claim_ID <= 3 GROUP BY Customer_Policy_ID ORDER BY Customer_Policy_ID DESC",extra
"SELECT COUNT(DISTINCT Amount_Payment), COUNT(DISTINCT Settlement_ID), Payment_Method_Code FROM Payments WHERE  Payment_ID > 83 OR Settlement_ID IN (SELECT Settlement_ID FROM Payments LIMIT 4) GROUP BY Payment_Method_Code HAVING MAX(Settlement_ID) >= 82 LIMIT 7",extra
"SELECT COUNT(DISTINCT Customer_ID), Claim_ID, Claims.Policy_ID FROM Claims JOIN Customer_Policies ON Claims.Policy_ID = Customer_Policies.Policy_ID WHERE Date_Claim_Settled != (SELECT SUM(Date_Claim_Settled) FROM Claims AS k WHERE  k.Policy_ID != 62)",extra
"SELECT Customer_ID, End_Date FROM Customer_Policies WHERE Policy_Type_Code < (SELECT MIN(Policy_Type_Code) FROM Customer_Policies AS d) GROUP BY End_Date HAVING MIN(Policy_ID) <= 22 ORDER BY Customer_ID ASC",extra
SELECT v.Settlement_ID FROM Payments AS v JOIN Payments ON Payments.Payment_ID = v.Payment_ID WHERE Settlement_ID NOT IN (SELECT Settlement_ID FROM Payments AS o WHERE  o.Amount_Payment = 91),extra
SELECT COUNT(DISTINCT Customer_ID) FROM Customer_Policies WHERE  Policy_ID > 31 OR EXISTS (SELECT * FROM Customers AS m WHERE m.Customer_ID BETWEEN 1 AND 10 AND  m.Customer_ID < 53 AND Customer_Policies.Policy_ID = m.Customer_ID),extra
"SELECT MAX(Customer_Policy_ID), COUNT(DISTINCT Claims.Date_Claim_Settled) FROM Claims JOIN Settlements JOIN Customer_Policies JOIN Payments ON Claims.Policy_ID = Customer_Policies.Policy_ID AND Settlements.Claim_ID = Claims.Claim_ID AND Payments.Settlement_ID = Settlements.Settlement_ID WHERE Settlements.Amount_Settled BETWEEN 1 AND 10 AND Customer_ID <= (SELECT MIN(Customer_ID) FROM Customers AS a WHERE  a.Customer_ID <= 17)",extra
"SELECT Payment_Method_Code, Payment_Method_Code, Payment_Method_Code, Claims.Amount_Settled FROM Claims JOIN Settlements JOIN Payments ON Settlements.Claim_ID = Claims.Claim_ID AND Payments.Settlement_ID = Settlements.Settlement_ID WHERE EXISTS (SELECT * FROM Claims WHERE Amount_Settled BETWEEN 1 AND 10 AND Settlements.Settlement_ID = Claim_ID) GROUP BY Claims.Amount_Settled HAVING COUNT(Payments.Settlement_ID) >= 19",extra
"SELECT k.Customer_ID, k.Policy_Type_Code FROM Customer_Policies AS k WHERE  k.Customer_ID >= 51 ORDER BY k.Customer_ID ASC LIMIT 7",hard
"SELECT Policy_Type_Code, Customer_ID FROM Customer_Policies WHERE Customer_ID BETWEEN 1 AND 10 AND  Policy_ID >= 11 GROUP BY Customer_ID HAVING COUNT(Customer_ID) >= 41",extra
"SELECT COUNT(DISTINCT Date_Claim_Made), COUNT(DISTINCT Claim_ID), Policy_Type_Code, Amount_Settled FROM Customers JOIN Customer_Policies JOIN Claims ON Customer_Policies.Customer_ID = Customers.Customer_ID AND Claims.Policy_ID = Customer_Policies.Policy_ID WHERE Customer_Policies.Policy_ID BETWEEN 1 AND 10 GROUP BY Amount_Settled HAVING MAX(Amount_Claimed) > 42 ORDER BY Policy_Type_Code DESC",extra
"SELECT Customer_Details, Customer_Details, Customer_Details FROM Customers WHERE Customer_ID BETWEEN 1 AND 10 OR EXISTS (SELECT * FROM Customer_Policies AS k WHERE k.Policy_ID BETWEEN 1 AND 10 AND Customers.Customer_ID = k.Customer_ID)",extra
"SELECT COUNT(DISTINCT Customer_Policies.Start_Date), Customer_Policies.Policy_Type_Code FROM Customer_Policies AS r JOIN Customer_Policies ON Customer_Policies.Policy_ID = r.Policy_ID WHERE r.Policy_ID BETWEEN 1 AND 10 ORDER BY Customer_Policies.Policy_Type_Code DESC",hard
SELECT v.Payment_ID FROM Payments AS v JOIN Payments ON Payments.Payment_ID = v.Payment_ID WHERE  v.Settlement_ID < 33 ORDER BY v.Payment_ID DESC,hard
