sql,hardness
SELECT product_id FROM Product_Characteristics WHERE characteristic_id BETWEEN 1 AND 10 AND  product_id != 51 LIMIT 3,medium
"SELECT AVG(characteristic_id), Ref_Characteristic_Types.characteristic_type_code FROM Characteristics JOIN Ref_Characteristic_Types ON Characteristics.characteristic_type_code = Ref_Characteristic_Types.characteristic_type_code WHERE  characteristic_id = 64 ORDER BY Ref_Characteristic_Types.characteristic_type_code DESC",hard
"SELECT product_id, product_id, other_product_details, product_category_code FROM Ref_Colors JOIN Products ON Products.color_code = Ref_Colors.color_code WHERE typical_selling_price IN (SELECT typical_selling_price FROM Products WHERE product_id BETWEEN 1 AND 10) GROUP BY product_category_code",extra
"SELECT SUM(Characteristics.characteristic_id), Product_Characteristics.characteristic_id FROM Characteristics JOIN Ref_Characteristic_Types JOIN Product_Characteristics ON Characteristics.characteristic_type_code = Ref_Characteristic_Types.characteristic_type_code AND Characteristics.characteristic_id = Product_Characteristics.characteristic_id WHERE  Characteristics.characteristic_id > 54 ORDER BY Product_Characteristics.characteristic_id DESC LIMIT 3",extra
"SELECT Product_Characteristics.product_id, product_category_description FROM Ref_Colors JOIN Ref_Product_Categories JOIN Product_Characteristics JOIN Products ON Products.color_code = Ref_Colors.color_code AND Products.product_id = Product_Characteristics.product_id AND Ref_Product_Categories.product_category_code = Products.product_category_code",hard
SELECT characteristic_type_code FROM Ref_Characteristic_Types ORDER BY characteristic_type_code ASC LIMIT 1,medium
SELECT color_code FROM Ref_Colors WHERE color_code NOT IN (SELECT color_code FROM Ref_Colors),hard
"SELECT Characteristics.characteristic_id, Characteristics.characteristic_name, r.characteristic_data_type FROM Characteristics AS r JOIN Characteristics ON Characteristics.characteristic_id = r.characteristic_id WHERE  Characteristics.characteristic_id <= 23 GROUP BY r.characteristic_data_type HAVING SUM(Characteristics.characteristic_id) = 44 ORDER BY Characteristics.characteristic_name DESC LIMIT 6",extra
"SELECT COUNT(product_id), typical_selling_price FROM Products WHERE product_id BETWEEN 1 AND 10 OR  product_id < 36 ORDER BY typical_selling_price DESC LIMIT 7",extra
"SELECT COUNT(product_id), product_description FROM Ref_Colors JOIN Ref_Product_Categories JOIN Products ON Products.color_code = Ref_Colors.color_code AND Ref_Product_Categories.product_category_code = Products.product_category_code WHERE  product_id != 44 GROUP BY product_description HAVING COUNT(product_id) >= 68",extra
"SELECT SUM(Characteristics.characteristic_id), AVG(product_id) FROM Characteristics JOIN Product_Characteristics ON Characteristics.characteristic_id = Product_Characteristics.characteristic_id WHERE product_characteristic_value NOT IN (SELECT product_characteristic_value FROM Product_Characteristics AS s WHERE s.product_id BETWEEN 1 AND 10 AND  s.characteristic_id <= 23 LIMIT 8)",extra
"SELECT SUM(product_id), product_characteristic_value FROM Product_Characteristics WHERE  product_id <= 43 AND characteristic_id IN (SELECT characteristic_id FROM Product_Characteristics AS o LIMIT 2)",extra
"SELECT COUNT(DISTINCT characteristic_id), characteristic_data_type FROM Characteristics WHERE characteristic_id BETWEEN 1 AND 10 OR EXISTS (SELECT * FROM Product_Characteristics WHERE Characteristics.characteristic_id = characteristic_id LIMIT 6) GROUP BY characteristic_data_type HAVING AVG(characteristic_id) >= 2",extra
"SELECT COUNT(DISTINCT product_id), COUNT(DISTINCT product_id), product_characteristic_value FROM Product_Characteristics WHERE product_id BETWEEN 1 AND 10 AND  characteristic_id = 37 ORDER BY product_characteristic_value ASC",hard
SELECT product_category_code FROM Products WHERE  product_id = 3 LIMIT 5,medium
SELECT a.other_characteristic_details FROM Characteristics JOIN Characteristics AS a ON Characteristics.characteristic_id = a.characteristic_id WHERE characteristic_data_type NOT IN (SELECT characteristic_data_type FROM Characteristics WHERE characteristic_id BETWEEN 1 AND 10 LIMIT 8) LIMIT 7,extra
"SELECT MAX(characteristic_id), MIN(characteristic_id), characteristic_id, other_characteristic_details FROM Characteristics JOIN Ref_Characteristic_Types ON Characteristics.characteristic_type_code = Ref_Characteristic_Types.characteristic_type_code WHERE  characteristic_id >= 12 GROUP BY other_characteristic_details HAVING AVG(characteristic_id) < 84",hard
"SELECT p.typical_buying_price, p.product_category_code, p.product_description FROM Products AS p WHERE  p.product_id = 87 GROUP BY p.product_description HAVING SUM(p.product_id) = 70 ORDER BY p.product_category_code DESC LIMIT 4",extra
