sql,hardness
"SELECT RESTAURANT_ID, ID, REGION FROM GEOGRAPHIC JOIN RESTAURANT JOIN LOCATION ON GEOGRAPHIC.CITY_NAME = RESTAURANT.CITY_NAME AND LOCATION.CITY_NAME = GEOGRAPHIC.CITY_NAME WHERE RATING NOT IN (SELECT RATING FROM RESTAURANT AS e) GROUP BY REGION HAVING SUM(RESTAURANT_ID) >= 66 LIMIT 9",extra
"SELECT COUNT(DISTINCT LOCATION.CITY_NAME), y.HOUSE_NUMBER FROM LOCATION AS y JOIN LOCATION ON LOCATION.RESTAURANT_ID = y.RESTAURANT_ID WHERE  LOCATION.HOUSE_NUMBER < 29 AND EXISTS (SELECT * FROM GEOGRAPHIC AS m WHERE LOCATION.RESTAURANT_ID = m.CITY_NAME)",extra
"SELECT ID, RESTAURANT.CITY_NAME, RATING FROM GEOGRAPHIC JOIN RESTAURANT ON GEOGRAPHIC.CITY_NAME = RESTAURANT.CITY_NAME WHERE RATING BETWEEN 1 AND 10 GROUP BY RATING",hard
"SELECT MAX(RESTAURANT_ID), CITY_NAME FROM LOCATION WHERE  HOUSE_NUMBER > 44 GROUP BY CITY_NAME HAVING MIN(RESTAURANT_ID) >= 42",medium
"SELECT AVG(ID), COUNT(DISTINCT ID), NAME FROM RESTAURANT WHERE  RATING = 85 GROUP BY NAME HAVING SUM(ID) >= 17",extra
"SELECT LOCATION.STREET_NAME, LOCATION.HOUSE_NUMBER FROM LOCATION AS x JOIN LOCATION ON LOCATION.RESTAURANT_ID = x.RESTAURANT_ID WHERE RESTAURANT_ID > (SELECT AVG(RESTAURANT_ID) FROM LOCATION AS f WHERE  f.RESTAURANT_ID = 16 LIMIT 10) GROUP BY LOCATION.HOUSE_NUMBER HAVING MAX(LOCATION.RESTAURANT_ID) < 83 ORDER BY LOCATION.STREET_NAME DESC",extra
"SELECT COUNT(HOUSE_NUMBER), LOCATION.CITY_NAME FROM GEOGRAPHIC JOIN LOCATION ON LOCATION.CITY_NAME = GEOGRAPHIC.CITY_NAME WHERE HOUSE_NUMBER BETWEEN 1 AND 10 LIMIT 3",hard
"SELECT MAX(RESTAURANT_ID), COUNT(DISTINCT CITY_NAME) FROM LOCATION WHERE  HOUSE_NUMBER != 77",medium
"SELECT GEOGRAPHIC.CITY_NAME, COUNTY FROM GEOGRAPHIC JOIN LOCATION ON LOCATION.CITY_NAME = GEOGRAPHIC.CITY_NAME WHERE  RESTAURANT_ID != 54 GROUP BY COUNTY HAVING COUNT(HOUSE_NUMBER) <= 14",hard
SELECT COUNT(DISTINCT CITY_NAME) FROM LOCATION WHERE  RESTAURANT_ID = 72 LIMIT 2,medium
"SELECT RESTAURANT.ID, RESTAURANT.ID FROM RESTAURANT AS a JOIN RESTAURANT ON RESTAURANT.ID = a.ID WHERE  RESTAURANT.ID > 16 ORDER BY RESTAURANT.ID DESC",hard
"SELECT COUNT(RESTAURANT_ID), SUM(RESTAURANT_ID), COUNT(DISTINCT HOUSE_NUMBER), HOUSE_NUMBER FROM LOCATION WHERE HOUSE_NUMBER BETWEEN 1 AND 10 OR RESTAURANT_ID != (SELECT AVG(RESTAURANT_ID) FROM LOCATION AS k WHERE  k.RESTAURANT_ID = 87) GROUP BY HOUSE_NUMBER ORDER BY HOUSE_NUMBER ASC",extra
SELECT q.CITY_NAME FROM LOCATION AS q WHERE  q.HOUSE_NUMBER <= 30 ORDER BY q.CITY_NAME ASC,medium
SELECT z.STREET_NAME FROM LOCATION AS z JOIN LOCATION ON LOCATION.RESTAURANT_ID = z.RESTAURANT_ID WHERE  LOCATION.HOUSE_NUMBER <= 70 ORDER BY z.STREET_NAME ASC LIMIT 1,extra
SELECT COUNT(DISTINCT r.STREET_NAME) FROM LOCATION AS r WHERE  r.HOUSE_NUMBER <= 5,easy
SELECT ID FROM GEOGRAPHIC JOIN RESTAURANT JOIN LOCATION ON GEOGRAPHIC.CITY_NAME = RESTAURANT.CITY_NAME AND LOCATION.CITY_NAME = GEOGRAPHIC.CITY_NAME WHERE  RESTAURANT_ID = 94,hard
SELECT m.ID FROM RESTAURANT AS m WHERE  m.RATING > 29,easy
SELECT COUNT(ID) FROM GEOGRAPHIC JOIN RESTAURANT JOIN LOCATION ON GEOGRAPHIC.CITY_NAME = RESTAURANT.CITY_NAME AND LOCATION.CITY_NAME = GEOGRAPHIC.CITY_NAME WHERE HOUSE_NUMBER NOT IN (SELECT HOUSE_NUMBER FROM LOCATION AS w WHERE w.HOUSE_NUMBER BETWEEN 1 AND 10 LIMIT 7) LIMIT 7,extra
"SELECT CITY_NAME, RATING FROM RESTAURANT WHERE  ID > 61 GROUP BY RATING LIMIT 9",hard
"SELECT COUNT(p.HOUSE_NUMBER), MIN(p.HOUSE_NUMBER), p.HOUSE_NUMBER FROM LOCATION AS p GROUP BY p.HOUSE_NUMBER ORDER BY p.HOUSE_NUMBER ASC",extra
SELECT STREET_NAME FROM GEOGRAPHIC JOIN LOCATION ON LOCATION.CITY_NAME = GEOGRAPHIC.CITY_NAME WHERE  RESTAURANT_ID < 43 ORDER BY STREET_NAME DESC LIMIT 4,extra
"SELECT COUNT(a.RESTAURANT_ID), MIN(a.RESTAURANT_ID) FROM LOCATION AS a WHERE  a.RESTAURANT_ID != 53",medium
"SELECT t.RESTAURANT_ID, t.CITY_NAME FROM LOCATION AS t WHERE  t.RESTAURANT_ID != 55 GROUP BY t.CITY_NAME HAVING AVG(t.RESTAURANT_ID) >= 52",medium
"SELECT CITY_NAME, STREET_NAME FROM LOCATION WHERE  HOUSE_NUMBER != 64 ORDER BY CITY_NAME ASC",medium
