sql,hardness
"SELECT COUNT(DISTINCT Club_name), club.Club_ID FROM coach JOIN club ON coach.Club_ID = club.Club_ID WHERE  club.Club_ID = 93 ORDER BY club.Club_ID ASC",hard
SELECT Residence FROM coach JOIN player_coach JOIN player ON player_coach.Coach_ID = coach.Coach_ID AND player.Player_ID = player_coach.Player_ID WHERE player.Rank BETWEEN 1 AND 10 OR  coach.Coach_ID < 35 ORDER BY Residence DESC LIMIT 8,extra
"SELECT SUM(g.Votes), g.Votes FROM player AS g JOIN player ON player.Player_ID = g.Player_ID WHERE g.Votes BETWEEN 1 AND 10 AND  player.Player_ID <= 82 ORDER BY g.Votes DESC LIMIT 6",extra
"SELECT MAX(Starting_year), Votes FROM player_coach JOIN player ON player.Player_ID = player_coach.Player_ID WHERE  Starting_year = 38 ORDER BY Votes DESC",hard
"SELECT COUNT(DISTINCT club.Start_year), club.Club_name FROM club AS y JOIN club ON club.Club_ID = y.Club_ID WHERE  club.Club_ID < 6 ORDER BY club.Club_name DESC",hard
SELECT MAX(player_coach.Starting_year) FROM player_coach JOIN player_coach AS f ON player_coach.Player_ID = f.Player_ID WHERE  player_coach.Starting_year >= 68,medium
"SELECT COUNT(DISTINCT Gold), Rank FROM match_result WHERE  Big_Silver < 90 LIMIT 10",medium
"SELECT Start_year, Club_name FROM club ORDER BY Start_year DESC",medium
"SELECT SUM(Club_ID), MAX(Club_ID), Club_ID, Region FROM club WHERE Club_name IN (SELECT Club_name FROM club AS a WHERE  a.Start_year = 86 LIMIT 3) GROUP BY Region ORDER BY Region ASC",extra
"SELECT SUM(club.Start_year), club.Start_year FROM club JOIN club AS b ON club.Club_ID = b.Club_ID WHERE b.Club_ID BETWEEN 1 AND 10 OR  b.Start_year <= 1",hard
"SELECT COUNT(DISTINCT coach.Coach_ID), Rank FROM coach JOIN player_coach ON player_coach.Coach_ID = coach.Coach_ID WHERE  Starting_year > 50",medium
SELECT Rank FROM player WHERE Player_ID BETWEEN 1 AND 10 OR  Votes > 95 LIMIT 9,hard
SELECT Club_name FROM match_result JOIN club ON club.Club_ID = match_result.Club_ID WHERE  match_result.Club_ID != 73 ORDER BY Club_name DESC LIMIT 5,extra
"SELECT COUNT(Starting_year), COUNT(Starting_year) FROM coach JOIN player_coach JOIN club ON coach.Club_ID = club.Club_ID AND player_coach.Coach_ID = coach.Coach_ID WHERE Club_ID NOT IN (SELECT Club_ID FROM club AS k WHERE  k.Start_year = 88 LIMIT 1)",extra
"SELECT MIN(Player_ID), Sponsor_name FROM player WHERE  Player_ID = 23 ORDER BY Sponsor_name ASC",medium
SELECT Club_ID FROM coach WHERE  Coach_ID = 58 ORDER BY Club_ID DESC,medium
"SELECT COUNT(DISTINCT Small_Silver), Bronze FROM match_result WHERE  Points = 77",medium
"SELECT SUM(Club_ID), SUM(Start_year), Region FROM club WHERE  Start_year < 98",medium
"SELECT MIN(Club_ID), COUNT(DISTINCT Starting_year), COUNT(DISTINCT Starting_year) FROM coach JOIN player_coach ON player_coach.Coach_ID = coach.Coach_ID WHERE  Rank != 77 OR Club_ID IN (SELECT Club_ID FROM club LIMIT 4) LIMIT 5",extra
"SELECT SUM(Starting_year), COUNT(DISTINCT player.Player_ID), coach.Rank FROM coach JOIN player_coach JOIN player ON player_coach.Coach_ID = coach.Coach_ID AND player.Player_ID = player_coach.Player_ID WHERE  coach.Rank < 12 GROUP BY coach.Rank LIMIT 9",extra
"SELECT AVG(Player_ID), Player_name FROM player WHERE  Player_ID < 84 ORDER BY Player_name ASC",medium
"SELECT SUM(Club_ID), SUM(Rank) FROM coach WHERE  Coach_ID <= 54 AND Coach_name <= (SELECT MAX(Coach_name) FROM coach WHERE Rank BETWEEN 1 AND 10)",extra
"SELECT n.Residence, n.Occupation FROM player AS n WHERE  n.Votes <= 8 OR Player_name >= (SELECT MAX(Player_name) FROM player WHERE Player_ID BETWEEN 1 AND 10 OR  Player_ID >= 41 LIMIT 5) GROUP BY n.Occupation HAVING COUNT(n.Votes) <= 63 ORDER BY n.Residence DESC",extra
"SELECT SUM(u.Player_ID), u.Votes, u.Rank FROM player AS u WHERE u.Player_ID BETWEEN 1 AND 10 OR Sponsor_name NOT IN (SELECT Sponsor_name FROM player AS c WHERE c.Votes BETWEEN 1 AND 10) GROUP BY u.Rank HAVING MAX(u.Votes) < 24",extra
"SELECT COUNT(DISTINCT Start_year), Small_Silver FROM coach JOIN match_result JOIN club ON coach.Club_ID = club.Club_ID AND club.Club_ID = match_result.Club_ID WHERE club.Club_ID BETWEEN 1 AND 10 OR EXISTS (SELECT * FROM coach AS k WHERE  k.Coach_ID < 74 AND club.Club_ID = k.Club_ID LIMIT 9) GROUP BY Small_Silver",extra
SELECT SUM(Coach_ID) FROM coach WHERE Rank > (SELECT MIN(Rank) FROM coach WHERE  Club_ID > 23) LIMIT 9,extra
"SELECT COUNT(DISTINCT Region), COUNT(DISTINCT Club_name), Start_year FROM club WHERE  Club_ID >= 38 AND Start_year NOT IN (SELECT Start_year FROM club AS m WHERE  m.Club_ID = 91) GROUP BY Start_year HAVING AVG(Start_year) > 89 LIMIT 1",extra
SELECT p.Residence FROM player AS p JOIN player ON player.Player_ID = p.Player_ID WHERE  p.Votes < 53,medium
