sql,hardness
"SELECT School_id, donator_name FROM endowment WHERE amount BETWEEN 1 AND 10 OR School_id NOT IN (SELECT School_id FROM budget AS e WHERE e.total_budget_percent_invested BETWEEN 1 AND 10) GROUP BY donator_name ORDER BY School_id ASC",extra
"SELECT COUNT(DISTINCT c.County), c.School_id, c.Enrollment FROM School AS c WHERE  c.Enrollment < 32 AND Location IN (SELECT Location FROM School AS q WHERE q.Enrollment BETWEEN 1 AND 10) GROUP BY c.Enrollment ORDER BY c.Enrollment DESC",extra
"SELECT w.donator_name, w.School_id FROM endowment AS w JOIN endowment ON endowment.endowment_id = w.endowment_id WHERE  w.School_id > 14 GROUP BY w.School_id ORDER BY w.School_id ASC",extra
"SELECT COUNT(School_id), COUNT(DISTINCT School_id), donator_name, School_id FROM endowment GROUP BY School_id",medium
"SELECT SUM(m.Enrollment), COUNT(m.Enrollment), SUM(m.Enrollment), m.IHSAA_Class FROM School AS m WHERE  m.Enrollment > 1 GROUP BY m.IHSAA_Class",extra
SELECT Budget_invested_percent FROM budget WHERE  total_budget_percent_budgeted >= 64 AND Budgeted NOT IN (SELECT Budgeted FROM budget WHERE  total_budget_percent_budgeted > 94 LIMIT 2) ORDER BY Budget_invested_percent ASC,extra
SELECT IHSAA_Class FROM School JOIN budget JOIN endowment ON School.School_id = budget.School_id AND endowment.School_id = School.School_id ORDER BY IHSAA_Class ASC LIMIT 5,extra
SELECT Enrollment FROM School,easy
"SELECT COUNT(DISTINCT n.IHSAA_Football_Class), n.Location, n.IHSAA_Class FROM School AS n WHERE n.Enrollment BETWEEN 1 AND 10 AND Mascot = (SELECT MAX(Mascot) FROM School AS t WHERE  t.Enrollment = 33 LIMIT 7)",extra
"SELECT AVG(endowment_id), donator_name FROM endowment WHERE  endowment_id >= 10 OR School_id NOT IN (SELECT School_id FROM budget WHERE  Budgeted > 93)",extra
"SELECT AVG(a.amount), endowment.endowment_id, a.amount, endowment.amount FROM endowment AS a JOIN endowment ON endowment.endowment_id = a.endowment_id WHERE amount >= (SELECT AVG(amount) FROM endowment WHERE  amount > 98) GROUP BY endowment.amount HAVING COUNT(a.endowment_id) = 93 ORDER BY endowment.amount ASC",extra
