sql,hardness
SELECT player.name FROM competition JOIN competition_result JOIN club JOIN player ON club.Club_ID = competition_result.Club_ID_2 AND competition_result.Competition_ID = competition.Competition_ID AND player.Club_ID = club.Club_ID WHERE  Year >= 35 ORDER BY player.name DESC,extra
"SELECT COUNT(DISTINCT Competition_ID), Competition_ID FROM competition WHERE  Year > 11 LIMIT 4",medium
"SELECT h.Club_ID, h.Club_ID, h.Start_year FROM club AS h WHERE h.Club_ID BETWEEN 1 AND 10 AND  h.Club_ID = 53",medium
"SELECT w.Region, w.name FROM club AS w WHERE  w.Club_ID > 2 GROUP BY w.name HAVING COUNT(w.Club_ID) > 39 LIMIT 5",hard
"SELECT COUNT(DISTINCT Start_year), Region FROM competition_result JOIN club ON club.Club_ID = competition_result.Club_ID_2 WHERE  Club_ID_1 >= 75",medium
SELECT COUNT(DISTINCT Start_year) FROM club WHERE Club_ID BETWEEN 1 AND 10 OR  Club_ID > 99,medium
"SELECT COUNT(DISTINCT Tries), COUNT(DISTINCT Goals), Position, name FROM player WHERE Player_ID BETWEEN 1 AND 10 AND EXISTS (SELECT * FROM club AS h WHERE  h.Club_ID = 16 AND player.Player_ID = h.Club_ID) GROUP BY name",extra
"SELECT MIN(Apps), Position FROM player",medium
"SELECT Club_ID, Goals FROM player WHERE Points BETWEEN 1 AND 10 GROUP BY Goals HAVING AVG(Club_ID) < 68 ORDER BY Club_ID ASC LIMIT 1",extra
SELECT Region FROM competition JOIN competition_result JOIN club JOIN player ON club.Club_ID = competition_result.Club_ID_2 AND competition_result.Competition_ID = competition.Competition_ID AND player.Club_ID = club.Club_ID WHERE Apps BETWEEN 1 AND 10 OR  competition_result.Competition_ID <= 94 LIMIT 1,extra
"SELECT Points, Goals, name FROM player WHERE Apps BETWEEN 1 AND 10 AND  Club_ID >= 53",medium
"SELECT Apps, name FROM player WHERE name IN (SELECT name FROM player AS m WHERE m.Tries BETWEEN 1 AND 10) GROUP BY name ORDER BY Apps ASC",extra
"SELECT player.name, Score FROM competition JOIN competition_result JOIN club JOIN player ON club.Club_ID = competition_result.Club_ID_2 AND competition_result.Competition_ID = competition.Competition_ID AND player.Club_ID = club.Club_ID WHERE competition.Competition_ID BETWEEN 1 AND 10 AND Goals <= (SELECT MIN(Goals) FROM player) LIMIT 6",extra
SELECT Competition_ID FROM competition,easy
"SELECT AVG(player.Club_ID), Apps, club.name FROM club JOIN player ON player.Club_ID = club.Club_ID WHERE  Points = 15 GROUP BY club.name ORDER BY club.name DESC LIMIT 9",extra
SELECT l.Country FROM competition JOIN competition AS l ON competition.Competition_ID = l.Competition_ID WHERE  competition.Year < 1 LIMIT 10,hard
"SELECT MIN(player.Club_ID), Apps FROM competition_result JOIN club JOIN player ON club.Club_ID = competition_result.Club_ID_2 AND player.Club_ID = club.Club_ID WHERE  player.Club_ID <= 39",hard
"SELECT COUNT(Points), Goals FROM player WHERE Tries BETWEEN 1 AND 10 ORDER BY Goals DESC",medium
"SELECT SUM(d.Year), d.Year FROM competition AS d WHERE  d.Competition_ID != 96 OR Competition_type IN (SELECT Competition_type FROM competition WHERE Year BETWEEN 1 AND 10 OR  Competition_ID < 35)",extra
"SELECT Apps, Goals, Goals FROM player WHERE  Club_ID <= 89 LIMIT 3",medium
"SELECT Year, Country FROM competition WHERE  Competition_ID != 41 ORDER BY Country ASC",medium
SELECT Tries FROM player WHERE  Player_ID = 91,easy
"SELECT p.Score, p.Score FROM competition_result AS p WHERE  p.Competition_ID < 64 OR Club_ID_2 != (SELECT MAX(Club_ID_2) FROM competition_result AS x WHERE x.Club_ID_2 BETWEEN 1 AND 10 AND  x.Competition_ID >= 74)",extra
SELECT COUNT(DISTINCT Total) FROM club_rank WHERE  Total > 50,easy
"SELECT d.Club_ID, d.Club_ID, d.Start_year FROM club AS d WHERE  d.Club_ID > 6 AND Start_year NOT IN (SELECT Start_year FROM club AS j) GROUP BY d.Start_year HAVING MAX(d.Club_ID) <= 77 LIMIT 10",extra
SELECT r.Competition_ID FROM competition AS r ORDER BY r.Competition_ID DESC LIMIT 5,medium
"SELECT b.Club_ID, player.name FROM player AS b JOIN player ON player.Player_ID = b.Player_ID WHERE b.Tries BETWEEN 1 AND 10 OR  b.Tries <= 53 ORDER BY player.name DESC",extra
"SELECT COUNT(competition.Competition_ID), Club_ID_2 FROM competition JOIN competition_result ON competition_result.Competition_ID = competition.Competition_ID WHERE Country IN (SELECT Country FROM competition WHERE Year BETWEEN 1 AND 10 LIMIT 10) ORDER BY Club_ID_2 DESC",extra
"SELECT Position, club.name FROM competition JOIN competition_result JOIN club JOIN player ON club.Club_ID = competition_result.Club_ID_2 AND competition_result.Competition_ID = competition.Competition_ID AND player.Club_ID = club.Club_ID WHERE Goals >= (SELECT SUM(Goals) FROM player WHERE Apps BETWEEN 1 AND 10 OR  Apps <= 22) GROUP BY Position HAVING MAX(Player_ID) = 25",extra
"SELECT AVG(Apps), MIN(Club_ID_1) FROM competition JOIN competition_result JOIN club JOIN player ON club.Club_ID = competition_result.Club_ID_2 AND competition_result.Competition_ID = competition.Competition_ID AND player.Club_ID = club.Club_ID",hard
