sql,hardness
SELECT Cost_per_25_miles FROM Vehicles WHERE  Combined_fuel_economy_rate >= 37,easy
"SELECT name, name, membership_credit FROM Discount WHERE  membership_credit >= 55 GROUP BY membership_credit LIMIT 8",hard
SELECT Customers.name FROM Customers JOIN Vehicles JOIN Renting_history ON Renting_history.customer_id = Customers.id AND Vehicles.id = Renting_history.vehicles_id WHERE total_hours BETWEEN 1 AND 10 ORDER BY Customers.name ASC,extra
"SELECT Combined_fuel_economy_rate, Type_of_powertrain FROM Vehicles JOIN Renting_history ON Vehicles.id = Renting_history.vehicles_id WHERE  customer_id != 92 ORDER BY Combined_fuel_economy_rate DESC",hard
"SELECT SUM(Customers.id), MAX(membership_credit), COUNT(vehicles_id) FROM Customers JOIN Renting_history ON Renting_history.customer_id = Customers.id WHERE vehicles_id BETWEEN 1 AND 10 OR  total_hours <= 96 LIMIT 2",extra
"SELECT AVG(vehicles_id), AVG(vehicles_id) FROM Customers JOIN Renting_history ON Renting_history.customer_id = Customers.id WHERE  Customers.id <= 39 LIMIT 3",hard
"SELECT COUNT(DISTINCT a.Annual_fuel_cost), a.Model_year, a.Notes FROM Vehicles AS a WHERE  a.Model_year = 39 LIMIT 8",medium
SELECT name FROM Customers WHERE  membership_credit <= 78,easy
"SELECT MIN(id), COUNT(total_hours), customer_id FROM Renting_history WHERE id BETWEEN 1 AND 10 AND discount_id != (SELECT MAX(discount_id) FROM Renting_history AS x WHERE  x.total_hours != 48) GROUP BY customer_id ORDER BY customer_id DESC",extra
SELECT m.id FROM Discount AS m WHERE m.membership_credit BETWEEN 1 AND 10 OR  m.id != 86 ORDER BY m.id DESC,hard
"SELECT AVG(g.membership_credit), g.id FROM Discount JOIN Discount AS g ON Discount.id = g.id WHERE  g.membership_credit != 73",medium
"SELECT SUM(u.age), u.id, u.membership_credit FROM Customers AS u WHERE u.id BETWEEN 1 AND 10 GROUP BY u.membership_credit HAVING AVG(u.id) > 95 LIMIT 2",hard
SELECT membership_credit FROM Discount JOIN Renting_history ON Renting_history.discount_id = Discount.id WHERE  customer_id <= 2,medium
"SELECT name, customer_id FROM Discount JOIN Renting_history ON Renting_history.discount_id = Discount.id WHERE membership_credit BETWEEN 1 AND 10 OR  total_hours >= 97 GROUP BY customer_id HAVING MAX(vehicles_id) > 50",extra
"SELECT COUNT(DISTINCT j.membership_credit), j.name, j.name FROM Discount AS j WHERE  j.membership_credit >= 76 ORDER BY j.name DESC",medium
"SELECT COUNT(DISTINCT y.vehicles_id), y.total_hours, y.discount_id FROM Renting_history AS y GROUP BY y.discount_id HAVING SUM(y.total_hours) < 91 ORDER BY y.total_hours DESC",medium
"SELECT COUNT(DISTINCT Notes), Customers.name FROM Customers JOIN Discount JOIN Vehicles JOIN Renting_history ON Renting_history.discount_id = Discount.id AND Renting_history.customer_id = Customers.id AND Vehicles.id = Renting_history.vehicles_id WHERE  discount_id <= 91 ORDER BY Customers.name ASC LIMIT 8",extra
"SELECT Customers.name, Type_of_powertrain FROM Customers JOIN Discount JOIN Vehicles JOIN Renting_history ON Renting_history.discount_id = Discount.id AND Renting_history.customer_id = Customers.id AND Vehicles.id = Renting_history.vehicles_id WHERE customer_id > (SELECT SUM(customer_id) FROM Renting_history LIMIT 6) GROUP BY Type_of_powertrain ORDER BY Type_of_powertrain ASC",extra
SELECT t.Type_of_powertrain FROM Vehicles AS t GROUP BY t.Type_of_powertrain ORDER BY t.Type_of_powertrain DESC,medium
SELECT Highway_fuel_economy_rate FROM Customers JOIN Discount JOIN Vehicles JOIN Renting_history ON Renting_history.discount_id = Discount.id AND Renting_history.customer_id = Customers.id AND Vehicles.id = Renting_history.vehicles_id WHERE Annual_fuel_cost BETWEEN 1 AND 10 OR City_fuel_economy_rate > (SELECT MIN(City_fuel_economy_rate) FROM Vehicles WHERE  Model_year = 78 LIMIT 5) LIMIT 2,extra
"SELECT COUNT(DISTINCT Discount.id), name FROM Discount JOIN Renting_history ON Renting_history.discount_id = Discount.id WHERE vehicles_id IN (SELECT vehicles_id FROM Renting_history WHERE id BETWEEN 1 AND 10 AND  total_hours < 57 LIMIT 1) GROUP BY name HAVING MIN(customer_id) > 31 LIMIT 1",extra
"SELECT MIN(customer_id), vehicles_id FROM Renting_history",medium
