sql,hardness
"SELECT Eliminated_By, Elimination_Move FROM Elimination WHERE EXISTS (SELECT * FROM wrestler WHERE Wrestler_ID BETWEEN 1 AND 10 AND Elimination.Elimination_ID = Wrestler_ID)",extra
"SELECT MIN(t.Wrestler_ID), COUNT(DISTINCT t.Reign), COUNT(DISTINCT t.Days_held) FROM wrestler AS t WHERE  t.Wrestler_ID > 57",medium
SELECT Days_held FROM wrestler WHERE  Wrestler_ID <= 60,easy
"SELECT COUNT(DISTINCT e.Location), e.Name FROM wrestler AS e WHERE  e.Wrestler_ID < 2",medium
"SELECT AVG(Wrestler_ID), Wrestler_ID FROM wrestler",medium
SELECT u.Eliminated_By FROM Elimination AS u,easy
"SELECT Wrestler_ID, Wrestler_ID, Wrestler_ID FROM wrestler WHERE  Wrestler_ID < 29 OR EXISTS (SELECT * FROM Elimination WHERE wrestler.Wrestler_ID = Wrestler_ID) ORDER BY Wrestler_ID DESC",extra
"SELECT MAX(Wrestler_ID), MIN(Wrestler_ID), COUNT(DISTINCT Event) FROM wrestler WHERE Wrestler_ID BETWEEN 1 AND 10 OR  Wrestler_ID >= 43",hard
SELECT Location FROM wrestler WHERE Wrestler_ID BETWEEN 1 AND 10 OR  Wrestler_ID < 77,medium
SELECT Wrestler_ID FROM wrestler WHERE Wrestler_ID BETWEEN 1 AND 10 OR Name NOT IN (SELECT Name FROM wrestler),extra
SELECT Wrestler_ID FROM wrestler WHERE Wrestler_ID BETWEEN 1 AND 10 OR  Wrestler_ID = 66 ORDER BY Wrestler_ID ASC,hard
"SELECT SUM(r.Wrestler_ID), r.Wrestler_ID FROM wrestler AS r WHERE  r.Wrestler_ID <= 6",medium
"SELECT Wrestler_ID, Name, Event FROM wrestler WHERE  Wrestler_ID = 64 GROUP BY Event LIMIT 9",hard
"SELECT y.Name, y.Reign, y.Event FROM wrestler AS y WHERE  y.Wrestler_ID > 82 GROUP BY y.Event ORDER BY y.Name DESC LIMIT 6",extra
"SELECT AVG(s.Wrestler_ID), s.Reign FROM wrestler JOIN wrestler AS s ON wrestler.Wrestler_ID = s.Wrestler_ID WHERE  wrestler.Wrestler_ID > 12",medium
"SELECT COUNT(DISTINCT t.Days_held), t.Wrestler_ID, t.Name FROM wrestler AS t WHERE t.Wrestler_ID BETWEEN 1 AND 10 ORDER BY t.Name ASC LIMIT 6",hard
"SELECT Name, Days_held, Event FROM wrestler WHERE Wrestler_ID BETWEEN 1 AND 10 AND  Wrestler_ID >= 79 GROUP BY Event ORDER BY Name DESC LIMIT 10",extra
