Specification,query
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'logical_operator': ['AND', 'between', 'not_exists_subquery']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_number', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT course_id, course_description FROM Courses WHERE subject_id BETWEEN 1 AND 10 AND EXISTS (SELECT * FROM Subjects AS d WHERE  d.subject_id != 50 AND Courses.course_id = d.subject_id LIMIT 3)"
"{'meaningful_joins': 'yes', 'table_exp_type': 'SELF JOIN', 'where_type': {'logical_operator': ['OR', 'between', 'basic_comparison']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'ASC', 'limit_type': 'without_offset', 'value_exp_types': ['count_distinct_exp', 'single_exp_number', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT COUNT(DISTINCT j.date_of_registration), Students.student_id, j.personal_name FROM Students JOIN Students AS j ON Students.student_id = j.student_id WHERE j.student_id BETWEEN 1 AND 10 OR  j.student_id <= 1 ORDER BY Students.student_id ASC LIMIT 7"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN_JOIN', 'where_type': {'basic_comparison': '!='}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'ASC', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT MAX(Course_Authors_and_Tutors.author_id), Courses.author_id FROM Course_Authors_and_Tutors JOIN Subjects JOIN Courses ON Courses.subject_id = Subjects.subject_id AND Course_Authors_and_Tutors.author_id = Courses.author_id WHERE  course_id != 12 ORDER BY Courses.author_id ASC"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN_JOIN_JOIN', 'where_type': 'none', 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'count_distinct_exp', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT SUM(Student_Course_Enrolment.course_id), COUNT(DISTINCT Courses.author_id), author_tutor_ATB FROM Course_Authors_and_Tutors JOIN Student_Course_Enrolment JOIN Student_Tests_Taken JOIN Courses ON Courses.course_id = Student_Course_Enrolment.course_id AND Course_Authors_and_Tutors.author_id = Courses.author_id AND Student_Tests_Taken.registration_id = Student_Course_Enrolment.registration_id"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': {'basic_comparison': '!='}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'without_offset', 'value_exp_types': ['agg_exp'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT MAX(q.course_id) FROM Courses AS q WHERE  q.course_id != 12 LIMIT 3
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': 'none', 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT MIN(registration_id), test_result FROM Student_Tests_Taken"
"{'meaningful_joins': 'yes', 'table_exp_type': 'SELF JOIN', 'where_type': 'none', 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'DESC', 'limit_type': 'without_offset', 'value_exp_types': ['single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT Course_Authors_and_Tutors.author_id FROM Course_Authors_and_Tutors JOIN Course_Authors_and_Tutors AS g ON Course_Authors_and_Tutors.author_id = g.author_id ORDER BY Course_Authors_and_Tutors.author_id DESC LIMIT 3
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN_JOIN_JOIN', 'where_type': {'logical_operator': ['OR', 'between', 'exists_subquery']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'ASC', 'limit_type': 'without_offset', 'value_exp_types': ['single_exp_text', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT course_name, family_name FROM Students JOIN Student_Course_Enrolment JOIN Student_Tests_Taken JOIN Courses ON Courses.course_id = Student_Course_Enrolment.course_id AND Student_Course_Enrolment.student_id = Students.student_id AND Student_Tests_Taken.registration_id = Student_Course_Enrolment.registration_id WHERE Student_Course_Enrolment.course_id BETWEEN 1 AND 10 OR EXISTS (SELECT * FROM Student_Tests_Taken AS i WHERE  i.registration_id = 18 AND Student_Course_Enrolment.registration_id = i.registration_id LIMIT 2) ORDER BY course_name ASC LIMIT 8"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'basic_comparison': '<'}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT SUM(subject_id), subject_name FROM Subjects WHERE  subject_id < 99"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN_JOIN', 'where_type': 'none', 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'DESC', 'limit_type': 'without_offset', 'value_exp_types': ['agg_exp', 'single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT MAX(Student_Course_Enrolment.student_id), Student_Course_Enrolment.registration_id FROM Students JOIN Student_Tests_Taken JOIN Student_Course_Enrolment ON Student_Course_Enrolment.student_id = Students.student_id AND Student_Tests_Taken.registration_id = Student_Course_Enrolment.registration_id ORDER BY Student_Course_Enrolment.registration_id DESC LIMIT 8"
