Specification,query
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': 'between', 'number_of_value_exp_in_group_by': 1, 'having_type': {'single': 'SUM'}, 'orderby_type': 'ASC', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'count_distinct_exp'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT MAX(region.Region_ID), COUNT(DISTINCT Completed_Year), Address FROM building JOIN region ON building.Region_ID = region.Region_ID WHERE Population BETWEEN 1 AND 10 GROUP BY Address HAVING SUM(region.Region_ID) < 30 ORDER BY Address ASC"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'logical_operator': ['AND', 'between', 'comparison_with_subquery']}, 'number_of_value_exp_in_group_by': 1, 'having_type': {'single': 'AVG'}, 'orderby_type': 'none', 'limit_type': 'without_offset', 'value_exp_types': ['single_exp_number', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT Completed_Year, Name, Number_of_Stories FROM building WHERE Building_ID BETWEEN 1 AND 10 AND Building_ID != (SELECT MAX(Building_ID) FROM building AS l WHERE l.Completed_Year BETWEEN 1 AND 10) GROUP BY Number_of_Stories HAVING AVG(Number_of_Stories) < 63 LIMIT 2"
"{'meaningful_joins': 'yes', 'table_exp_type': 'SELF JOIN', 'where_type': 'in_with_subquery', 'number_of_value_exp_in_group_by': 1, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'single_exp_text', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT SUM(n.Building_ID), n.Address, n.Address, building.Completed_Year FROM building AS n JOIN building ON building.Building_ID = n.Building_ID WHERE Address IN (SELECT Address FROM building WHERE Building_ID BETWEEN 1 AND 10) GROUP BY building.Completed_Year"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'basic_comparison': '<='}, 'number_of_value_exp_in_group_by': 1, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'without_offset', 'value_exp_types': ['count_distinct_exp', 'count_distinct_exp', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT COUNT(DISTINCT Region_ID), COUNT(DISTINCT Capital), Name, Capital FROM region WHERE  Region_ID <= 47 GROUP BY Capital LIMIT 3"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': {'logical_operator': ['OR', 'between', 'comparison_with_subquery']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'count_distinct_exp'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT SUM(b.Area), COUNT(DISTINCT b.Population) FROM region AS b WHERE b.Area BETWEEN 1 AND 10 OR Capital < (SELECT AVG(Capital) FROM region AS q WHERE q.Population BETWEEN 1 AND 10)"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': 'none', 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'DESC', 'limit_type': 'none', 'value_exp_types': ['single_exp_number', 'single_exp_text', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT Building_ID, Name, Name FROM building ORDER BY Name DESC"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'logical_operator': ['AND', 'between', 'basic_comparison']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT Capital FROM region WHERE Area BETWEEN 1 AND 10 AND  Area = 13
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'logical_operator': ['OR', 'basic_comparison', 'exists_subquery']}, 'number_of_value_exp_in_group_by': 1, 'having_type': {'single': 'COUNT'}, 'orderby_type': 'ASC', 'limit_type': 'none', 'value_exp_types': ['single_exp_text', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT Capital, Name, Area FROM region WHERE  Population != 70 OR EXISTS (SELECT * FROM building AS c WHERE c.Number_of_Stories BETWEEN 1 AND 10 AND region.Region_ID = c.Region_ID) GROUP BY Area HAVING COUNT(Region_ID) >= 45 ORDER BY Area ASC"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': 'between', 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'DESC', 'limit_type': 'none', 'value_exp_types': ['single_exp_number', 'single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT Area, Region_ID FROM region WHERE Population BETWEEN 1 AND 10 ORDER BY Region_ID DESC"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'logical_operator': ['AND', 'between', 'comparison_with_subquery']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT MAX(Region_ID), Completed_Year FROM building WHERE Building_ID BETWEEN 1 AND 10 AND Region_ID != (SELECT MAX(Region_ID) FROM region WHERE  Area = 52)"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'logical_operator': ['AND', 'between', 'exists_subquery']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'agg_exp'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT MAX(Region_ID), MAX(Area) FROM region WHERE Region_ID BETWEEN 1 AND 10 AND EXISTS (SELECT * FROM building AS b WHERE  b.Building_ID < 19 AND region.Region_ID = b.Region_ID LIMIT 8)"
