Specification,query
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN_JOIN', 'where_type': {'logical_operator': ['AND', 'between', 'basic_comparison']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'ASC', 'limit_type': 'none', 'value_exp_types': ['single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT Scientists.Name FROM AssignedTo JOIN Projects JOIN Scientists ON AssignedTo.Project = Projects.Code AND Scientists.SSN = AssignedTo.Scientist WHERE Scientist BETWEEN 1 AND 10 AND  Hours >= 37 ORDER BY Scientists.Name ASC
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': {'logical_operator': ['AND', 'between', 'basic_comparison']}, 'number_of_value_exp_in_group_by': 1, 'having_type': {'single': 'SUM'}, 'orderby_type': 'DESC', 'limit_type': 'none', 'value_exp_types': ['agg_exp'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT COUNT(g.Scientist), g.Project FROM AssignedTo AS g WHERE g.Scientist BETWEEN 1 AND 10 AND  g.Scientist != 8 GROUP BY g.Project HAVING SUM(g.Scientist) <= 91 ORDER BY g.Project DESC"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'basic_comparison': '<'}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'ASC', 'limit_type': 'without_offset', 'value_exp_types': ['single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT Name FROM Scientists WHERE  SSN < 9 ORDER BY Name ASC LIMIT 1
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': 'between', 'number_of_value_exp_in_group_by': 1, 'having_type': {'single': 'SUM'}, 'orderby_type': 'DESC', 'limit_type': 'without_offset', 'value_exp_types': ['agg_exp', 'single_exp_number', 'single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT MIN(Hours), Hours, Hours, Project FROM AssignedTo JOIN Projects ON AssignedTo.Project = Projects.Code WHERE Scientist BETWEEN 1 AND 10 GROUP BY Project HAVING SUM(Scientist) > 59 ORDER BY Project DESC LIMIT 6"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': 'none', 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_number', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT Hours, Code FROM Projects"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'basic_comparison': '<='}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_number', 'single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT SSN, SSN FROM Scientists WHERE  SSN <= 24"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': {'logical_operator': ['AND', 'basic_comparison', 'not_in_with_subquery']}, 'number_of_value_exp_in_group_by': 1, 'having_type': {'single': 'MAX'}, 'orderby_type': 'ASC', 'limit_type': 'none', 'value_exp_types': ['single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT j.Scientist, j.Project FROM AssignedTo AS j WHERE  j.Scientist < 5 AND Scientist NOT IN (SELECT Scientist FROM AssignedTo AS a WHERE a.Scientist BETWEEN 1 AND 10 LIMIT 2) GROUP BY j.Project HAVING MAX(j.Scientist) <= 18 ORDER BY j.Scientist ASC"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': {'logical_operator': ['AND', 'basic_comparison', 'comparison_with_subquery']}, 'number_of_value_exp_in_group_by': 1, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_number', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT Hours, Name FROM AssignedTo JOIN Projects ON AssignedTo.Project = Projects.Code WHERE  Scientist = 73 AND Hours >= (SELECT AVG(Hours) FROM Projects AS w LIMIT 8) GROUP BY Name"
"{'meaningful_joins': 'yes', 'table_exp_type': 'SELF JOIN', 'where_type': 'in_with_subquery', 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_text', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT Scientists.Name, Scientists.Name FROM Scientists AS i JOIN Scientists ON Scientists.SSN = i.SSN WHERE Name IN (SELECT Name FROM Scientists AS g)"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': {'logical_operator': ['OR', 'between', 'basic_comparison']}, 'number_of_value_exp_in_group_by': 1, 'having_type': {'single': 'MIN'}, 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT r.Code, r.Name FROM Projects AS r WHERE r.Hours BETWEEN 1 AND 10 OR  r.Hours <= 84 GROUP BY r.Name HAVING MIN(r.Hours) = 90"
