Specification,query
"{'meaningful_joins': 'yes', 'table_exp_type': 'SELF JOIN', 'where_type': {'basic_comparison': '>'}, 'number_of_value_exp_in_group_by': 1, 'having_type': {'single': 'COUNT'}, 'orderby_type': 'ASC', 'limit_type': 'none', 'value_exp_types': ['count_distinct_exp'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT COUNT(DISTINCT vehicle.Top_Speed), q.Model FROM vehicle JOIN vehicle AS q ON vehicle.Vehicle_ID = q.Vehicle_ID WHERE  vehicle.Top_Speed > 47 GROUP BY q.Model HAVING COUNT(q.Vehicle_ID) = 79 ORDER BY q.Model ASC"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': {'basic_comparison': '>'}, 'number_of_value_exp_in_group_by': 1, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT MAX(driver.Driver_ID), vehicle_driver.Driver_ID, Racing_Series FROM vehicle_driver JOIN driver ON driver.Driver_ID = vehicle_driver.Driver_ID WHERE  Vehicle_ID > 66 GROUP BY Racing_Series"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': {'basic_comparison': '='}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'ASC', 'limit_type': 'none', 'value_exp_types': ['single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT Citizenship FROM vehicle_driver JOIN driver ON driver.Driver_ID = vehicle_driver.Driver_ID WHERE  driver.Driver_ID = 95 ORDER BY Citizenship ASC
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN_JOIN', 'where_type': 'none', 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT MIN(driver.Driver_ID), Power FROM vehicle_driver JOIN vehicle JOIN driver ON vehicle_driver.Vehicle_ID = vehicle.Vehicle_ID AND driver.Driver_ID = vehicle_driver.Driver_ID"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'basic_comparison': '='}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT Total_Production FROM vehicle WHERE  Vehicle_ID = 15
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN_JOIN', 'where_type': 'none', 'number_of_value_exp_in_group_by': 1, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'without_offset', 'value_exp_types': ['single_exp_number', 'single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT Power, vehicle.Vehicle_ID, Name FROM vehicle_driver JOIN vehicle JOIN driver ON vehicle_driver.Vehicle_ID = vehicle.Vehicle_ID AND driver.Driver_ID = vehicle_driver.Driver_ID GROUP BY Name LIMIT 7"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN_JOIN', 'where_type': {'basic_comparison': '>='}, 'number_of_value_exp_in_group_by': 1, 'having_type': {'single': 'AVG'}, 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['agg_exp'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT SUM(vehicle.Vehicle_ID), Top_Speed FROM vehicle_driver JOIN vehicle JOIN driver ON vehicle_driver.Vehicle_ID = vehicle.Vehicle_ID AND driver.Driver_ID = vehicle_driver.Driver_ID WHERE  Top_Speed >= 63 GROUP BY Top_Speed HAVING AVG(Top_Speed) = 50"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': 'not_in_with_subquery', 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'DESC', 'limit_type': 'none', 'value_exp_types': ['single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT v.Power FROM vehicle AS v WHERE Power NOT IN (SELECT Power FROM vehicle AS x LIMIT 4) ORDER BY v.Power DESC
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': {'basic_comparison': '>='}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['count_distinct_exp', 'single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT COUNT(DISTINCT m.Vehicle_ID), m.Driver_ID FROM vehicle_driver AS m WHERE  m.Vehicle_ID >= 91"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': {'logical_operator': ['OR', 'basic_comparison', 'not_exists_subquery']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'DESC', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT AVG(vehicle_driver.Driver_ID), Vehicle_ID FROM vehicle_driver JOIN driver ON driver.Driver_ID = vehicle_driver.Driver_ID WHERE  Vehicle_ID <= 43 OR EXISTS (SELECT * FROM vehicle AS s WHERE  s.Top_Speed <= 99 AND vehicle_driver.Driver_ID = s.Vehicle_ID) ORDER BY Vehicle_ID DESC"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'basic_comparison': '>'}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'without_offset', 'value_exp_types': ['agg_exp'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT AVG(Vehicle_ID) FROM vehicle WHERE  Power > 16 LIMIT 2
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': {'logical_operator': ['AND', 'between', 'basic_comparison']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'DESC', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'count_distinct_exp', 'single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT COUNT(u.Driver_ID), COUNT(DISTINCT u.Vehicle_ID), u.Vehicle_ID FROM vehicle_driver AS u WHERE u.Driver_ID BETWEEN 1 AND 10 AND  u.Driver_ID > 76 ORDER BY u.Vehicle_ID DESC"
