sql,hardness
"SELECT COUNT(DISTINCT Conference_Name), Conference_Name, Location FROM conference WHERE Year <= 29 AND Conference_ID > (SELECT MIN(Conference_ID) FROM conference_participation) GROUP BY Location, Conference_Name HAVING AVG(Conference_ID) > 61 ORDER BY Location ASC",extra
SELECT T1.Founded FROM institution AS T1 JOIN staff AS T2 ON T2.Institution_ID = T1.Institution_ID JOIN conference_participation AS T3 ON T3.staff_ID = T2.staff_ID JOIN conference AS T4 ON T4.Conference_ID = T3.Conference_ID ORDER BY T1.Founded DESC;,extra
"SELECT COUNT(s.Conference_ID), s.role FROM conference_participation s GROUP BY s.role ORDER BY s.role DESC;",medium
"SELECT MIN(T1.Conference_ID), T1.role FROM conference_participation AS T1 JOIN conference AS T2 ON T1.Conference_ID = T2.Conference_ID JOIN staff AS T3 ON T1.staff_ID = T3.staff_ID WHERE T3.Institution_ID BETWEEN 1 AND 10 OR EXISTS (SELECT * FROM conference_participation AS T4 WHERE T4.staff_ID <= 46 AND T4.staff_ID = T1.staff_ID LIMIT 6)",extra
SELECT AVG(Founded) FROM institution GROUP BY Location ORDER BY Location ASC;,medium
SELECT COUNT(DISTINCT Nationality) FROM staff WHERE Institution_ID BETWEEN 1 AND 10 AND  Age > 19,medium
"SELECT AVG(cp.Conference_ID), cp.role FROM conference_participation cp JOIN staff s ON cp.staff_ID = s.staff_ID JOIN institution i ON s.Institution_ID = i.Institution_ID WHERE cp.staff_ID <= 100 GROUP BY cp.role LIMIT 6",extra
"SELECT staff_ID, role FROM conference_participation;",medium
"SELECT COUNT(DISTINCT Conference_Name), Conference_Name FROM conference WHERE Conference_ID BETWEEN 1 AND 10 AND  Year >= 1950 ORDER BY Conference_Name ASC;",extra
"SELECT COUNT(DISTINCT T1.Location), T2.Nationality, T1.Founded FROM institution AS T1 JOIN staff AS T2 ON T2.Institution_ID = T1.Institution_ID WHERE EXISTS (SELECT * FROM staff AS p WHERE  p.Institution_ID <= 26 AND T1.Institution_ID = p.Institution_ID) GROUP BY T1.Founded ORDER BY T2.Nationality ASC",extra
"SELECT T2.Age, T2.Institution_ID FROM conference_participation AS T1 INNER JOIN staff AS T2 ON T1.staff_ID = T2.staff_ID INNER JOIN institution AS T3 ON T3.Institution_ID = T2.Institution_ID GROUP BY T2.Institution_ID",hard
"SELECT institution.Founded, staff.Age FROM institution JOIN staff ON staff.Institution_ID = institution.Institution_ID GROUP BY institution.Founded, staff.Age HAVING staff.Age >= 91 LIMIT 5",hard
"SELECT T1.Age, T1.Nationality, T2.role FROM staff T1 JOIN conference_participation T2 ON T1.staff_ID = T2.staff_ID WHERE EXISTS (SELECT * FROM conference T3 WHERE T3.Conference_ID = T2.Conference_ID) GROUP BY T2.role, T1.Age, T1.Nationality ORDER BY T1.Age DESC",extra
"SELECT AVG(t.Age), t.staff_ID, t.Age FROM (SELECT s.staff_ID, s.Age FROM staff s JOIN conference_participation cp ON s.staff_ID = cp.staff_ID JOIN institution i ON s.Institution_ID = i.Institution_ID) t WHERE t.staff_ID IN (SELECT staff_ID FROM conference_participation) AND t.staff_ID <= 99 ORDER BY t.Age ASC",extra
"SELECT COUNT(DISTINCT Conference_ID), Location FROM conference WHERE  Year > 61 LIMIT 3",medium
SELECT f.Founded FROM institution AS f WHERE  f.Institution_ID >= 13 LIMIT 3,medium
SELECT b.staff_ID FROM conference_participation AS b,easy
"SELECT r.Age, r.staff_ID, r.Nationality FROM staff AS r WHERE r.staff_ID <= 72;",medium
"SELECT r.Location, conference.Year FROM conference AS r JOIN conference ON conference.Conference_ID = r.Conference_ID WHERE  r.Conference_ID >= 40 GROUP BY r.Location, conference.Year ORDER BY conference.Year ASC LIMIT 9",extra
"SELECT MAX(n.Founded), n.Institution_ID FROM institution AS n WHERE n.Founded <= 1944 LIMIT 8",medium
"SELECT COUNT(DISTINCT institution.Institution_Name), staff.Institution_ID FROM conference JOIN conference_participation ON conference_participation.Conference_ID = conference.Conference_ID JOIN staff ON staff.staff_ID = conference_participation.staff_ID JOIN institution ON staff.Institution_ID = institution.Institution_ID WHERE  conference.Year = 82 GROUP BY staff.Institution_ID HAVING MAX(conference_participation.Conference_ID) > 44 ORDER BY staff.Institution_ID DESC LIMIT 9",extra
"SELECT i.Location, s.name FROM institution i JOIN staff s ON s.Institution_ID = i.Institution_ID WHERE s.staff_ID BETWEEN 1 AND 10 AND i.Institution_ID != 30 GROUP BY i.Location, s.name ORDER BY i.Location DESC;",extra
"SELECT COUNT(*), role FROM conference_participation WHERE staff_ID = 13 AND Conference_ID IN (SELECT Conference_ID FROM conference WHERE Year > 2026) GROUP BY role ORDER BY role DESC",extra
"SELECT T1.staff_ID, T2.role FROM staff AS T1 INNER JOIN conference_participation AS T2 ON T1.staff_ID = T2.staff_ID",medium
SELECT COUNT(Age) FROM staff WHERE  Age = 10,easy
"SELECT staff_ID, role FROM conference_participation WHERE staff_ID BETWEEN 1 AND 10 AND EXISTS (SELECT * FROM staff AS u WHERE conference_participation.staff_ID = u.staff_ID) GROUP BY role HAVING MIN(staff_ID) > 28 ORDER BY staff_ID DESC",extra
SELECT o.Year FROM conference AS o LIMIT 2,easy
"SELECT COUNT(b.Founded), MAX(b.Founded), b.Location FROM institution AS b WHERE  b.Institution_ID > 21 GROUP BY b.Location HAVING MAX(b.Institution_ID) > 38",extra
"SELECT T1.Institution_ID, T3.Conference_Name, T2.role FROM staff AS T1 JOIN conference_participation AS T2 ON T1.staff_ID = T2.staff_ID JOIN conference AS T3 ON T2.Conference_ID = T3.Conference_ID WHERE T3.Conference_ID BETWEEN 1 AND 10 OR EXISTS (SELECT * FROM conference_participation WHERE Conference_ID != 92 AND Conference_ID = T3.Conference_ID LIMIT 6) GROUP BY T2.role, T1.Institution_ID HAVING MAX(T3.Conference_ID) = 52 ORDER BY T1.Institution_ID ASC LIMIT 4",extra
"SELECT MIN(Conference_ID), COUNT(staff_ID), role FROM conference_participation WHERE Conference_ID BETWEEN 1 AND 9 ORDER BY role DESC LIMIT 5",hard
SELECT COUNT(*) FROM institution;,easy
