sql,hardness
"SELECT COUNT(address_id), address_details FROM Addresses WHERE address_id BETWEEN 1 AND 10 AND EXISTS (SELECT * FROM Delivery_Route_Locations AS c WHERE Addresses.address_id = c.location_address_id) ORDER BY address_details DESC",extra
"SELECT l.actual_order_id, l.product_id FROM Actual_Order_Products AS l WHERE  l.actual_order_id >= 56 GROUP BY l.product_id",medium
"SELECT COUNT(DISTINCT k.product_id), k.product_id FROM Actual_Order_Products AS k WHERE k.actual_order_id = 65 GROUP BY k.product_id ORDER BY k.product_id DESC",hard
"SELECT address_id, zip_postcode, city FROM Addresses WHERE  address_id > 74 GROUP BY city HAVING MIN(address_id) < 89 LIMIT 6",hard
"SELECT COUNT(DISTINCT T1.actual_order_id), T4.product_id FROM Actual_Order_Products AS T1 JOIN Regular_Order_Products AS T2 ON T1.product_id = T2.product_id JOIN Regular_Orders AS T3 ON T2.regular_order_id = T3.regular_order_id JOIN Products AS T4 ON T2.product_id = T4.product_id JOIN Actual_Orders AS T5 ON T1.actual_order_id = T5.actual_order_id WHERE T3.regular_order_id BETWEEN 1 AND 10 AND T1.actual_order_id = 96 LIMIT 1",extra
"SELECT COUNT(DISTINCT regular_order_id), COUNT(DISTINCT distributer_id) FROM Regular_Orders WHERE regular_order_id > 51;",medium
"SELECT route_name, other_route_details FROM Delivery_Routes GROUP BY route_name, other_route_details;",medium
"SELECT COUNT(DISTINCT product_name), product_name, product_description FROM Products WHERE product_price <= 69 GROUP BY product_description HAVING COUNT(product_name) < 35 LIMIT 3",hard
"SELECT COUNT(location_address_id), route_id FROM Delivery_Route_Locations WHERE  location_address_id = 20 ORDER BY route_id ASC LIMIT 4",hard
SELECT COUNT(DISTINCT product_id) FROM Actual_Order_Products WHERE  actual_order_id = 40,easy
"SELECT COUNT(DISTINCT truck_details), COUNT(DISTINCT truck_licence_number), truck_licence_number FROM Trucks WHERE truck_id = 71 GROUP BY truck_licence_number ORDER BY truck_licence_number ASC;",hard
SELECT k.product_id FROM Actual_Order_Products AS k WHERE  k.actual_order_id = 100 GROUP BY k.product_id ORDER BY k.product_id DESC,hard
SELECT MAX(truck_id) FROM Trucks WHERE truck_id > 9;,easy
"SELECT AOP.product_id, P.product_price FROM Regular_Order_Products ROP JOIN Actual_Order_Products AOP ON ROP.product_id = AOP.product_id JOIN Products P ON ROP.product_id = P.product_id WHERE AOP.product_id > 31 GROUP BY AOP.product_id HAVING SUM(AOP.product_id) > 3 ORDER BY AOP.product_id DESC LIMIT 9",extra
SELECT order_status_code FROM Actual_Orders JOIN Regular_Orders ON Regular_Orders.regular_order_id = Actual_Orders.regular_order_id WHERE  Actual_Orders.regular_order_id != 84,medium
