sql,hardness
"SELECT MAX(Customers.customer_id), COUNT(DISTINCT date_became_customer), COUNT(DISTINCT customer_name) FROM Customers JOIN Customer_Contact_Channels ON Customers.customer_id = Customer_Contact_Channels.customer_id JOIN Customer_Orders ON Customers.customer_id = Customer_Orders.customer_id JOIN Order_Items ON Customer_Orders.order_id = Order_Items.order_id WHERE Order_Items.product_id BETWEEN 1 AND 10 LIMIT 9",extra
"SELECT COUNT(DISTINCT Customers.customer_id), Customer_Orders.customer_id FROM Customers JOIN Customer_Orders ON Customer_Orders.customer_id = Customers.customer_id JOIN Order_Items ON Order_Items.order_id = Customer_Orders.order_id WHERE Order_Items.order_id < 5",hard
"SELECT COUNT(DISTINCT customer_id), channel_code FROM Customer_Contact_Channels WHERE customer_id > 66 ORDER BY channel_code ASC",medium
SELECT order_id FROM Order_Items WHERE order_id < 54 ORDER BY order_id DESC LIMIT 5,hard
SELECT product_id FROM Products WHERE product_id = 53,easy
SELECT COUNT(DISTINCT T1.order_details) FROM Customer_Orders AS T1 JOIN Customers AS T2 ON T1.customer_id = T2.customer_id WHERE T1.customer_id < 54 OR T1.customer_id > (SELECT MIN(customer_id) FROM Customer_Contact_Channels WHERE customer_id > 59),extra
SELECT product_details FROM Products WHERE product_id >= 25 ORDER BY product_details DESC LIMIT 5,hard
SELECT order_id FROM Customer_Orders WHERE customer_id <= 25 ORDER BY order_id DESC LIMIT 5,hard
SELECT COUNT(DISTINCT b.state_province_county) FROM Addresses AS b WHERE b.address_id BETWEEN 1 AND 10 OR  b.address_id = 66;,medium
"SELECT a.customer_id, a.contact_number FROM Customer_Contact_Channels AS a WHERE a.customer_id BETWEEN 1 AND 10 OR a.channel_code IN (SELECT channel_code FROM Customer_Contact_Channels WHERE customer_id BETWEEN 1 AND 10);",extra
"SELECT AVG(address_id), country FROM Addresses WHERE address_id BETWEEN 1 AND 10;",medium
"SELECT COUNT(f.address_id), COUNT(DISTINCT f.zip_postcode), f.address_content, f.city FROM Addresses AS f WHERE f.address_content IN (SELECT address_content FROM Addresses AS k GROUP BY k.address_content HAVING COUNT(k.address_content) > 1) GROUP BY f.city, f.address_content",extra
"SELECT payment_method, customer_name, other_customer_details FROM Customers WHERE customer_id < 76 LIMIT 5",medium
"SELECT COUNT(f.address_id), f.address_id, f.address_content FROM Addresses AS f WHERE f.address_id = 55 GROUP BY f.address_content",medium
"SELECT AVG(address_id), MAX(address_id), zip_postcode FROM Addresses WHERE address_id BETWEEN 1 AND 10 AND EXISTS (SELECT * FROM Customer_Addresses AS c WHERE  c.customer_id < 40 AND Addresses.address_id = c.address_id) ORDER BY zip_postcode DESC LIMIT 9",extra
"SELECT l.state_province_county, Addresses.zip_postcode FROM Addresses JOIN Addresses AS l ON Addresses.address_id = l.address_id WHERE  l.address_id != 81 GROUP BY Addresses.zip_postcode, l.state_province_county;",hard
SELECT k.zip_postcode FROM Addresses AS k WHERE k.address_id != 1 ORDER BY k.zip_postcode DESC,medium
"SELECT COUNT(DISTINCT T2.product_id) AS product_count, T1.order_details FROM Customer_Orders AS T1 JOIN Order_Items AS T2 ON T2.order_id = T1.order_id WHERE  T1.order_id >= 27 LIMIT 8",hard
SELECT c.other_customer_details FROM Customers AS c WHERE  c.customer_id <= 81 AND date_became_customer = (SELECT MIN(date_became_customer) FROM Customers WHERE customer_id BETWEEN 1 AND 10),extra
SELECT order_details FROM Customer_Orders WHERE order_id <= 75 OR order_status IN (SELECT order_status FROM Customer_Orders AS e WHERE e.order_id BETWEEN 1 AND 10) ORDER BY order_details DESC,extra
"SELECT Customer_Contact_Channels.customer_id, Customers.customer_id FROM Customers JOIN Customer_Contact_Channels ON Customers.customer_id = Customer_Contact_Channels.customer_id WHERE  Customer_Contact_Channels.customer_id <= 95 ORDER BY Customers.customer_id DESC",hard
"SELECT customer_id, other_customer_details FROM Customers",medium
"SELECT AVG(z.customer_id), COUNT(z.customer_id) FROM Customer_Contact_Channels AS z WHERE z.customer_id > 52",medium
"SELECT MIN(o.customer_id), COUNT(DISTINCT o.customer_id) FROM Customers AS o WHERE o.customer_id BETWEEN 1 AND 10 OR  o.customer_id = 72",hard
SELECT T1.order_id FROM Customer_Orders AS T1 INNER JOIN Order_Items AS T2 ON T1.order_id = T2.order_id WHERE T1.customer_id > 90,medium
SELECT other_address_details FROM Addresses AS z WHERE  z.address_id >= 40 LIMIT 10,medium
"SELECT COUNT(DISTINCT T1.date_became_customer), T1.customer_id, T1.date_became_customer FROM Customers T1 GROUP BY T1.customer_id, T1.date_became_customer HAVING MAX(T1.customer_id) >= 44 ORDER BY T1.date_became_customer ASC",extra
