sql,hardness
"SELECT Customer_ID, Customer_Details FROM Customers WHERE Customer_ID = 13 ORDER BY Customer_Details DESC",medium
SELECT Customer_Details FROM Customers AS c WHERE EXISTS (SELECT * FROM Customer_Policies AS cp WHERE c.Customer_ID = cp.Customer_ID),hard
"SELECT COUNT(Amount_Claimed), COUNT(DISTINCT Policy_ID) FROM Claims",medium
"SELECT Customer_ID, Customer_Details FROM Customers ORDER BY Customer_Details DESC LIMIT 8",medium
SELECT p.Customer_ID FROM Customer_Policies AS p WHERE p.Customer_ID < 10 AND Policy_Type_Code NOT IN (SELECT Policy_Type_Code FROM Customer_Policies AS g WHERE g.Policy_ID BETWEEN 1 AND 10 LIMIT 9),extra
SELECT Customer_Details FROM Customers JOIN Customer_Policies JOIN Claims ON Customer_Policies.Customer_ID = Customers.Customer_ID AND Claims.Policy_ID = Customer_Policies.Policy_ID WHERE Amount_Settled BETWEEN 1 AND 10 AND  Amount_Claimed != 60,hard
"SELECT MAX(Payments.Settlement_ID), Claim_ID FROM Settlements JOIN Payments ON Payments.Settlement_ID = Settlements.Settlement_ID GROUP BY Claim_ID;",medium
SELECT COUNT(Customer_Details) FROM Customers WHERE Customer_ID < 2 GROUP BY Customer_Details;,medium
SELECT Customer_Policy_ID FROM Settlements WHERE Settlement_ID BETWEEN 1 AND 10 AND EXISTS (SELECT * FROM Claims AS m WHERE m.Policy_ID BETWEEN 1 AND 10 AND Settlements.Settlement_ID = m.Claim_ID LIMIT 2) LIMIT 2,extra
"SELECT Policy_ID, Customer_ID, Policy_Type_Code FROM Customer_Policies ORDER BY Customer_ID ASC LIMIT 8",medium
"SELECT Customer_Policy_ID, Amount_Settled FROM Settlements WHERE Claim_ID < 36 ORDER BY Amount_Settled DESC;",medium
SELECT Customer_Details FROM Customers WHERE Customer_ID != 12 LIMIT 5;,medium
SELECT z.Amount_Settled FROM Claims AS z,easy
"SELECT Amount_Payment, Payment_Method_Code FROM Payments WHERE  Amount_Payment != 65 GROUP BY Amount_Payment HAVING AVG(Amount_Payment) <= 98 LIMIT 6",hard
"SELECT Policy_Type_Code, Customer_Details, Start_Date FROM Customers JOIN Customer_Policies ON Customer_Policies.Customer_ID = Customers.Customer_ID JOIN Claims ON Claims.Policy_ID = Customer_Policies.Policy_ID JOIN Settlements ON Settlements.Claim_ID = Claims.Claim_ID WHERE Claims.Policy_ID < 21 GROUP BY Start_Date ORDER BY Start_Date DESC",extra
