sql,hardness
"SELECT COUNT(DISTINCT p.Player_ID), p.Wins_count FROM player AS p JOIN player AS r ON p.Player_ID = r.Player_ID WHERE p.Events_number <= 55 GROUP BY p.Player_ID HAVING MAX(r.Events_number) = 69",hard
SELECT MAX(j.Earnings) FROM player AS j WHERE  j.Player_ID >= 79,easy
"SELECT COUNT(DISTINCT T2.Club_ID), T1.Manager FROM club AS T1 INNER JOIN player AS T2 ON T1.Club_ID = T2.Club_ID GROUP BY T1.Manager",medium
SELECT c.Name FROM player AS c WHERE  c.Club_ID < 22 ORDER BY c.Name ASC LIMIT 3,hard
"SELECT Events_number, Name, SUM(Wins_count) as Wins_count FROM player WHERE Player_ID BETWEEN 1 AND 10 GROUP BY Events_number, Name ORDER BY SUM(Wins_count) DESC LIMIT 7",extra
"SELECT COUNT(DISTINCT Earnings), Wins_count FROM player WHERE  Club_ID != 82 GROUP BY Wins_count ORDER BY Wins_count ASC LIMIT 5",extra
SELECT o.Club_ID FROM club AS o WHERE  o.Name IS NOT NULL LIMIT 9,medium
SELECT Wins_count FROM player WHERE  Club_ID != 73 GROUP BY Wins_count HAVING COUNT(Earnings) < 28 ORDER BY Wins_count DESC,hard
"SELECT COUNT(DISTINCT Manufacturer), COUNT(DISTINCT Country) FROM club JOIN player ON player.Club_ID = club.Club_ID WHERE  player.Club_ID != 44",extra
"SELECT u.Earnings, u.Country FROM player AS u WHERE Events_number IN (SELECT Events_number FROM player AS f WHERE  f.Player_ID <= 86) ORDER BY u.Earnings DESC",extra
"SELECT d.Manager, MAX(d.Manufacturer) AS max_manufacturer FROM club AS d WHERE d.Club_ID <= 17 GROUP BY d.Manager ORDER BY max_manufacturer DESC;",hard
SELECT Manager FROM club WHERE Club_ID BETWEEN 1 AND 10 GROUP BY Manager LIMIT 1,hard
SELECT Manager FROM club ORDER BY Manager ASC,easy
"SELECT T1.Club_ID, T1.Manufacturer, T1.Name FROM club AS T1 WHERE  T1.Club_ID <= 29 OR EXISTS (SELECT * FROM player WHERE T1.Club_ID = player.Club_ID) GROUP BY T1.Name ORDER BY T1.Club_ID ASC LIMIT 7",extra
"SELECT MIN(club.Club_ID), AVG(player.Events_number) FROM club JOIN player ON player.Club_ID = club.Club_ID WHERE EXISTS (SELECT * FROM player WHERE player.Events_number = 48 AND player.Club_ID = club.Club_ID)",extra
"SELECT MIN(r.Events_number), r.Name FROM player AS r WHERE  r.Wins_count >= 0 GROUP BY r.Name HAVING MIN(r.Events_number) > 13 LIMIT 9",hard
"SELECT COUNT(club.Club_ID), Player_ID FROM club JOIN player ON player.Club_ID = club.Club_ID WHERE Player_ID BETWEEN 1 AND 10 AND EXISTS (SELECT * FROM club AS v WHERE player.Club_ID = v.Club_ID LIMIT 1) ORDER BY Player_ID ASC",extra
"SELECT n.Name, AVG(n.Earnings) as avg_earnings, COUNT(DISTINCT n.Player_ID) as distinct_players FROM player AS n WHERE n.Player_ID BETWEEN 1 AND 10 AND  n.Wins_count != 58 GROUP BY n.Name ORDER BY n.Name ASC",extra
"SELECT COUNT(s.Events_number), s.Country FROM player AS s WHERE (s.Player_ID BETWEEN 1 AND 10) OR s.Earnings != 54 LIMIT 6;",hard
"SELECT AVG(Club_ID), Club_ID FROM club WHERE Club_ID BETWEEN 1 AND 10 OR  Club_ID != 13",extra
"SELECT Country, Name FROM player WHERE Club_ID BETWEEN 1 AND 10 AND EXISTS (SELECT * FROM club WHERE Club_ID < 40 AND player.Club_ID = club.Club_ID);",extra
"SELECT COUNT(Earnings), COUNT(DISTINCT Earnings) FROM player WHERE Club_ID BETWEEN 1 AND 10 AND  Earnings = 57",hard
"SELECT COUNT(DISTINCT T1.Club_ID), T2.Wins_count, T2.Name FROM club AS T1 INNER JOIN player AS T2 ON T1.Club_ID = T2.Club_ID GROUP BY T2.Name, T2.Wins_count ORDER BY T2.Wins_count ASC LIMIT 9",extra
"SELECT Player_ID, Earnings FROM club JOIN player ON player.Club_ID = club.Club_ID WHERE  Player_ID >= 30",medium
"SELECT COUNT(Player_ID), Earnings, Country FROM club JOIN player ON player.Club_ID = club.Club_ID WHERE Earnings = 5 ORDER BY Earnings ASC",hard
SELECT Captain FROM club JOIN player ON player.Club_ID = club.Club_ID,easy
"SELECT Club_ID, COUNT(Captain) FROM club WHERE Club_ID >= 22 GROUP BY Club_ID;",medium
