sql,hardness
"SELECT Problems.product_id, other_problem_details FROM Problems JOIN Product ON Product.product_id = Problems.product_id WHERE EXISTS (SELECT * FROM Product AS l WHERE  l.product_id = Problems.product_id) GROUP BY Problems.product_id, other_problem_details",extra
"SELECT COUNT(DISTINCT k.product_details), k.product_id, k.product_name FROM Product AS k WHERE  k.product_id != 60 GROUP BY k.product_name",medium
"SELECT AVG(problem_log_id), other_log_details FROM Problem_Log WHERE problem_log_id BETWEEN 1 AND 10 AND assigned_to_staff_id >= 99 GROUP BY other_log_details ORDER BY other_log_details ASC",hard
"SELECT COUNT(DISTINCT log_entry_fix), problem_id, assigned_to_staff_id FROM Staff JOIN Problem_Log ON Problem_Log.assigned_to_staff_id = Staff.staff_id WHERE assigned_to_staff_id BETWEEN 1 AND 10 OR assigned_to_staff_id != 79 GROUP BY problem_id, assigned_to_staff_id",extra
SELECT y.product_name FROM Product AS y JOIN Product AS z ON y.product_id = z.product_id WHERE y.product_id BETWEEN 1 AND 10,medium
"SELECT problem_category_description, log_entry_description FROM Product JOIN Problems ON Product.product_id = Problems.product_id JOIN Problem_Log ON Problems.problem_id = Problem_Log.problem_id JOIN Problem_Category_Codes ON Problem_Category_Codes.problem_category_code = Problem_Log.problem_category_code WHERE Problems.problem_id BETWEEN 1 AND 10 AND log_entry_fix != (SELECT log_entry_fix FROM Problem_Log WHERE problem_id BETWEEN 1 AND 10 ORDER BY log_entry_date DESC LIMIT 1) GROUP BY log_entry_description LIMIT 3",extra
"SELECT COUNT(DISTINCT product_id), Problems.problem_id FROM Problems JOIN Problem_Log ON Problems.problem_id = Problem_Log.problem_id WHERE Problems.product_id != 4 ORDER BY Problems.problem_id ASC",hard
"SELECT MIN(T1.reported_by_staff_id), T2.staff_first_name FROM Problems AS T1 JOIN Staff AS T2 ON T1.reported_by_staff_id = T2.staff_id WHERE T2.staff_id > 6 ORDER BY T2.staff_first_name ASC",hard
"SELECT other_problem_details, product_details FROM Problems JOIN Product ON Product.product_id = Problems.product_id WHERE closure_authorised_by_staff_id BETWEEN 1 AND 10 AND date_problem_reported >= (SELECT MIN(date_problem_reported) FROM Problems AS m WHERE  m.closure_authorised_by_staff_id <= 34)",extra
"SELECT other_staff_details, staff_last_name FROM Staff WHERE staff_id <= 2 GROUP BY staff_last_name HAVING COUNT(staff_id) >= 8",medium
SELECT MIN(product_id) FROM Product WHERE  product_id != 52,easy
"SELECT SUM(product_id), COUNT(DISTINCT product_name) FROM Product WHERE  product_id < 91",medium
"SELECT s.staff_first_name, s.staff_last_name, s.other_staff_details FROM Staff AS s WHERE s.staff_id BETWEEN 1 AND 10 ORDER BY s.staff_last_name DESC",medium
"SELECT problem_log_id, staff_last_name, log_entry_fix, Problem_Log.problem_category_code FROM Problem_Category_Codes JOIN Staff JOIN Problem_Log ON Problem_Log.assigned_to_staff_id = Staff.staff_id AND Problem_Category_Codes.problem_category_code = Problem_Log.problem_category_code WHERE assigned_to_staff_id = 30 GROUP BY Problem_Log.problem_category_code ORDER BY problem_log_id DESC",extra
"SELECT T3.staff_first_name, T2.log_entry_fix, T2.log_entry_description FROM Problems AS T1 JOIN Problem_Log AS T2 ON T1.problem_id = T2.problem_id JOIN Staff AS T3 ON T1.reported_by_staff_id = T3.staff_id JOIN Problem_Status_Codes AS T4 ON T2.problem_status_code = T4.problem_status_code WHERE T1.closure_authorised_by_staff_id BETWEEN 1 AND 10 AND T3.staff_id = 81 GROUP BY T2.log_entry_description HAVING AVG(T1.closure_authorised_by_staff_id) >= 3",extra
"SELECT COUNT(DISTINCT T3.closure_authorised_by_staff_id), COUNT(DISTINCT T1.problem_category_description), T2.log_entry_fix FROM Problem_Category_Codes AS T1 JOIN Problem_Log AS T2 JOIN Problems AS T3 ON T1.problem_category_code = T2.problem_category_code AND T3.problem_id = T2.problem_id WHERE T2.assigned_to_staff_id < 13 LIMIT 10",extra
SELECT Problem_Log.problem_status_code FROM Problems JOIN Problem_Log ON Problems.problem_id = Problem_Log.problem_id JOIN Problem_Status_Codes ON Problem_Log.problem_status_code = Problem_Status_Codes.problem_status_code WHERE Problem_Log.assigned_to_staff_id >= 48,hard
SELECT problem_id FROM Problems WHERE  closure_authorised_by_staff_id < 25 LIMIT 3,medium
"SELECT problem_category_code, log_entry_date FROM Problem_Log WHERE  assigned_to_staff_id < 72 GROUP BY log_entry_date ORDER BY problem_category_code ASC",hard
SELECT other_staff_details FROM Staff ORDER BY other_staff_details ASC LIMIT 9,medium
"SELECT c.product_id, c.product_name FROM Product AS c;",medium
"SELECT closure_authorised_by_staff_id, MIN(problem_id), problem_description FROM Problems WHERE closure_authorised_by_staff_id >= 88 GROUP BY closure_authorised_by_staff_id, problem_description LIMIT 2",hard
"SELECT MAX(assigned_to_staff_id), Problem_Log.problem_status_code, other_log_details FROM Problem_Log JOIN Problem_Status_Codes ON Problem_Log.problem_status_code = Problem_Status_Codes.problem_status_code WHERE  Problem_Log.problem_log_id >= 99 LIMIT 3",hard
"SELECT COUNT(p.product_id), p.product_details FROM Product AS p JOIN Problems ON p.product_id = Problems.product_id WHERE p.product_id BETWEEN 1 AND 10 AND EXISTS (SELECT * FROM Staff WHERE Staff.staff_id BETWEEN 1 AND 10 AND Problems.reported_by_staff_id = Staff.staff_id) GROUP BY p.product_details ORDER BY p.product_details ASC",extra
