query
"{'hash': 'e07063d001b4768e1c2a1a9bef05834d13228da5', 'query': ""SELECT T1.School_ID FROM school AS T1 JOIN school AS T2 ON T1.School_ID = T2.School_ID WHERE T1.Enrollment BETWEEN 500 AND 1000 AND T1.Founded > 1950 AND NOT EXISTS (SELECT * FROM school_performance AS T3 WHERE T3.School_Id = T1.School_ID AND T3.Class_AA = 'A')"", 'template': 'SELECT #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# AND #COLUMN# > #VALUE# AND NOT EXISTS (SELECT * FROM #TABLE# AS T3 WHERE #COLUMN# = #COLUMN# AND #COLUMN# = #VALUE#)'}"
"{'hash': 'c36a25b47a6ee29753bc8fce9975cd94aae8ebf1', 'query': 'SELECT T1.Location, T2.League FROM school AS T1 JOIN school_details AS T2 ON T1.School_ID = T2.School_ID', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN#'}"
"{'hash': '67134ae503a085948345b34de5d5910e250abbc7', 'query': 'SELECT T1.School, SUM(T2.Enrollment) FROM school AS T1 JOIN school_details AS T2 ON T1.School_ID = T2.School_ID WHERE T2.Enrollment > 1000 ORDER BY SUM(T2.Enrollment) DESC LIMIT 5', 'template': 'SELECT #COLUMN#, SUM(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# > #VALUE# ORDER BY SUM(#COLUMN#) DESC LIMIT #VALUE#'}"
"{'hash': '1fd0381c994f3cb4723a9a6a3d479ac5515fe855', 'query': 'SELECT Enrollment, School FROM school WHERE Enrollment <= 1000 ORDER BY Enrollment ASC LIMIT 10', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# WHERE #COLUMN# <= #VALUE# ORDER BY #COLUMN# ASC LIMIT #VALUE#'}"
"{'hash': '298eaef022845013922732537337afb621ac39ea', 'query': 'SELECT T1.School, MAX(T3.Enrollment) FROM school AS T1 JOIN school_details AS T2 ON T1.School_ID = T2.School_ID JOIN school AS T3 ON T2.School_ID = T3.School_ID WHERE T3.Founded >= 1850 GROUP BY T1.School HAVING MAX(T3.Enrollment) > 2000', 'template': 'SELECT #COLUMN#, MAX(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# >= #VALUE# GROUP BY #COLUMN# HAVING MAX(#COLUMN#) > #VALUE#'}"
"{'hash': '9ae3ccf351c89fedf4bd218149dc32c7bc820706', 'query': ""SELECT School, Location FROM school WHERE School_ID IN (SELECT School_ID FROM school_details WHERE Nickname = 'Team A' AND Class = 'AAA') ORDER BY School ASC"", 'template': ""SELECT #COLUMN#, #COLUMN# FROM #TABLE# WHERE #COLUMN# IN (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = '#VALUE#' AND #COLUMN# = '#VALUE#') ORDER BY #COLUMN# ASC""}"
"{'hash': '4f16da4723b949b1a558a6f96066c0b072751225', 'query': 'SELECT Enrollment FROM school WHERE Founded != 2000 ORDER BY Enrollment DESC', 'template': 'SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# != #VALUE# ORDER BY #COLUMN# DESC'}"
"{'hash': '868d02717620aeda3f2363422fcf5a1b2de05a3d', 'query': 'SELECT School_ID, School, SUM(Enrollment) AS sum_enrollment FROM school WHERE Founded BETWEEN 1950 AND 1960 GROUP BY School_ID', 'template': 'SELECT #COLUMN#, #COLUMN#, SUM(#COLUMN#) AS sum_#COLUMN# FROM #TABLE# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# GROUP BY #COLUMN#'}"
"{'hash': '31d78f0e40ba3e740027961ee38cd5d9b450d915', 'query': ""SELECT School FROM school WHERE School != 'School1' ORDER BY School ASC LIMIT 5"", 'template': 'SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# != #VALUE# ORDER BY #COLUMN# ASC LIMIT #VALUE#'}"
"{'hash': '2613e955cbb72d0353398ae1b44cdc62498f2cd3', 'query': 'SELECT School, Founded FROM school', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE#'}"
"{'hash': '7a9c4956af10c21b232673f17ac64c7b1d33dd4d', 'query': 'SELECT Enrollment FROM school WHERE Enrollment BETWEEN 400 AND 800 OR Enrollment > 1200 OR NOT EXISTS (SELECT School_ID FROM school_details WHERE school.School_ID = school_details.School_ID)', 'template': 'SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# OR #COLUMN# > #VALUE# OR NOT EXISTS (SELECT #COLUMN# FROM #TABLE# WHERE #TABLE#. #COLUMN# = #TABLE#. #COLUMN#)'}"
"{'hash': '57bd737250a2a396a3e1cfaaebc3cd9748d977fc', 'query': 'SELECT COUNT(DISTINCT School) FROM school WHERE Enrollment >= 0', 'template': 'SELECT COUNT(DISTINCT #COLUMN#) FROM #TABLE# WHERE #COLUMN# >= #VALUE#'}"
