sql,hardness
"SELECT Document_Subset_Name AS Document_Name, Document_Subset_Details FROM Document_Subsets WHERE Document_Subset_ID < 50 ORDER BY Document_Subset_ID DESC LIMIT 10",hard
SELECT T1.Document_Subset_Name FROM Document_Subsets AS T1 JOIN Document_Subset_Members AS T2 ON T1.Document_Subset_ID = T2.Document_Subset_ID WHERE T1.Document_Subset_ID IN (SELECT T3.Document_Subset_ID FROM Document_Subsets AS T3),extra
"SELECT T1.Document_Subset_Name, T1.Document_Subset_Details FROM Document_Subsets AS T1 WHERE T1.Document_Subset_ID < 100 ORDER BY T1.Document_Subset_Name DESC",medium
SELECT T1.Document_Subset_Name FROM Document_Subsets AS T1 WHERE T1.Document_Subset_ID BETWEEN 100 AND 200 AND T1.Document_Subset_Name IN (SELECT T2.Document_Subset_Name FROM Document_Subsets AS T2 WHERE T2.Document_Subset_Name = 'Subset_Name') ORDER BY T1.Document_Subset_ID ASC,extra
"SELECT Document_Subset_ID, Document_Subset_Name, Document_Subset_Details FROM Document_Subsets WHERE Document_Subset_Name != 'test' AND Document_Subset_Name != 'dev' AND Document_Subset_Name != 'prod'",medium
"SELECT T1.Document_Subset_Name, COUNT(T2.Document_Object_ID) FROM Document_Subsets AS T1 JOIN Document_Subset_Members AS T2 ON T1.Document_Subset_ID = T2.Document_Subset_ID WHERE T1.Document_Subset_ID > 10 GROUP BY T1.Document_Subset_Name ORDER BY COUNT(T2.Document_Object_ID) ASC",extra
"SELECT COUNT(T1.Document_Subset_ID), T2.Document_Subset_Name FROM Document_Subset_Members AS T1 JOIN Document_Subsets AS T2 ON T1.Document_Subset_ID = T2.Document_Subset_ID WHERE T2.Document_Subset_Name <= 'abc'",medium
"SELECT T.Document_Subset_Name, AVG(T.Document_Subset_ID), COUNT(DISTINCT T.Document_Subset_Details), COUNT(DISTINCT T.Document_Subset_Name) FROM Document_Subsets AS T GROUP BY T.Document_Subset_Name HAVING AVG(T.Document_Subset_ID) > 0 ORDER BY T.Document_Subset_Name DESC LIMIT 10",hard
SELECT COUNT(DISTINCT Document_Subset_Name) FROM Document_Subsets WHERE Document_Subset_ID BETWEEN 10 AND 50 AND Document_Subset_ID > 20,medium
"SELECT T1.Document_Subset_Name, T2.Document_Object_ID, T3.Collection_Subset_Name FROM Document_Subsets AS T1 JOIN Document_Subset_Members AS T2 ON T1.Document_Subset_ID = T2.Document_Subset_ID JOIN Collection_Subsets AS T3 ON T2.Document_Subset_ID = T3.Collection_Subset_ID WHERE T1.Document_Subset_ID > 10 AND T2.Document_Object_ID BETWEEN 20 AND 30 AND T3.Collection_Subset_Name = 'subset_name'",hard
SELECT Document_Subset_Name FROM Document_Subsets WHERE Document_Subset_ID NOT IN (SELECT Document_Subset_ID FROM Document_Subset_Members),hard
"SELECT Document_Subset_Name, Document_Subset_Details FROM Document_Subsets WHERE Document_Subset_ID > 1 LIMIT 5",medium
"SELECT T1.Document_Subset_Name, MAX(T2.Description) FROM Document_Subsets AS T1 JOIN Document_Objects AS T2 ON T1.Document_Subset_ID = T2.Document_Object_ID WHERE T2.Parent_Document_Object_ID <= 100 GROUP BY T1.Document_Subset_Name",hard
"SELECT SUM(T1.Document_Subset_ID), COUNT(T2.Collection_Subset_ID) FROM Document_Subsets AS T1 JOIN Collection_Subset_Members AS T2 ON T1.Document_Subset_ID = T2.Collection_Subset_ID JOIN Collection_Subsets AS T3 ON T2.Collection_Subset_ID = T3.Collection_Subset_ID WHERE T1.Document_Subset_Name != T3.Collection_Subset_Name",hard
"SELECT AVG(D.Parent_Document_Object_ID), D.Document_Object_ID FROM Document_Objects D JOIN Documents_in_Collections C ON D.Document_Object_ID = C.Document_Object_ID WHERE (D.Parent_Document_Object_ID = 100 OR D.Parent_Document_Object_ID BETWEEN 1 AND 100) AND NOT EXISTS (SELECT 1 FROM Collection_Subsets WHERE Collection_Subset_ID = C.Collection_ID) ORDER BY D.Parent_Document_Object_ID DESC",extra
"SELECT COUNT(DISTINCT T2.Document_Subset_Name) , SUM(T1.Document_Subset_ID) FROM Document_Subset_Members AS T1 JOIN Document_Subsets AS T2 ON T1.Document_Subset_ID = T2.Document_Subset_ID WHERE T1.Document_Object_ID > 100",extra
SELECT T1.Document_Subset_Name FROM Document_Subsets AS T1 INNER JOIN Document_Subset_Members AS T2 ON T1.Document_Subset_ID = T2.Document_Subset_ID WHERE T1.Document_Subset_ID != 1 ORDER BY T1.Document_Subset_ID DESC,hard
SELECT * FROM Document_Subsets WHERE EXISTS (SELECT 1 FROM Document_Subset_Members WHERE Document_Subset_ID = Document_Subsets.Document_Subset_ID AND COUNT(DISTINCT Document_Object_ID) > 1 AND COUNT(DISTINCT Related_Document_Object_ID) > 1 LIMIT 10),hard
"SELECT COUNT(DISTINCT Document_Subset_ID) , COUNT(DISTINCT Document_Subset_Name) FROM Document_Subsets HAVING COUNT(DISTINCT Document_Subset_ID) > 1",medium
SELECT AVG(Document_Subset_ID) FROM Document_Subset_Members AS T1 JOIN Documents_in_Collections AS T2 ON T1.Document_Object_ID = T2.Document_Object_ID GROUP BY T2.Collection_ID,medium
SELECT T1.Document_Subset_Name FROM Document_Subsets AS T1 WHERE T1.Document_Subset_ID = 100 AND EXISTS ( SELECT 1 FROM Document_Subset_Members AS T2 WHERE T2.Document_Subset_ID = T1.Document_Subset_ID ) ORDER BY T1.Document_Subset_Name ASC,extra
"SELECT T1.Document_Subset_Name, SUM(T2.Document_Object_ID) FROM Document_Subsets AS T1 JOIN Document_Subset_Members AS T2 ON T1.Document_Subset_ID = T2.Document_Subset_ID JOIN Document_Objects AS T3 ON T3.Document_Object_ID = T2.Document_Object_ID WHERE T3.Document_Object_ID BETWEEN 100 AND 200",hard
SELECT COUNT(DISTINCT T2.Document_Object_ID) FROM Document_Subsets AS T1 JOIN Document_Subset_Members AS T2 ON T1.Document_Subset_ID = T2.Document_Subset_ID WHERE T2.Document_Object_ID <= 10,medium
SELECT Document_Subset_ID FROM Document_Subsets WHERE Document_Subset_ID > 10 ORDER BY Document_Subset_ID ASC,medium
