sql,hardness
SELECT DISTINCT T1.Official_Name FROM city AS T1 WHERE NOT EXISTS (SELECT 1 FROM farm_competition AS T2 WHERE T2.Host_city_ID = T1.City_ID AND T2.Hosts = 'official') ORDER BY T1.City_ID DESC,extra
SELECT MAX(Total_Horses) FROM farm WHERE Year <= 2010 ORDER BY Total_Horses ASC LIMIT 5,hard
SELECT COUNT(DISTINCT T1.Farm_ID) FROM competition_record AS T1 JOIN competition_record AS T2 ON T1.Competition_ID = T2.Competition_ID WHERE T1.Rank > 10 OR T2.Rank = 5 AND T1.Farm_ID BETWEEN 100 AND 200 LIMIT 100,extra
"SELECT T1.City_ID, COUNT(T2.Competition_ID) FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID WHERE T2.Year IN (SELECT Year FROM farm_competition WHERE Theme = 'Farm Competition') GROUP BY T1.City_ID ORDER BY T1.City_ID ASC",extra
"SELECT T1.City_ID, COUNT(T2.Competition_ID) FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID WHERE T1.Population > 100000 AND T2.Year BETWEEN 2010 AND 2020 AND T1.Census_Ranking = 'Capital' LIMIT 10",hard
"SELECT T1.City_ID, MIN(T1.Population) FROM city AS T1 JOIN city AS T2 ON T1.City_ID = T2.City_ID WHERE T1.Population BETWEEN 10000 AND 100000 GROUP BY T1.City_ID ORDER BY T1.City_ID ASC LIMIT 10",extra
SELECT Official_Name FROM city WHERE Area_km_2 > 100 AND EXISTS (SELECT * FROM farm_competition WHERE Host_city_ID = city.City_ID AND Theme = 'Agriculture') LIMIT 5,extra
SELECT Farm_ID FROM farm WHERE Total_Horses > 100 AND Working_Horses > 50,medium
"SELECT T1.Official_Name, T2.Theme, T3.Rank FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID JOIN competition_record AS T3 ON T2.Competition_ID = T3.Competition_ID",medium
SELECT COUNT(DISTINCT T1.Farm_ID) FROM competition_record AS T1 JOIN competition_record AS T2 ON T1.Farm_ID = T2.Farm_ID WHERE T1.Rank > 1 AND T2.Rank BETWEEN 2 AND 5 AND T1.Competition_ID = 10 ORDER BY COUNT(DISTINCT T1.Farm_ID) DESC,hard
"SELECT Host_city_ID, AVG(Rank) FROM farm_competition JOIN competition_record ON farm_competition.Competition_ID = competition_record.Competition_ID GROUP BY Host_city_ID HAVING AVG(Rank) = 1",medium
SELECT T1.City_ID FROM city AS T1 JOIN city AS T2 ON T1.City_ID = T2.City_ID WHERE T1.Population > (SELECT AVG(Population) FROM city),extra
"SELECT COUNT(DISTINCT T1.Farm_ID), COUNT(T2.Competition_ID) FROM farm AS T1 JOIN competition_record AS T2 ON T1.Farm_ID = T2.Farm_ID WHERE T2.Rank = 1 OR T1.Total_Horses > 10 OR EXISTS (SELECT 1 FROM competition_record AS T3 WHERE T3.Farm_ID = T1.Farm_ID AND T3.Competition_ID IN (SELECT Competition_ID FROM competition_record WHERE Rank = 1))",extra
SELECT AVG(Population) FROM city WHERE City_ID IN ( SELECT Host_city_ID FROM farm_competition WHERE Theme = 'Farm Competition' ) LIMIT 10,extra
SELECT * FROM farm_competition WHERE Year BETWEEN 2018 AND 2020 LIMIT 10,medium
SELECT Farm_ID FROM farm WHERE Oxen != 1 LIMIT 10,medium
SELECT COUNT(DISTINCT T2.City_ID) FROM farm_competition AS T1 JOIN city AS T2 ON T1.Host_city_ID = T2.City_ID,easy
"SELECT Official_Name, AVG(Population) FROM city WHERE Status = 'City' AND Population BETWEEN 100000 AND 200000 GROUP BY Official_Name HAVING AVG(Population) > 150000",extra
"SELECT COUNT(DISTINCT farm_competition.Host_city_ID), farm_competition.Theme FROM farm_competition WHERE farm_competition.Year = 2010",medium
SELECT T1.City_ID FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID WHERE T1.Population > 500000 OR T2.Year = 2010 OR NOT EXISTS (SELECT 1 FROM competition_record AS T3 WHERE T2.Competition_ID = T3.Competition_ID) ORDER BY T1.City_ID DESC LIMIT 10,extra
