sql,hardness
SELECT SUM(T1.cmi_details) FROM Customer_Master_Index AS T1 WHERE T1.master_customer_id > 1000 GROUP BY T1.master_customer_id LIMIT 10,hard
"SELECT COUNT(DISTINCT T2.master_customer_id) AS count_distinct_master_customer_id, SUM(T1.council_tax_id) AS sum_council_tax_id FROM Council_Tax AS T1 JOIN CMI_Cross_References AS T2 ON T1.cmi_cross_ref_id = T2.cmi_cross_ref_id WHERE T1.council_tax_id != 0 GROUP BY T2.master_customer_id ORDER BY T2.master_customer_id DESC",extra
SELECT T1.master_customer_id FROM Customer_Master_Index AS T1 JOIN CMI_Cross_References AS T2 ON T1.master_customer_id = T2.master_customer_id JOIN Council_Tax AS T3 ON T2.cmi_cross_ref_id = T3.cmi_cross_ref_id WHERE NOT EXISTS (SELECT T4.council_tax_id FROM Benefits_Overpayments AS T4 JOIN CMI_Cross_References AS T5 ON T4.cmi_cross_ref_id = T5.cmi_cross_ref_id WHERE T5.master_customer_id = T1.master_customer_id) ORDER BY T1.master_customer_id DESC,extra
"SELECT COUNT(DISTINCT T1.master_customer_id), AVG(T2.council_tax_id) FROM Customer_Master_Index AS T1 JOIN Council_Tax AS T2 ON T1.master_customer_id = T2.cmi_cross_ref_id WHERE T1.master_customer_id BETWEEN 10000 AND 20000 GROUP BY T1.master_customer_id ORDER BY COUNT(DISTINCT T1.master_customer_id) ASC LIMIT 5",extra
SELECT source_system_code FROM CMI_Cross_References WHERE master_customer_id <= 100,easy
SELECT T1.master_customer_id FROM Customer_Master_Index AS T1 WHERE T1.master_customer_id IN (SELECT T2.master_customer_id FROM CMI_Cross_References AS T2 WHERE T2.source_system_code = 'A' OR T2.master_customer_id = 1 OR T2.source_system_code = 'B') ORDER BY T1.master_customer_id ASC LIMIT 10,extra
"SELECT COUNT(T1.master_customer_id), T2.cmi_details FROM CMI_Cross_References AS T1 JOIN Customer_Master_Index AS T2 ON T1.master_customer_id = T2.master_customer_id WHERE T2.cmi_details >= 'some_text'",medium
SELECT COUNT(T1.master_customer_id) FROM Customer_Master_Index AS T1 JOIN CMI_Cross_References AS T2 ON T1.master_customer_id = T2.master_customer_id JOIN Council_Tax AS T3 ON T2.cmi_cross_ref_id = T3.cmi_cross_ref_id JOIN Benefits_Overpayments AS T4 ON T2.cmi_cross_ref_id = T4.cmi_cross_ref_id JOIN Rent_Arrears AS T5 ON T2.cmi_cross_ref_id = T5.cmi_cross_ref_id WHERE T2.source_system_code = 'ABC' AND T3.council_tax_id BETWEEN 1000 AND 2000 AND T4.council_tax_id > 500,extra
"SELECT T2.master_customer_id, T3.cmi_cross_ref_id FROM Customer_Master_Index AS T1 JOIN CMI_Cross_References AS T2 ON T1.master_customer_id = T2.master_customer_id JOIN Council_Tax AS T3 ON T2.cmi_cross_ref_id = T3.cmi_cross_ref_id WHERE T1.cmi_details BETWEEN 'abc' AND 'def' OR T3.council_tax_id IN (SELECT council_tax_id FROM Benefits_Overpayments)",extra
SELECT cmi_details FROM Customer_Master_Index WHERE master_customer_id >= 1000 ORDER BY master_customer_id ASC,medium
SELECT T1.cmi_details FROM Customer_Master_Index AS T1 JOIN CMI_Cross_References AS T2 ON T1.master_customer_id = T2.master_customer_id JOIN Council_Tax AS T3 ON T2.cmi_cross_ref_id = T3.cmi_cross_ref_id WHERE T2.master_customer_id NOT IN (SELECT master_customer_id FROM CMI_Cross_References) LIMIT 10,extra
SELECT T2.source_system_code FROM Customer_Master_Index AS T1 JOIN CMI_Cross_References AS T2 ON T1.master_customer_id = T2.master_customer_id WHERE NOT EXISTS (SELECT 1 FROM Council_Tax AS T3 WHERE T3.cmi_cross_ref_id = T2.cmi_cross_ref_id) ORDER BY T2.source_system_code DESC,extra
SELECT T1.cmi_details FROM Customer_Master_Index AS T1 JOIN CMI_Cross_References AS T2 ON T1.master_customer_id = T2.master_customer_id WHERE T1.master_customer_id = 100 OR T2.cmi_cross_ref_id BETWEEN 100 AND 200 OR T2.source_system_code > 'A',extra
SELECT COUNT(cmi_details) FROM Customer_Master_Index WHERE master_customer_id IN (SELECT master_customer_id FROM CMI_Cross_References WHERE cmi_cross_ref_id = 123),hard
"SELECT MIN(T1.master_customer_id), T1.cmi_details FROM Customer_Master_Index AS T1 WHERE NOT EXISTS ( SELECT T2.master_customer_id FROM CMI_Cross_References AS T2 WHERE T2.master_customer_id = T1.master_customer_id AND T2.source_system_code = 'system_code' ) LIMIT 10",extra
