sql,hardness
"SELECT T1.Airline, COUNT(DISTINCT T2.FlightNo) FROM airlines AS T1 JOIN flights AS T2 ON T1.uid = T2.Airline ORDER BY T1.Airline ASC",medium
SELECT T1.Airline FROM airlines AS T1 JOIN flights AS T2 ON T1.uid = T2.Airline JOIN airports AS T3 ON T3.AirportCode = T2.DestAirport WHERE NOT EXISTS (SELECT 1 FROM airports AS T4 WHERE T4.AirportCode = T3.AirportCode AND T4.Country = T1.Country),extra
"SELECT T1.Airline, T2.AirportName FROM flights AS T1 JOIN airports AS T2 ON T1.DestAirport = T2.AirportCode WHERE T1.FlightNo <= 100 ORDER BY T1.Airline DESC LIMIT 10",extra
SELECT AVG(Airline) FROM airlines WHERE uid < 100 LIMIT 5,medium
SELECT FlightNo FROM flights WHERE SourceAirport = 'JFK' OR DestAirport = 'LAX' OR FlightNo BETWEEN 1 AND 100 LIMIT 10,extra
"SELECT Airline, AVG(FlightNo) FROM flights GROUP BY Airline",medium
SELECT Airline FROM airlines WHERE Country = 'USA' OR Abbreviation LIKE 'A%' OR uid IN (SELECT Airline FROM flights WHERE SourceAirport = 'JFK'),extra
SELECT COUNT(DestAirport) FROM flights WHERE Airline = 101,easy
SELECT AirportName FROM airports AS T1 WHERE City BETWEEN 'New York' AND 'Los Angeles' ORDER BY AirportName ASC LIMIT 10,hard
SELECT T1.Airline FROM airlines AS T1 JOIN flights AS T2 ON T1.uid = T2.Airline WHERE T1.Country = 'USA' AND T2.DestAirport = 'JFK',medium
"SELECT T1.AirportCode, T1.AirportName FROM airports AS T1 JOIN flights AS T2 ON T1.AirportCode = T2.DestAirport ORDER BY T1.AirportCode ASC",medium
"SELECT T1.Airline, T2.AirportName FROM airlines AS T1 JOIN flights AS T3 ON T1.uid = T3.Airline JOIN airports AS T2 ON T3.SourceAirport = T2.AirportCode WHERE T1.uid >= 2 ORDER BY T1.Airline DESC",extra
"SELECT SourceAirport, SUM(DestAirport) FROM flights WHERE FlightNo < 100 GROUP BY SourceAirport HAVING SUM(DestAirport) > 500 ORDER BY SUM(DestAirport) DESC",hard
SELECT AirportName FROM airports WHERE CountryAbbrev BETWEEN 'A' AND 'M',easy
"SELECT T1.Airline, T2.Airline FROM flights AS T1 JOIN flights AS T2 ON T1.FlightNo = T2.FlightNo WHERE T1.FlightNo < 100",medium
"SELECT T1.Country, COUNT(T1.uid) FROM airlines AS T1 JOIN flights AS T2 ON T1.uid = T2.Airline WHERE T1.Airline != 'Delta' GROUP BY T1.Country ORDER BY COUNT(T1.uid) DESC",extra
"SELECT COUNT(DISTINCT T1.SourceAirport), MIN(T1.FlightNo) FROM flights AS T1 WHERE T1.Airline = 101 OR T1.FlightNo BETWEEN 100 AND 200 OR EXISTS (SELECT 1 FROM airports AS T2 WHERE T2.AirportCode = T1.DestAirport) GROUP BY T1.DestAirport",extra
"SELECT T1.AirportName, COUNT(T2.DestAirport) FROM airports AS T1 JOIN flights AS T2 ON T1.AirportCode = T2.DestAirport WHERE T1.Country = 'USA' OR T2.SourceAirport IN (SELECT AirportCode FROM airports WHERE Country = 'Canada') GROUP BY T1.AirportName HAVING COUNT(T2.DestAirport) > 10 LIMIT 5",extra
"SELECT T1.AirportName, COUNT(DISTINCT T2.DestAirport) FROM airports AS T1 JOIN flights AS T2 ON T1.AirportCode = T2.DestAirport JOIN airlines AS T3 ON T3.uid = T2.Airline WHERE T3.uid < 100 ORDER BY T1.AirportName ASC LIMIT 10",extra
SELECT COUNT(DISTINCT Airline) FROM airlines AS T1 ORDER BY COUNT(DISTINCT Airline) DESC,easy
SELECT * FROM airlines AS T1 WHERE T1.Airline != 'American Airlines' LIMIT 10,medium
"SELECT * FROM flights AS T1, airports AS T2 WHERE T1.DestAirport = T2.AirportCode AND T2.CountryAbbrev > 'A' LIMIT 10",hard
SELECT COUNT(DISTINCT Airline) FROM flights WHERE DestAirport IN (SELECT AirportCode FROM airports),hard
"SELECT COUNT(DISTINCT T1.Abbreviation), COUNT(DISTINCT T1.Country), COUNT(T2.FlightNo) FROM airlines AS T1 JOIN flights AS T2 ON T1.uid = T2.Airline WHERE T2.DestAirport > 'ABC' ORDER BY T2.FlightNo ASC LIMIT 10",extra
