sql,hardness
"SELECT AVG(j.heat), j.name, j.name, j.nation FROM cyclist AS j WHERE  j.result != 30 OR result != (SELECT MAX(result) FROM cyclist AS w WHERE w.result BETWEEN 1 AND 10 AND  w.heat <= 20 LIMIT 10) GROUP BY j.nation HAVING MAX(j.heat) < 52 ORDER BY j.name ASC",extra
"SELECT COUNT(DISTINCT nation), COUNT(DISTINCT name), bike.id FROM bike JOIN cyclist JOIN cyclists_own_bikes ON cyclists_own_bikes.bike_id = bike.id AND cyclist.id = cyclists_own_bikes.cyclist_id WHERE price BETWEEN 1 AND 10 AND name NOT IN (SELECT name FROM cyclist AS t) LIMIT 5",extra
"SELECT heat, price FROM bike JOIN cyclist JOIN cyclists_own_bikes ON cyclists_own_bikes.bike_id = bike.id AND cyclist.id = cyclists_own_bikes.cyclist_id WHERE  result > 53 GROUP BY price ORDER BY heat ASC LIMIT 6",extra
SELECT a.result FROM cyclist AS a JOIN cyclist ON cyclist.id = a.id WHERE  a.result = 8 ORDER BY a.result DESC,hard
SELECT nation FROM cyclist WHERE result BETWEEN 1 AND 10 LIMIT 4,medium
"SELECT id, weight FROM bike JOIN cyclists_own_bikes ON cyclists_own_bikes.bike_id = bike.id WHERE  id <= 84 ORDER BY weight DESC LIMIT 8",extra
"SELECT COUNT(DISTINCT id), price, weight FROM bike WHERE weight BETWEEN 1 AND 10 OR  weight != 58",extra
"SELECT MAX(bike_id), product_name FROM bike JOIN cyclist JOIN cyclists_own_bikes ON cyclists_own_bikes.bike_id = bike.id AND cyclist.id = cyclists_own_bikes.cyclist_id",medium
SELECT name FROM bike JOIN cyclist JOIN cyclists_own_bikes ON cyclists_own_bikes.bike_id = bike.id AND cyclist.id = cyclists_own_bikes.cyclist_id WHERE  cyclist.id >= 99 LIMIT 1,extra
SELECT cyclist.name FROM cyclist AS i JOIN cyclist ON cyclist.id = i.id WHERE  i.id >= 38,medium
SELECT j.material FROM bike AS j WHERE  j.price > 46,easy
"SELECT nation, nation, result FROM cyclist JOIN cyclists_own_bikes ON cyclist.id = cyclists_own_bikes.cyclist_id WHERE  heat < 64 GROUP BY result ORDER BY nation ASC",extra
"SELECT MIN(w.purchase_year), COUNT(DISTINCT w.bike_id), w.cyclist_id, w.purchase_year FROM cyclists_own_bikes AS w WHERE  w.purchase_year != 39 GROUP BY w.purchase_year ORDER BY w.purchase_year ASC",hard
"SELECT r.heat, r.name FROM cyclist AS r WHERE  r.id < 34 AND heat NOT IN (SELECT heat FROM cyclist AS n WHERE  n.id >= 78) GROUP BY r.name ORDER BY r.heat ASC",extra
"SELECT MAX(weight), weight, material FROM bike WHERE  id > 28 GROUP BY material ORDER BY weight ASC",hard
SELECT COUNT(DISTINCT b.bike_id) FROM cyclists_own_bikes AS b,easy
"SELECT MIN(i.id), i.name FROM cyclist AS i WHERE  i.heat <= 49 GROUP BY i.name",medium
"SELECT AVG(id), COUNT(DISTINCT product_name), material FROM bike WHERE price BETWEEN 1 AND 10 OR EXISTS (SELECT * FROM cyclists_own_bikes WHERE bike.id = bike_id) ORDER BY material ASC",extra
"SELECT nation, heat FROM cyclist WHERE  heat = 75 GROUP BY heat",medium
"SELECT b.material, bike.material FROM bike JOIN bike AS b ON bike.id = b.id WHERE  bike.price <= 68 GROUP BY bike.material",hard
SELECT name FROM cyclist JOIN cyclists_own_bikes ON cyclist.id = cyclists_own_bikes.cyclist_id WHERE  id != 3,medium
"SELECT SUM(cyclists_own_bikes.bike_id), COUNT(DISTINCT l.purchase_year), cyclists_own_bikes.bike_id FROM cyclists_own_bikes AS l JOIN cyclists_own_bikes ON cyclists_own_bikes.cyclist_id = l.cyclist_id WHERE cyclists_own_bikes.cyclist_id BETWEEN 1 AND 10 AND  cyclists_own_bikes.cyclist_id = 68 GROUP BY cyclists_own_bikes.bike_id HAVING AVG(l.purchase_year) <= 73",extra
"SELECT name, result FROM cyclist JOIN cyclists_own_bikes ON cyclist.id = cyclists_own_bikes.cyclist_id WHERE  result != 39 GROUP BY result HAVING COUNT(cyclist_id) < 65 LIMIT 2",extra
"SELECT bike.id, nation FROM bike JOIN cyclist JOIN cyclists_own_bikes ON cyclists_own_bikes.bike_id = bike.id AND cyclist.id = cyclists_own_bikes.cyclist_id WHERE purchase_year BETWEEN 1 AND 10 AND  price >= 12",hard
"SELECT MIN(bike.id), MAX(weight), price FROM bike JOIN cyclist JOIN cyclists_own_bikes ON cyclists_own_bikes.bike_id = bike.id AND cyclist.id = cyclists_own_bikes.cyclist_id WHERE weight BETWEEN 1 AND 10 AND  weight < 20 LIMIT 1",extra
"SELECT COUNT(DISTINCT product_name), material FROM bike WHERE weight BETWEEN 1 AND 10 OR  price != 92 GROUP BY material",hard
"SELECT nation, bike_id FROM cyclist JOIN cyclists_own_bikes ON cyclist.id = cyclists_own_bikes.cyclist_id WHERE  id >= 83 GROUP BY bike_id HAVING AVG(bike_id) >= 57 ORDER BY nation DESC",extra
