sql,hardness
"SELECT COUNT(DISTINCT PlaylistTrack.PlaylistId), TrackId FROM PlaylistTrack JOIN Playlist ON PlaylistTrack.PlaylistId = Playlist.PlaylistId WHERE  TrackId >= 64 GROUP BY TrackId",hard
"SELECT UnitPrice, TrackId FROM Track JOIN MediaType ON Track.MediaTypeId = MediaType.MediaTypeId WHERE GenreId < (SELECT MAX(GenreId) FROM Genre WHERE GenreId BETWEEN 1 AND 10 LIMIT 4) ORDER BY UnitPrice DESC LIMIT 9",extra
"SELECT COUNT(DISTINCT Title), AlbumId, Title FROM Album JOIN Artist ON Album.ArtistId = Artist.ArtistId WHERE EXISTS (SELECT * FROM Track WHERE Milliseconds BETWEEN 1 AND 10 AND Album.AlbumId = AlbumId) GROUP BY Title HAVING SUM(AlbumId) = 33",extra
"SELECT ArtistId, Genre.GenreId, UnitPrice FROM Genre JOIN Track JOIN MediaType JOIN Album ON Track.MediaTypeId = MediaType.MediaTypeId AND Track.AlbumId = Album.AlbumId AND Genre.GenreId = Track.GenreId WHERE  Milliseconds >= 9 GROUP BY UnitPrice ORDER BY ArtistId ASC LIMIT 5",extra
"SELECT COUNT(Artist.ArtistId), Track.Name FROM Genre JOIN Track JOIN Artist JOIN Album ON Track.AlbumId = Album.AlbumId AND Album.ArtistId = Artist.ArtistId AND Genre.GenreId = Track.GenreId ORDER BY Track.Name ASC",extra
"SELECT COUNT(DISTINCT Phone), CustomerId FROM Customer LIMIT 3",medium
"SELECT COUNT(DISTINCT InvoiceId), InvoiceId, Total FROM Invoice WHERE  Total != 27 GROUP BY Total",medium
"SELECT MAX(f.GenreId), COUNT(DISTINCT f.GenreId), f.Name FROM Genre AS f WHERE f.GenreId BETWEEN 1 AND 10 AND Name NOT IN (SELECT Name FROM Playlist WHERE PlaylistId BETWEEN 1 AND 10 AND  PlaylistId > 5 LIMIT 4) GROUP BY f.Name HAVING MIN(f.GenreId) < 56",extra
"SELECT COUNT(DISTINCT Genre.Name), Genre.Name FROM Track JOIN MediaType JOIN Genre ON Track.MediaTypeId = MediaType.MediaTypeId AND Genre.GenreId = Track.GenreId WHERE  Track.MediaTypeId = 92 AND Composer NOT IN (SELECT Composer FROM Track AS k) GROUP BY Genre.Name",extra
SELECT j.AlbumId FROM Album AS j WHERE j.ArtistId BETWEEN 1 AND 10 AND  j.AlbumId >= 51,medium
"SELECT MAX(Total), COUNT(DISTINCT BillingPostalCode), BillingPostalCode FROM Invoice WHERE  InvoiceId < 7 OR EXISTS (SELECT * FROM InvoiceLine WHERE TrackId BETWEEN 1 AND 10 AND  InvoiceLineId != 2 AND Invoice.InvoiceId = InvoiceId) GROUP BY BillingPostalCode HAVING AVG(Total) = 47",extra
SELECT Name FROM Album JOIN Artist ON Album.ArtistId = Artist.ArtistId WHERE ArtistId IN (SELECT ArtistId FROM Artist) GROUP BY Name LIMIT 1,extra
SELECT Track.Name FROM Track JOIN Genre ON Genre.GenreId = Track.GenreId WHERE  Genre.GenreId > 91 AND EXISTS (SELECT * FROM Track AS o WHERE  o.GenreId = 36 AND Genre.GenreId = o.GenreId) GROUP BY Track.Name HAVING COUNT(Track.GenreId) = 84 ORDER BY Track.Name ASC,extra
SELECT a.Phone FROM Employee AS a WHERE  a.ReportsTo = 1 GROUP BY a.Phone HAVING SUM(a.ReportsTo) <= 9 ORDER BY a.Phone ASC,hard
"SELECT SupportRepId, LastName FROM Invoice JOIN Customer ON Customer.CustomerId = Invoice.CustomerId WHERE Total BETWEEN 1 AND 10 OR InvoiceDate IN (SELECT InvoiceDate FROM Invoice AS w WHERE w.InvoiceId BETWEEN 1 AND 10 AND  w.CustomerId = 1) ORDER BY SupportRepId ASC",extra
SELECT Playlist.PlaylistId FROM Playlist JOIN Playlist AS h ON Playlist.PlaylistId = h.PlaylistId WHERE Name <= (SELECT AVG(Name) FROM Genre) ORDER BY Playlist.PlaylistId DESC,extra
"SELECT CustomerId, InvoiceId, BillingPostalCode FROM Invoice WHERE  Total = 83 GROUP BY BillingPostalCode ORDER BY BillingPostalCode ASC LIMIT 10",extra
SELECT d.Name FROM Artist AS d WHERE  d.ArtistId < 1 GROUP BY d.Name HAVING MIN(d.ArtistId) < 43,medium
"SELECT COUNT(DISTINCT Composer), Composer FROM PlaylistTrack JOIN Track JOIN MediaType JOIN Album ON Track.TrackId = PlaylistTrack.TrackId AND Track.MediaTypeId = MediaType.MediaTypeId AND Track.AlbumId = Album.AlbumId WHERE  Bytes != 99 LIMIT 1",extra
"SELECT MIN(SupportRepId), SupportRepId FROM Customer WHERE  SupportRepId <= 15",medium
"SELECT CustomerId, Company FROM Customer WHERE  CustomerId != 32 GROUP BY Company ORDER BY CustomerId DESC",hard
"SELECT MAX(w.TrackId), w.InvoiceId, w.InvoiceId FROM InvoiceLine AS w WHERE w.UnitPrice BETWEEN 1 AND 10 AND  w.UnitPrice < 99 GROUP BY w.InvoiceId ORDER BY w.InvoiceId ASC",hard
"SELECT v.TrackId, v.Name FROM Track AS v WHERE v.MediaTypeId BETWEEN 1 AND 10 AND GenreId < (SELECT MAX(GenreId) FROM Genre AS g WHERE  g.GenreId < 8)",extra
SELECT Composer FROM Track JOIN MediaType ON Track.MediaTypeId = MediaType.MediaTypeId WHERE UnitPrice BETWEEN 1 AND 10 AND  MediaType.MediaTypeId = 34 ORDER BY Composer ASC LIMIT 10,extra
"SELECT COUNT(DISTINCT s.Quantity), s.TrackId FROM InvoiceLine AS s WHERE  s.InvoiceId > 47 ORDER BY s.TrackId ASC",medium
"SELECT Track.Name, MediaTypeId FROM Track JOIN Artist JOIN Album ON Track.AlbumId = Album.AlbumId AND Album.ArtistId = Artist.ArtistId WHERE  Track.AlbumId = 73 OR UnitPrice NOT IN (SELECT UnitPrice FROM Track AS b) GROUP BY MediaTypeId ORDER BY Track.Name DESC",extra
"SELECT COUNT(DISTINCT u.PlaylistId), COUNT(DISTINCT Playlist.Name), Playlist.Name, u.Name FROM Playlist AS u JOIN Playlist ON Playlist.PlaylistId = u.PlaylistId WHERE  Playlist.PlaylistId < 34 OR PlaylistId IN (SELECT PlaylistId FROM PlaylistTrack AS l WHERE  l.TrackId >= 93) GROUP BY u.Name HAVING SUM(Playlist.PlaylistId) <= 53 ORDER BY Playlist.Name ASC",extra
SELECT Name FROM Artist WHERE  ArtistId < 31 AND EXISTS (SELECT * FROM Album WHERE  AlbumId != 15 AND Artist.ArtistId = ArtistId LIMIT 6) ORDER BY Name ASC,extra
"SELECT Name, Name FROM Track WHERE Milliseconds BETWEEN 1 AND 10 AND Name IN (SELECT Name FROM Playlist WHERE  PlaylistId != 22)",extra
"SELECT SUM(MediaType.MediaTypeId), Track.Name, GenreId FROM Track JOIN MediaType ON Track.MediaTypeId = MediaType.MediaTypeId WHERE  Bytes > 70 AND TrackId IN (SELECT TrackId FROM InvoiceLine AS g) GROUP BY GenreId HAVING SUM(MediaType.MediaTypeId) > 53 ORDER BY Track.Name DESC",extra
SELECT COUNT(DISTINCT Track.Name) FROM Track JOIN MediaType ON Track.MediaTypeId = MediaType.MediaTypeId,easy
"SELECT SUM(TrackId), COUNT(DISTINCT PlaylistTrack.PlaylistId), TrackId FROM PlaylistTrack JOIN Playlist ON PlaylistTrack.PlaylistId = Playlist.PlaylistId WHERE PlaylistId IN (SELECT PlaylistId FROM PlaylistTrack WHERE  PlaylistId <= 44) GROUP BY TrackId ORDER BY TrackId ASC LIMIT 4",extra
"SELECT r.Title, r.Title FROM Album AS r WHERE  r.AlbumId != 76 LIMIT 3",medium
