sql,hardness
"SELECT SUM(Photo_ID), Tourist_Attraction_ID FROM Photos WHERE  Photo_ID >= 45 GROUP BY Tourist_Attraction_ID HAVING SUM(Photo_ID) = 81 ORDER BY Tourist_Attraction_ID ASC",hard
"SELECT COUNT(DISTINCT d.Location_Name), d.Location_ID, d.Address FROM Locations AS d WHERE d.Location_ID BETWEEN 1 AND 10 GROUP BY d.Address ORDER BY d.Location_ID ASC",hard
"SELECT COUNT(DISTINCT Attraction_Type_Code), COUNT(DISTINCT Other_Details), How_to_Get_There, Name FROM Tourist_Attraction_Features JOIN Tourist_Attractions ON Tourist_Attractions.Tourist_Attraction_ID = Tourist_Attraction_Features.Tourist_Attraction_ID WHERE  Feature_ID != 60 GROUP BY Name HAVING MAX(Tourist_Attraction_Features.Tourist_Attraction_ID) > 86 ORDER BY Name DESC",extra
"SELECT MAX(Staff.Tourist_Attraction_ID), g.Other_Details, Staff.Other_Details FROM Staff JOIN Staff AS g ON Staff.Staff_ID = g.Staff_ID WHERE  g.Staff_ID = 56 GROUP BY Staff.Other_Details HAVING MAX(Staff.Tourist_Attraction_ID) > 97 LIMIT 9",extra
"SELECT COUNT(DISTINCT h.Photo_ID), h.Photo_ID FROM Photos AS h WHERE  h.Tourist_Attraction_ID > 49 ORDER BY h.Photo_ID DESC LIMIT 10",hard
SELECT COUNT(DISTINCT o.Feature_Details) FROM Features AS o LIMIT 5,easy
"SELECT Royal_Family_ID, Royal_Family_ID FROM Royal_Family WHERE  Royal_Family_ID > 13",medium
"SELECT o.Feature_ID, o.Feature_ID FROM Features AS o WHERE Feature_Details > (SELECT AVG(Feature_Details) FROM Features WHERE Feature_ID BETWEEN 1 AND 10 AND  Feature_ID >= 70 LIMIT 7)",extra
SELECT COUNT(DISTINCT f.Feature_ID) FROM Features AS f WHERE  f.Feature_ID <= 23 LIMIT 2,medium
"SELECT Locations.Location_ID, Tourist_Attractions.Tourist_Attraction_ID FROM Locations JOIN Tourist_Attraction_Features JOIN Ref_Attraction_Types JOIN Tourist_Attractions ON Tourist_Attractions.Attraction_Type_Code = Ref_Attraction_Types.Attraction_Type_Code AND Tourist_Attractions.Tourist_Attraction_ID = Tourist_Attraction_Features.Tourist_Attraction_ID AND Locations.Location_ID = Tourist_Attractions.Location_ID WHERE  Feature_ID = 55",extra
"SELECT AVG(Tourist_Attraction_ID), Staff_ID FROM Staff WHERE Staff_ID BETWEEN 1 AND 10 OR Other_Details NOT IN (SELECT Other_Details FROM Staff WHERE  Staff_ID = 42)",extra
SELECT Tourist_Attractions.Location_ID FROM Photos JOIN Locations JOIN Tourist_Attractions ON Locations.Location_ID = Tourist_Attractions.Location_ID AND Photos.Tourist_Attraction_ID = Tourist_Attractions.Tourist_Attraction_ID WHERE  Tourist_Attractions.Tourist_Attraction_ID = 6 AND EXISTS (SELECT * FROM Tourist_Attractions AS l WHERE l.Location_ID BETWEEN 1 AND 10 OR  l.Tourist_Attraction_ID < 39 AND Photos.Photo_ID = l.Tourist_Attraction_ID LIMIT 1) LIMIT 4,extra
"SELECT MAX(hotel_id), price_range, other_hotel_details FROM Hotels GROUP BY other_hotel_details",medium
"SELECT Market_ID, Market_Details FROM Street_Markets WHERE  Market_ID <= 19 GROUP BY Market_Details HAVING AVG(Market_ID) > 68",medium
SELECT Locations.Location_ID FROM Locations JOIN Tourist_Attraction_Features JOIN Tourist_Attractions JOIN Royal_Family ON Tourist_Attractions.Tourist_Attraction_ID = Tourist_Attraction_Features.Tourist_Attraction_ID AND Locations.Location_ID = Tourist_Attractions.Location_ID AND Royal_Family.Royal_Family_ID = Tourist_Attractions.Tourist_Attraction_ID WHERE EXISTS (SELECT * FROM Tourist_Attractions AS s WHERE s.Location_ID BETWEEN 1 AND 10 AND  s.Location_ID < 50 AND Locations.Location_ID = s.Location_ID LIMIT 9) LIMIT 8,extra
"SELECT Market_ID, Market_ID FROM Street_Markets WHERE  Market_ID >= 82",medium
SELECT m.Tourist_Attraction_ID FROM Tourist_Attractions AS m WHERE  m.Tourist_Attraction_ID > 42 LIMIT 10,medium
"SELECT COUNT(DISTINCT Ref_Hotel_Star_Ratings.star_rating_code), pets_allowed_yn FROM Hotels JOIN Ref_Hotel_Star_Ratings ON Hotels.star_rating_code = Ref_Hotel_Star_Ratings.star_rating_code WHERE  price_range != 37 GROUP BY pets_allowed_yn ORDER BY pets_allowed_yn DESC",extra
"SELECT Tourist_ID, Tourist_ID FROM Visitors LIMIT 9",medium
