sql,hardness
"SELECT MAX(Member_ID), COUNT(Member_ID), Name FROM member WHERE  College_ID >= 73 GROUP BY Name LIMIT 5",hard
"SELECT member.Name, Leader_Name, college.Name FROM member JOIN round JOIN college ON member.College_ID = college.College_ID AND round.Member_ID = member.Member_ID WHERE  college.College_ID <= 8 GROUP BY college.Name LIMIT 1",extra
SELECT COUNT(DISTINCT college.College_ID) FROM member JOIN round JOIN college ON member.College_ID = college.College_ID AND round.Member_ID = member.Member_ID WHERE EXISTS (SELECT * FROM member AS a WHERE  a.Member_ID = 33 AND round.Member_ID = a.Member_ID LIMIT 9),extra
"SELECT AVG(College_ID), Leader_Name, Name FROM college WHERE College_Location NOT IN (SELECT College_Location FROM college AS v WHERE v.College_ID BETWEEN 1 AND 10) LIMIT 7",extra
SELECT COUNT(DISTINCT a.Country) FROM member AS a WHERE a.Member_ID BETWEEN 1 AND 10 AND  a.Member_ID >= 84,medium
"SELECT Member_ID, Round_ID FROM round WHERE  Round_ID = 59 ORDER BY Round_ID ASC",medium
"SELECT COUNT(DISTINCT college.Name), member.Name FROM member JOIN college ON member.College_ID = college.College_ID WHERE  Member_ID != 76 GROUP BY member.Name HAVING MAX(college.College_ID) >= 56",hard
"SELECT COUNT(DISTINCT o.Country), COUNT(DISTINCT o.Country), o.Country, o.College_ID FROM member AS o WHERE  o.College_ID < 93 GROUP BY o.College_ID ORDER BY o.Country DESC",hard
"SELECT COUNT(DISTINCT College_ID), Country FROM round JOIN member ON round.Member_ID = member.Member_ID WHERE member.Member_ID BETWEEN 1 AND 10 AND  College_ID = 17 GROUP BY Country ORDER BY Country DESC LIMIT 1",extra
"SELECT AVG(College_ID), College_ID, Name FROM college WHERE  College_ID != 76 GROUP BY Name HAVING SUM(College_ID) < 42 ORDER BY College_ID ASC",hard
"SELECT MIN(College_ID), College_ID FROM college WHERE  College_ID > 57 AND Leader_Name IN (SELECT Leader_Name FROM college AS g WHERE g.College_ID BETWEEN 1 AND 10) ORDER BY College_ID ASC",extra
"SELECT College_ID, Name FROM round JOIN member ON round.Member_ID = member.Member_ID WHERE  member.Member_ID = 41 ORDER BY Name ASC LIMIT 8",extra
SELECT College_Location FROM college WHERE  College_ID != 77 ORDER BY College_Location ASC LIMIT 7,hard
"SELECT SUM(Round_ID), Round_ID FROM member JOIN round JOIN college ON member.College_ID = college.College_ID AND round.Member_ID = member.Member_ID WHERE  member.Member_ID > 83",hard
"SELECT Member_ID, Country FROM member WHERE  College_ID > 17 GROUP BY Country HAVING MIN(College_ID) < 74 LIMIT 8",hard
SELECT member.Member_ID FROM round JOIN member ON round.Member_ID = member.Member_ID WHERE  round.Member_ID = 81,medium
"SELECT h.Country, h.Name FROM member AS h GROUP BY h.Name HAVING COUNT(h.College_ID) = 84 LIMIT 3",medium
