sql,hardness
"SELECT MIN(nomination.Artwork_ID), Festival_Name FROM artwork JOIN nomination JOIN festival_detail ON nomination.Festival_ID = festival_detail.Festival_ID AND artwork.Artwork_ID = nomination.Artwork_ID WHERE Year BETWEEN 1 AND 10 AND Year NOT IN (SELECT Year FROM festival_detail AS n WHERE n.Num_of_Audience BETWEEN 1 AND 10) LIMIT 6",extra
"SELECT COUNT(DISTINCT q.Artwork_ID), q.Festival_ID, q.Result FROM nomination AS q WHERE  q.Artwork_ID > 47 ORDER BY q.Festival_ID ASC LIMIT 4",hard
"SELECT MAX(r.Artwork_ID), r.Artwork_ID, artwork.Name FROM artwork AS r JOIN artwork ON artwork.Artwork_ID = r.Artwork_ID GROUP BY artwork.Name LIMIT 2",hard
SELECT COUNT(DISTINCT c.Result) FROM nomination AS c WHERE c.Artwork_ID BETWEEN 1 AND 10 AND  c.Festival_ID < 21,medium
SELECT COUNT(DISTINCT h.Type) FROM artwork AS h WHERE h.Artwork_ID BETWEEN 1 AND 10 OR  h.Artwork_ID <= 14,medium
"SELECT Num_of_Audience, Result FROM artwork JOIN nomination JOIN festival_detail ON nomination.Festival_ID = festival_detail.Festival_ID AND artwork.Artwork_ID = nomination.Artwork_ID WHERE Festival_ID IN (SELECT Festival_ID FROM festival_detail AS n)",extra
"SELECT Year, Location FROM festival_detail WHERE  Festival_ID <= 69 ORDER BY Location DESC",medium
SELECT Festival_Name FROM nomination JOIN festival_detail ON nomination.Festival_ID = festival_detail.Festival_ID WHERE EXISTS (SELECT * FROM nomination AS a WHERE festival_detail.Festival_ID = a.Festival_ID) ORDER BY Festival_Name ASC,extra
"SELECT COUNT(nomination.Artwork_ID), Num_of_Audience FROM artwork JOIN nomination JOIN festival_detail ON nomination.Festival_ID = festival_detail.Festival_ID AND artwork.Artwork_ID = nomination.Artwork_ID WHERE Year != (SELECT MIN(Year) FROM festival_detail AS r WHERE r.Num_of_Audience BETWEEN 1 AND 10 OR  r.Festival_ID < 82) LIMIT 10",extra
"SELECT Chair_Name, Location FROM festival_detail WHERE  Year = 76 AND Num_of_Audience > (SELECT MIN(Num_of_Audience) FROM festival_detail AS k WHERE  k.Num_of_Audience < 48) GROUP BY Chair_Name ORDER BY Location DESC",extra
SELECT Artwork_ID FROM nomination WHERE Artwork_ID NOT IN (SELECT Artwork_ID FROM artwork),hard
SELECT COUNT(DISTINCT Artwork_ID) FROM nomination JOIN festival_detail ON nomination.Festival_ID = festival_detail.Festival_ID WHERE Location != (SELECT SUM(Location) FROM festival_detail LIMIT 9) LIMIT 3,extra
"SELECT COUNT(DISTINCT Chair_Name), COUNT(DISTINCT Chair_Name), Location FROM festival_detail ORDER BY Location DESC",medium
"SELECT Name, Type, Name FROM artwork JOIN nomination ON artwork.Artwork_ID = nomination.Artwork_ID",medium
SELECT l.Name FROM artwork AS l GROUP BY l.Name HAVING MIN(l.Artwork_ID) = 36,easy
"SELECT SUM(Festival_ID), COUNT(DISTINCT artwork.Artwork_ID), artwork.Artwork_ID FROM artwork JOIN nomination ON artwork.Artwork_ID = nomination.Artwork_ID WHERE  nomination.Artwork_ID < 87",extra
SELECT e.Num_of_Audience FROM festival_detail AS e WHERE e.Num_of_Audience BETWEEN 1 AND 10,easy
"SELECT Artwork_ID, Type FROM artwork WHERE  Artwork_ID < 14 GROUP BY Type ORDER BY Artwork_ID ASC",hard
"SELECT Result, Type FROM artwork JOIN nomination ON artwork.Artwork_ID = nomination.Artwork_ID WHERE EXISTS (SELECT * FROM artwork AS c WHERE nomination.Artwork_ID = c.Artwork_ID) ORDER BY Type ASC",extra
"SELECT COUNT(Num_of_Audience), Type, Chair_Name FROM artwork JOIN nomination JOIN festival_detail ON nomination.Festival_ID = festival_detail.Festival_ID AND artwork.Artwork_ID = nomination.Artwork_ID WHERE festival_detail.Festival_ID BETWEEN 1 AND 10 OR  nomination.Festival_ID < 47 GROUP BY Chair_Name LIMIT 1",extra
