sql,hardness
"SELECT MAX(certificate.aid), aircraft.aid FROM aircraft JOIN certificate ON certificate.aid = aircraft.aid WHERE  distance <= 58",medium
SELECT salary FROM employee WHERE  eid <= 67 GROUP BY salary,medium
"SELECT name, name, name FROM aircraft WHERE  distance != 15",medium
"SELECT COUNT(DISTINCT distance), COUNT(DISTINCT aircraft.aid), COUNT(DISTINCT aircraft.aid), certificate.aid FROM aircraft JOIN certificate ON certificate.aid = aircraft.aid WHERE  certificate.aid <= 31 GROUP BY certificate.aid ORDER BY certificate.aid DESC LIMIT 8",extra
"SELECT distance, name FROM aircraft WHERE  aid = 67 GROUP BY name HAVING COUNT(aid) >= 36",medium
"SELECT certificate.aid, aircraft.name FROM aircraft JOIN employee JOIN certificate ON certificate.aid = aircraft.aid AND employee.eid = certificate.eid WHERE salary BETWEEN 1 AND 10 OR  aircraft.aid >= 13",extra
"SELECT SUM(distance), name FROM aircraft WHERE  aid != 77 GROUP BY name ORDER BY name DESC",hard
SELECT name FROM employee JOIN certificate ON employee.eid = certificate.eid WHERE  certificate.eid = 54,medium
SELECT aircraft.aid FROM aircraft JOIN certificate ON certificate.aid = aircraft.aid,easy
SELECT MAX(salary) FROM employee WHERE  salary <= 59 OR name IN (SELECT name FROM employee WHERE  eid <= 65),extra
SELECT origin FROM flight WHERE  price < 91 ORDER BY origin DESC,medium
SELECT certificate.aid FROM certificate AS o JOIN certificate ON certificate.eid = o.eid WHERE EXISTS (SELECT * FROM aircraft WHERE  aid <= 4 AND certificate.eid = aid),extra
SELECT name FROM flight JOIN certificate JOIN aircraft ON aircraft.aid = flight.aid AND certificate.aid = aircraft.aid WHERE  aircraft.distance >= 13,hard
SELECT origin FROM flight JOIN certificate JOIN employee JOIN aircraft ON aircraft.aid = flight.aid AND certificate.aid = aircraft.aid AND employee.eid = certificate.eid WHERE aircraft.distance BETWEEN 1 AND 10 AND  aircraft.distance = 56,extra
"SELECT SUM(price), flno, aid FROM flight WHERE  flno >= 3 LIMIT 2",medium
SELECT distance FROM aircraft WHERE  distance <= 9 ORDER BY distance DESC,medium
"SELECT aircraft.name, aircraft.name FROM aircraft AS q JOIN aircraft ON aircraft.aid = q.aid WHERE  q.distance > 83 OR distance IN (SELECT distance FROM flight WHERE  price != 98) ORDER BY aircraft.name DESC LIMIT 1",extra
SELECT COUNT(DISTINCT arrival_date) FROM flight JOIN certificate JOIN employee JOIN aircraft ON aircraft.aid = flight.aid AND certificate.aid = aircraft.aid AND employee.eid = certificate.eid WHERE  flno > 30 LIMIT 2,extra
"SELECT SUM(a.distance), a.name FROM aircraft AS a WHERE a.aid BETWEEN 1 AND 10 OR  a.aid = 67 GROUP BY a.name",hard
"SELECT SUM(certificate.eid), certificate.eid FROM employee JOIN certificate ON employee.eid = certificate.eid WHERE  salary = 21",medium
"SELECT aid, employee.eid FROM employee JOIN certificate ON employee.eid = certificate.eid WHERE name IN (SELECT name FROM employee AS p WHERE  p.salary > 64)",extra
"SELECT COUNT(DISTINCT eid), eid, aid FROM certificate WHERE  aid <= 18 AND aid IN (SELECT aid FROM certificate AS s WHERE s.eid BETWEEN 1 AND 10 AND  s.eid >= 3) GROUP BY aid ORDER BY aid DESC",extra
SELECT i.name FROM employee AS i WHERE  i.eid < 29 GROUP BY i.name LIMIT 4,hard
"SELECT name, name, aid FROM employee JOIN certificate ON employee.eid = certificate.eid WHERE  employee.eid <= 60 GROUP BY aid",hard
"SELECT AVG(flno), destination FROM flight WHERE flno BETWEEN 1 AND 10 OR EXISTS (SELECT * FROM aircraft AS r WHERE  r.distance > 27 AND flight.flno = r.aid LIMIT 7)",extra
"SELECT name, name FROM employee WHERE eid BETWEEN 1 AND 10 AND EXISTS (SELECT * FROM certificate AS o WHERE o.aid BETWEEN 1 AND 10 AND  o.eid != 37 AND employee.eid = o.eid)",extra
"SELECT price, eid, destination, departure_date FROM flight JOIN certificate JOIN aircraft ON aircraft.aid = flight.aid AND certificate.aid = aircraft.aid WHERE eid BETWEEN 1 AND 10 AND departure_date IN (SELECT departure_date FROM flight AS u WHERE  u.flno > 35) GROUP BY departure_date",extra
"SELECT SUM(employee.eid), destination FROM flight JOIN certificate JOIN employee JOIN aircraft ON aircraft.aid = flight.aid AND certificate.aid = aircraft.aid AND employee.eid = certificate.eid GROUP BY destination HAVING MIN(flno) > 44",extra
"SELECT COUNT(DISTINCT aid), price, origin FROM flight ORDER BY price DESC LIMIT 7",medium
"SELECT COUNT(DISTINCT eid), salary FROM employee WHERE  eid > 43 GROUP BY salary HAVING MAX(eid) <= 36",medium
"SELECT COUNT(DISTINCT eid), name FROM employee WHERE EXISTS (SELECT * FROM certificate AS f WHERE  f.eid < 37 AND employee.eid = f.eid LIMIT 1) ORDER BY name ASC",extra
"SELECT COUNT(distance), price FROM flight WHERE  price != 25",medium
"SELECT COUNT(DISTINCT i.salary), i.name FROM employee AS i WHERE i.eid BETWEEN 1 AND 10 AND  i.salary != 72",medium
