sql,hardness
SELECT customer.branch_ID FROM bank JOIN customer ON bank.branch_ID = customer.branch_ID WHERE  customer.branch_ID >= 62 LIMIT 7,hard
SELECT no_of_customers FROM bank WHERE  branch_ID > 4 AND no_of_customers IN (SELECT no_of_customers FROM bank AS w WHERE  w.branch_ID < 50 LIMIT 9) ORDER BY no_of_customers DESC,extra
"SELECT u.amount, u.loan_type FROM loan AS u WHERE  u.amount >= 48 LIMIT 5",medium
"SELECT acc_bal, city FROM loan JOIN bank JOIN customer ON bank.branch_ID = customer.branch_ID AND loan.branch_ID = bank.branch_ID WHERE credit_score BETWEEN 1 AND 10 AND cust_ID IN (SELECT cust_ID FROM loan AS n WHERE  n.amount <= 27) GROUP BY city HAVING COUNT(no_of_customers) >= 90",extra
SELECT credit_score FROM bank JOIN customer ON bank.branch_ID = customer.branch_ID WHERE  credit_score >= 34 OR EXISTS (SELECT * FROM bank AS m WHERE  m.branch_ID != 92 AND customer.cust_ID = m.branch_ID LIMIT 4) LIMIT 6,extra
SELECT AVG(bank.branch_ID) FROM bank JOIN loan ON loan.branch_ID = bank.branch_ID,easy
"SELECT AVG(amount), bank.branch_ID FROM bank JOIN loan ON loan.branch_ID = bank.branch_ID WHERE  amount <= 74 LIMIT 8",hard
"SELECT COUNT(DISTINCT bank.branch_ID), e.branch_ID FROM bank AS e JOIN bank ON bank.branch_ID = e.branch_ID WHERE  bank.no_of_customers <= 67 LIMIT 8",hard
"SELECT acc_bal, acc_type FROM customer WHERE no_of_loans BETWEEN 1 AND 10 AND  credit_score < 60 LIMIT 3",extra
"SELECT SUM(amount), loan_type FROM loan",medium
SELECT city FROM bank LIMIT 5,easy
"SELECT COUNT(DISTINCT s.cust_ID), s.state FROM customer AS s WHERE acc_bal >= (SELECT MAX(acc_bal) FROM customer AS f WHERE  f.branch_ID >= 42 LIMIT 5) ORDER BY s.state ASC",extra
"SELECT COUNT(amount), amount, loan_type FROM loan WHERE loan_type < (SELECT SUM(loan_type) FROM loan WHERE  amount != 42) GROUP BY loan_type HAVING SUM(amount) > 2 ORDER BY loan_type ASC",extra
"SELECT COUNT(DISTINCT city), city FROM bank WHERE branch_ID BETWEEN 1 AND 10 AND  no_of_customers = 13 ORDER BY city DESC",extra
"SELECT o.no_of_loans, o.credit_score, o.acc_bal FROM customer AS o JOIN customer ON customer.cust_ID = o.cust_ID WHERE o.acc_bal BETWEEN 1 AND 10 OR  customer.branch_ID >= 10 GROUP BY o.acc_bal HAVING COUNT(customer.branch_ID) > 74",extra
SELECT loan_type FROM loan JOIN bank JOIN customer ON bank.branch_ID = customer.branch_ID AND loan.branch_ID = bank.branch_ID WHERE  acc_bal != 51 LIMIT 2,extra
"SELECT COUNT(DISTINCT bname), cust_name FROM loan JOIN bank JOIN customer ON bank.branch_ID = customer.branch_ID AND loan.branch_ID = bank.branch_ID WHERE acc_bal BETWEEN 1 AND 10 AND  no_of_customers > 26 LIMIT 2",extra
"SELECT AVG(branch_ID), AVG(no_of_customers), no_of_customers FROM bank WHERE branch_ID BETWEEN 1 AND 10 GROUP BY no_of_customers HAVING MAX(no_of_customers) < 67 ORDER BY no_of_customers ASC LIMIT 1",extra
SELECT no_of_loans FROM loan JOIN bank JOIN customer ON bank.branch_ID = customer.branch_ID AND loan.branch_ID = bank.branch_ID WHERE  amount < 8,hard
"SELECT COUNT(DISTINCT city), city FROM bank WHERE state IN (SELECT state FROM customer AS s WHERE  s.branch_ID >= 57 LIMIT 5) ORDER BY city ASC",extra
"SELECT amount, no_of_loans, cust_name FROM loan JOIN bank JOIN customer ON bank.branch_ID = customer.branch_ID AND loan.branch_ID = bank.branch_ID WHERE acc_bal BETWEEN 1 AND 10 GROUP BY cust_name HAVING MIN(no_of_loans) <= 2 ORDER BY cust_name ASC",extra
SELECT city FROM bank JOIN loan ON loan.branch_ID = bank.branch_ID WHERE  no_of_customers <= 95 OR city NOT IN (SELECT city FROM bank WHERE  branch_ID >= 59),extra
"SELECT MAX(e.branch_ID), e.state, e.bname, e.city FROM bank AS e WHERE  e.no_of_customers != 75 GROUP BY e.city HAVING SUM(e.no_of_customers) >= 64 LIMIT 9",hard
"SELECT u.branch_ID, u.branch_ID FROM loan JOIN loan AS u ON loan.loan_ID = u.loan_ID WHERE  loan.amount >= 78",medium
SELECT amount FROM loan JOIN bank JOIN customer ON bank.branch_ID = customer.branch_ID AND loan.branch_ID = bank.branch_ID WHERE  no_of_loans < 32 OR EXISTS (SELECT * FROM bank AS g WHERE  g.branch_ID >= 39 AND customer.cust_ID = g.branch_ID) ORDER BY amount DESC LIMIT 10,extra
"SELECT MIN(acc_bal), MIN(credit_score), cust_ID FROM customer WHERE  acc_bal != 36 ORDER BY cust_ID DESC",extra
"SELECT x.bname, x.bname, x.state FROM bank AS x WHERE state IN (SELECT state FROM bank AS f) GROUP BY x.state",extra
"SELECT credit_score, credit_score FROM loan JOIN bank JOIN customer ON bank.branch_ID = customer.branch_ID AND loan.branch_ID = bank.branch_ID WHERE amount BETWEEN 1 AND 10 ORDER BY credit_score ASC",extra
