Specification,query
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': {'basic_comparison': '<'}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['count_distinct_exp', 'single_exp_number', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT COUNT(DISTINCT b.Number_cities), b.Number_cities, b.Country FROM market AS b WHERE  b.Number_cities < 0"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN_JOIN', 'where_type': {'basic_comparison': '<='}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'without_offset', 'value_exp_types': ['count_distinct_exp', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT COUNT(DISTINCT High_Estimate), Studio FROM film_market_estimation JOIN market JOIN film ON film_market_estimation.Market_ID = market.Market_ID AND film.Film_ID = film_market_estimation.Film_ID WHERE  Low_Estimate <= 25 LIMIT 6"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'basic_comparison': '='}, 'number_of_value_exp_in_group_by': 1, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_number', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT Film_ID, Type, Market_ID FROM film_market_estimation WHERE  Year = 37 GROUP BY Market_ID"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': 'comparison_with_subquery', 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'ASC', 'limit_type': 'without_offset', 'value_exp_types': ['single_exp_number', 'single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT Film_ID, Film_ID FROM film WHERE Film_ID = (SELECT MIN(Film_ID) FROM film WHERE  Gross_in_dollar <= 97) ORDER BY Film_ID ASC LIMIT 9"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': {'basic_comparison': '<'}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'count_distinct_exp', 'count_distinct_exp'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT COUNT(x.Number_cities), COUNT(DISTINCT x.Number_cities), COUNT(DISTINCT x.Number_cities) FROM market AS x WHERE  x.Number_cities < 70"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': {'logical_operator': ['OR', 'between', 'comparison_with_subquery']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_number', 'single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT n.Number_cities, n.Number_cities FROM market AS n WHERE n.Market_ID BETWEEN 1 AND 10 OR Number_cities < (SELECT SUM(Number_cities) FROM market AS a WHERE  a.Market_ID <= 40)"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': {'logical_operator': ['OR', 'basic_comparison', 'in_with_subquery']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'DESC', 'limit_type': 'none', 'value_exp_types': ['single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT m.Director FROM film AS m WHERE  m.Gross_in_dollar > 19 OR Director IN (SELECT Director FROM film WHERE  Film_ID <= 13) ORDER BY m.Director DESC
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': {'basic_comparison': '>'}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'without_offset', 'value_exp_types': ['single_exp_number', 'single_exp_text', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT film_market_estimation.Film_ID, Studio, Studio FROM film_market_estimation JOIN film ON film.Film_ID = film_market_estimation.Film_ID WHERE  film_market_estimation.Film_ID > 78 LIMIT 3"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': 'exists_subquery', 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'count_distinct_exp'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT MIN(Estimation_ID), COUNT(DISTINCT film_market_estimation.Film_ID) FROM film_market_estimation JOIN film ON film.Film_ID = film_market_estimation.Film_ID WHERE EXISTS (SELECT * FROM film_market_estimation WHERE  Market_ID = 28 AND film.Film_ID = Film_ID)"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': {'basic_comparison': '!='}, 'number_of_value_exp_in_group_by': 1, 'having_type': {'single': 'AVG'}, 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'agg_exp'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT AVG(market.Market_ID), AVG(Estimation_ID), Year FROM film_market_estimation JOIN market ON film_market_estimation.Market_ID = market.Market_ID WHERE  Film_ID != 91 GROUP BY Year HAVING AVG(market.Market_ID) >= 62"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': {'logical_operator': ['AND', 'basic_comparison', 'not_in_with_subquery']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'DESC', 'limit_type': 'without_offset', 'value_exp_types': ['agg_exp', 'single_exp_number', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT MAX(p.Market_ID), p.Number_cities, p.Country FROM market AS p WHERE  p.Market_ID = 88 AND Number_cities NOT IN (SELECT Number_cities FROM market AS u WHERE  u.Number_cities = 23) ORDER BY p.Country DESC LIMIT 4"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'basic_comparison': '='}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'ASC', 'limit_type': 'none', 'value_exp_types': ['count_distinct_exp', 'count_distinct_exp', 'single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT COUNT(DISTINCT Studio), COUNT(DISTINCT Film_ID), Gross_in_dollar FROM film WHERE  Gross_in_dollar = 92 ORDER BY Gross_in_dollar ASC"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': {'basic_comparison': '!='}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'DESC', 'limit_type': 'without_offset', 'value_exp_types': ['single_exp_text', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT q.Type, q.Type FROM film_market_estimation AS q WHERE  q.Estimation_ID != 5 ORDER BY q.Type DESC LIMIT 7"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': 'not_in_with_subquery', 'number_of_value_exp_in_group_by': 1, 'having_type': 'none', 'orderby_type': 'DESC', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT MIN(High_Estimate), Type FROM film_market_estimation JOIN market ON film_market_estimation.Market_ID = market.Market_ID WHERE Low_Estimate NOT IN (SELECT Low_Estimate FROM film_market_estimation AS r WHERE  r.High_Estimate != 87) GROUP BY Type ORDER BY Type DESC"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'basic_comparison': '='}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'without_offset', 'value_exp_types': ['single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT Gross_in_dollar FROM film WHERE  Film_ID = 69 LIMIT 8
"{'meaningful_joins': 'yes', 'table_exp_type': 'SELF JOIN', 'where_type': {'logical_operator': ['AND', 'between', 'exists_subquery']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'count_distinct_exp'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT AVG(film_market_estimation.Year), COUNT(DISTINCT m.Film_ID) FROM film_market_estimation AS m JOIN film_market_estimation ON film_market_estimation.Estimation_ID = m.Estimation_ID WHERE m.Low_Estimate BETWEEN 1 AND 10 AND EXISTS (SELECT * FROM film AS s WHERE s.Gross_in_dollar BETWEEN 1 AND 10 AND film_market_estimation.Estimation_ID = s.Film_ID)"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': 'in_with_subquery', 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_text', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT x.Country, x.Country FROM market AS x WHERE Country IN (SELECT Country FROM market AS u WHERE  u.Number_cities > 11 LIMIT 3)"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': {'logical_operator': ['OR', 'between', 'basic_comparison']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'without_offset', 'value_exp_types': ['single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT Type FROM film_market_estimation JOIN market ON film_market_estimation.Market_ID = market.Market_ID WHERE Film_ID BETWEEN 1 AND 10 OR  Low_Estimate = 36 LIMIT 8
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'basic_comparison': '>'}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'DESC', 'limit_type': 'without_offset', 'value_exp_types': ['agg_exp', 'count_distinct_exp', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT SUM(Market_ID), COUNT(DISTINCT Number_cities), Country FROM market WHERE  Market_ID > 42 ORDER BY Country DESC LIMIT 1"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': {'basic_comparison': '='}, 'number_of_value_exp_in_group_by': 1, 'having_type': 'none', 'orderby_type': 'ASC', 'limit_type': 'none', 'value_exp_types': ['single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT Number_cities, Low_Estimate FROM film_market_estimation JOIN market ON film_market_estimation.Market_ID = market.Market_ID WHERE  Estimation_ID = 92 GROUP BY Low_Estimate ORDER BY Number_cities ASC"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': {'basic_comparison': '<'}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['count_distinct_exp'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT COUNT(DISTINCT Gross_in_dollar) FROM film_market_estimation JOIN film ON film.Film_ID = film_market_estimation.Film_ID WHERE  film_market_estimation.Film_ID < 50
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': 'not_exists_subquery', 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT Film_ID FROM film_market_estimation JOIN market ON film_market_estimation.Market_ID = market.Market_ID WHERE EXISTS (SELECT * FROM market AS a WHERE  a.Market_ID <= 50 AND film_market_estimation.Estimation_ID = a.Market_ID)
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': 'between', 'number_of_value_exp_in_group_by': 1, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'without_offset', 'value_exp_types': ['single_exp_text', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT j.Type, j.Type, j.Low_Estimate FROM film_market_estimation AS j WHERE j.Year BETWEEN 1 AND 10 GROUP BY j.Low_Estimate LIMIT 4"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': {'basic_comparison': '<='}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'DESC', 'limit_type': 'none', 'value_exp_types': ['single_exp_number', 'single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT x.High_Estimate, x.Market_ID FROM film_market_estimation AS x WHERE  x.Estimation_ID <= 89 ORDER BY x.Market_ID DESC"
