Specification,query
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': 'between', 'number_of_value_exp_in_group_by': 1, 'having_type': {'single': 'COUNT'}, 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT v.Integration_Platform_ID, v.Customer_Interaction_ID FROM Integration_Platform AS v WHERE v.Customer_Interaction_ID BETWEEN 1 AND 10 GROUP BY v.Customer_Interaction_ID HAVING COUNT(v.Customer_Interaction_ID) >= 80"
"{'meaningful_joins': 'yes', 'table_exp_type': 'SELF JOIN', 'where_type': {'basic_comparison': '<'}, 'number_of_value_exp_in_group_by': 1, 'having_type': 'none', 'orderby_type': 'ASC', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT MIN(Channels.Channel_ID), Channels.Channel_Details, x.Channel_Details FROM Channels JOIN Channels AS x ON Channels.Channel_ID = x.Channel_ID WHERE  x.Channel_ID < 43 GROUP BY x.Channel_Details ORDER BY x.Channel_Details ASC"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': 'comparison_with_subquery', 'number_of_value_exp_in_group_by': 1, 'having_type': {'single': 'COUNT'}, 'orderby_type': 'none', 'limit_type': 'without_offset', 'value_exp_types': ['single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT Services_and_Channels_Details, Channel_ID FROM Customer_Interactions JOIN Integration_Platform ON Integration_Platform.Customer_Interaction_ID = Customer_Interactions.Customer_Interaction_ID WHERE Customer_ID = (SELECT SUM(Customer_ID) FROM Customers_and_Services WHERE  Service_ID < 11) GROUP BY Channel_ID HAVING COUNT(Channel_ID) = 28 LIMIT 2"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': {'logical_operator': ['AND', 'between', 'in_with_subquery']}, 'number_of_value_exp_in_group_by': 1, 'having_type': 'none', 'orderby_type': 'DESC', 'limit_type': 'none', 'value_exp_types': ['single_exp_number', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT Services.Service_ID, Customers_and_Services_Details, Service_Details FROM Services JOIN Customers_and_Services ON Services.Service_ID = Customers_and_Services.Service_ID WHERE Services.Service_ID BETWEEN 1 AND 10 AND Customer_ID IN (SELECT Customer_ID FROM Customer_Interactions WHERE Customer_Interaction_ID BETWEEN 1 AND 10) GROUP BY Service_Details ORDER BY Customers_and_Services_Details DESC"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': {'logical_operator': ['AND', 'between', 'basic_comparison']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'ASC', 'limit_type': 'without_offset', 'value_exp_types': ['single_exp_number', 'single_exp_number', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT w.Integration_Platform_ID, w.Integration_Platform_ID, w.Integration_Platform_Details FROM Integration_Platform AS w WHERE w.Customer_Interaction_ID BETWEEN 1 AND 10 AND  w.Integration_Platform_ID < 19 ORDER BY w.Integration_Platform_ID ASC LIMIT 3"
"{'meaningful_joins': 'yes', 'table_exp_type': 'SELF JOIN', 'where_type': 'between', 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'single_exp_number', 'single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT COUNT(Analytical_Layer.Analytical_ID), Analytical_Layer.Analytical_ID, Analytical_Layer.Analytical_ID FROM Analytical_Layer JOIN Analytical_Layer AS w ON Analytical_Layer.Analytical_ID = w.Analytical_ID WHERE Analytical_Layer.Analytical_ID BETWEEN 1 AND 10"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': 'between', 'number_of_value_exp_in_group_by': 1, 'having_type': 'none', 'orderby_type': 'DESC', 'limit_type': 'none', 'value_exp_types': ['single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT q.Customers_and_Services_ID, q.Customers_and_Services_Details FROM Customers_and_Services AS q WHERE q.Service_ID BETWEEN 1 AND 10 GROUP BY q.Customers_and_Services_Details ORDER BY q.Customers_and_Services_ID DESC"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': 'none', 'number_of_value_exp_in_group_by': 1, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT SUM(Customer_ID), Status_Code, Customer_ID FROM Channels JOIN Customer_Interactions ON Channels.Channel_ID = Customer_Interactions.Channel_ID GROUP BY Customer_ID"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': {'basic_comparison': '<='}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'count_distinct_exp'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT MAX(z.Customer_ID), COUNT(DISTINCT z.Customers_and_Services_Details) FROM Customers_and_Services AS z WHERE  z.Customers_and_Services_ID <= 63"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': {'logical_operator': ['AND', 'basic_comparison', 'in_with_subquery']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT Status_Code FROM Customer_Interactions JOIN Customers ON Customer_Interactions.Customer_ID = Customers.Customer_ID WHERE  Service_ID > 3 AND Channel_ID IN (SELECT Channel_ID FROM Customer_Interactions AS b WHERE  b.Customer_Interaction_ID >= 81 LIMIT 10)
