Specification,query
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'basic_comparison': '>='}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_number', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT LOCATION_ID, STREET_ADDRESS FROM locations WHERE  LOCATION_ID >= 51"
"{'meaningful_joins': 'yes', 'table_exp_type': 'SELF JOIN', 'where_type': {'basic_comparison': '<='}, 'number_of_value_exp_in_group_by': 1, 'having_type': 'none', 'orderby_type': 'DESC', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT COUNT(job_history.DEPARTMENT_ID), job_history.DEPARTMENT_ID, job_history.END_DATE FROM job_history AS f JOIN job_history ON job_history.EMPLOYEE_ID = f.EMPLOYEE_ID WHERE  f.DEPARTMENT_ID <= 2 GROUP BY job_history.END_DATE ORDER BY job_history.END_DATE DESC"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': {'logical_operator': ['AND', 'basic_comparison', 'in_with_subquery']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['count_distinct_exp'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT COUNT(DISTINCT END_DATE) FROM employees JOIN job_history ON employees.EMPLOYEE_ID = job_history.EMPLOYEE_ID WHERE  employees.DEPARTMENT_ID >= 6 AND EMPLOYEE_ID IN (SELECT EMPLOYEE_ID FROM employees AS a WHERE  a.MANAGER_ID = 60 LIMIT 3)
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': {'basic_comparison': '<'}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'ASC', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT SUM(t.DEPARTMENT_ID), t.JOB_ID FROM job_history AS t WHERE  t.EMPLOYEE_ID < 50 ORDER BY t.JOB_ID ASC"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'logical_operator': ['AND', 'basic_comparison', 'not_in_with_subquery']}, 'number_of_value_exp_in_group_by': 1, 'having_type': {'single': 'COUNT'}, 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT AVG(MAX_SALARY), JOB_ID, MIN_SALARY FROM jobs WHERE  MIN_SALARY < 64 AND MAX_SALARY NOT IN (SELECT MAX_SALARY FROM jobs WHERE  MIN_SALARY = 69) GROUP BY MIN_SALARY HAVING COUNT(MAX_SALARY) >= 9"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'logical_operator': ['OR', 'between', 'basic_comparison']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'without_offset', 'value_exp_types': ['single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT COUNTRY_ID FROM locations WHERE LOCATION_ID BETWEEN 1 AND 10 OR  LOCATION_ID != 89 LIMIT 9
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': {'logical_operator': ['AND', 'basic_comparison', 'in_with_subquery']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'DESC', 'limit_type': 'without_offset', 'value_exp_types': ['agg_exp', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT AVG(job_history.EMPLOYEE_ID), EMAIL FROM employees JOIN job_history ON employees.EMPLOYEE_ID = job_history.EMPLOYEE_ID WHERE  employees.EMPLOYEE_ID != 39 AND JOB_ID IN (SELECT JOB_ID FROM jobs WHERE MAX_SALARY BETWEEN 1 AND 10) ORDER BY EMAIL DESC LIMIT 9"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': {'logical_operator': ['OR', 'between', 'in_with_subquery']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT COUNT(a.LOCATION_ID), a.STREET_ADDRESS FROM locations AS a WHERE a.LOCATION_ID BETWEEN 1 AND 10 OR STATE_PROVINCE IN (SELECT STATE_PROVINCE FROM locations AS z WHERE  z.LOCATION_ID < 40)"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': {'basic_comparison': '<='}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT DEPARTMENT_ID FROM employees JOIN jobs ON employees.JOB_ID = jobs.JOB_ID WHERE  COMMISSION_PCT <= 26
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'basic_comparison': '='}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_text', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT COUNTRY_NAME, COUNTRY_ID FROM countries WHERE  REGION_ID = 47"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': 'between', 'number_of_value_exp_in_group_by': 1, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'without_offset', 'value_exp_types': ['agg_exp', 'single_exp_number', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT SUM(SALARY), job_history.DEPARTMENT_ID, PHONE_NUMBER, MANAGER_ID FROM employees JOIN job_history ON employees.EMPLOYEE_ID = job_history.EMPLOYEE_ID WHERE SALARY BETWEEN 1 AND 10 GROUP BY MANAGER_ID LIMIT 3"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': 'none', 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['count_distinct_exp', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT COUNT(DISTINCT z.COUNTRY_ID), z.COUNTRY_ID FROM locations AS z"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN_JOIN_JOIN', 'where_type': {'basic_comparison': '='}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'without_offset', 'value_exp_types': ['single_exp_text', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT job_history.JOB_ID, FIRST_NAME FROM departments JOIN employees JOIN jobs JOIN job_history ON employees.JOB_ID = jobs.JOB_ID AND employees.EMPLOYEE_ID = job_history.EMPLOYEE_ID AND job_history.JOB_ID = jobs.JOB_ID AND departments.DEPARTMENT_ID = employees.DEPARTMENT_ID WHERE  COMMISSION_PCT = 48 LIMIT 10"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'basic_comparison': '<='}, 'number_of_value_exp_in_group_by': 1, 'having_type': 'none', 'orderby_type': 'DESC', 'limit_type': 'without_offset', 'value_exp_types': ['single_exp_number', 'single_exp_number', 'single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT REGION_ID, REGION_ID, REGION_ID, COUNTRY_NAME FROM countries WHERE  REGION_ID <= 60 GROUP BY COUNTRY_NAME ORDER BY REGION_ID DESC LIMIT 8"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'basic_comparison': '<'}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['count_distinct_exp', 'count_distinct_exp', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT COUNT(DISTINCT POSTAL_CODE), COUNT(DISTINCT COUNTRY_ID), POSTAL_CODE FROM locations WHERE  LOCATION_ID < 18"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': {'basic_comparison': '<'}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'DESC', 'limit_type': 'none', 'value_exp_types': ['count_distinct_exp', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT COUNT(DISTINCT d.LOCATION_ID), d.DEPARTMENT_NAME FROM departments AS d WHERE  d.DEPARTMENT_ID < 7 ORDER BY d.DEPARTMENT_NAME DESC"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN_JOIN_JOIN', 'where_type': {'basic_comparison': '='}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'without_offset', 'value_exp_types': ['count_distinct_exp'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT COUNT(DISTINCT MAX_SALARY) FROM departments JOIN employees JOIN jobs JOIN job_history ON employees.JOB_ID = jobs.JOB_ID AND employees.EMPLOYEE_ID = job_history.EMPLOYEE_ID AND job_history.JOB_ID = jobs.JOB_ID AND departments.DEPARTMENT_ID = employees.DEPARTMENT_ID WHERE  job_history.EMPLOYEE_ID = 47 LIMIT 4
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'logical_operator': ['OR', 'basic_comparison', 'not_exists_subquery']}, 'number_of_value_exp_in_group_by': 1, 'having_type': 'none', 'orderby_type': 'DESC', 'limit_type': 'none', 'value_exp_types': ['count_distinct_exp'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT COUNT(DISTINCT COUNTRY_NAME), REGION_ID FROM countries WHERE  REGION_ID > 73 OR EXISTS (SELECT * FROM locations AS p WHERE p.LOCATION_ID BETWEEN 1 AND 10 AND countries.COUNTRY_ID = p.COUNTRY_ID) GROUP BY REGION_ID ORDER BY REGION_ID DESC"
