Specification,query
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': {'basic_comparison': '='}, 'number_of_value_exp_in_group_by': 1, 'having_type': 'none', 'orderby_type': 'DESC', 'limit_type': 'none', 'value_exp_types': ['single_exp_number', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT e.Customer_ID, e.Customer_Details FROM Customers AS e WHERE  e.Customer_ID = 13 GROUP BY e.Customer_Details ORDER BY e.Customer_Details DESC"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': 'not_exists_subquery', 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT Customer_Details FROM Customers WHERE EXISTS (SELECT * FROM Customer_Policies AS m WHERE Customers.Customer_ID = m.Customer_ID)
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': 'none', 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'count_distinct_exp'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT COUNT(Amount_Claimed), COUNT(DISTINCT Policy_ID) FROM Claims"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': 'none', 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'DESC', 'limit_type': 'without_offset', 'value_exp_types': ['agg_exp', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT AVG(w.Customer_ID), w.Customer_Details FROM Customers AS w ORDER BY w.Customer_Details DESC LIMIT 8"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': {'logical_operator': ['AND', 'basic_comparison', 'not_in_with_subquery']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_number', 'single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT p.Customer_ID, p.Customer_ID FROM Customer_Policies AS p WHERE  p.Customer_ID < 10 AND Policy_Type_Code NOT IN (SELECT Policy_Type_Code FROM Customer_Policies AS g WHERE g.Policy_ID BETWEEN 1 AND 10 AND  g.Customer_ID != 85 LIMIT 9)"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN_JOIN', 'where_type': {'logical_operator': ['AND', 'between', 'basic_comparison']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_text', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT Customer_Details, Customer_Details FROM Customers JOIN Customer_Policies JOIN Claims ON Customer_Policies.Customer_ID = Customers.Customer_ID AND Claims.Policy_ID = Customer_Policies.Policy_ID WHERE Amount_Settled BETWEEN 1 AND 10 AND  Amount_Claimed != 60"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN_JOIN_JOIN', 'where_type': {'basic_comparison': '!='}, 'number_of_value_exp_in_group_by': 1, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT Payment_Method_Code, Claims.Policy_ID FROM Claims JOIN Settlements JOIN Customer_Policies JOIN Payments ON Claims.Policy_ID = Customer_Policies.Policy_ID AND Settlements.Claim_ID = Claims.Claim_ID AND Payments.Settlement_ID = Settlements.Settlement_ID WHERE  Settlements.Amount_Settled != 34 GROUP BY Claims.Policy_ID"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': 'none', 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT MAX(Payments.Settlement_ID), Claim_ID FROM Settlements JOIN Payments ON Payments.Settlement_ID = Settlements.Settlement_ID"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'basic_comparison': '<'}, 'number_of_value_exp_in_group_by': 1, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_text', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT Customer_Details, Customer_Details FROM Customers WHERE  Customer_ID < 2 GROUP BY Customer_Details"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'logical_operator': ['AND', 'between', 'not_exists_subquery']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'without_offset', 'value_exp_types': ['single_exp_number', 'single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT Customer_Policy_ID, Customer_Policy_ID FROM Settlements WHERE Settlement_ID BETWEEN 1 AND 10 AND EXISTS (SELECT * FROM Claims AS m WHERE m.Policy_ID BETWEEN 1 AND 10 AND Settlements.Settlement_ID = m.Claim_ID LIMIT 2) LIMIT 2"
