Specification,query
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': {'basic_comparison': '>='}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'DESC', 'limit_type': 'without_offset', 'value_exp_types': ['single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT Student_Answer_ID FROM Questions_in_Exams JOIN Student_Answers ON Questions_in_Exams.Exam_ID = Student_Answers.Exam_ID AND Student_Answers.Question_ID = Questions_in_Exams.Question_ID WHERE  Student_Answers.Exam_ID >= 78 ORDER BY Student_Answer_ID DESC LIMIT 5
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'logical_operator': ['OR', 'between', 'basic_comparison']}, 'number_of_value_exp_in_group_by': 1, 'having_type': {'single': 'SUM'}, 'orderby_type': 'none', 'limit_type': 'without_offset', 'value_exp_types': ['single_exp_number', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT Question_ID, Valid_Answer_Text FROM Valid_Answers WHERE Question_ID BETWEEN 1 AND 10 OR  Question_ID != 88 GROUP BY Question_ID HAVING SUM(Valid_Answer_ID) < 93 LIMIT 1"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': {'basic_comparison': '='}, 'number_of_value_exp_in_group_by': 1, 'having_type': {'single': 'COUNT'}, 'orderby_type': 'none', 'limit_type': 'without_offset', 'value_exp_types': ['agg_exp'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT MAX(o.Exam_ID), o.Exam_Date FROM Exams AS o WHERE  o.Exam_ID = 76 GROUP BY o.Exam_Date HAVING COUNT(o.Exam_ID) >= 48 LIMIT 5"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': {'logical_operator': ['OR', 'basic_comparison', 'comparison_with_subquery']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT Student_Answers.Question_ID FROM Questions_in_Exams JOIN Student_Answers ON Questions_in_Exams.Exam_ID = Student_Answers.Exam_ID AND Student_Answers.Question_ID = Questions_in_Exams.Question_ID WHERE  Questions_in_Exams.Question_ID != 42 OR Satisfactory_YN > (SELECT MAX(Satisfactory_YN) FROM Student_Assessments AS w)
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN_JOIN', 'where_type': {'basic_comparison': '>'}, 'number_of_value_exp_in_group_by': 1, 'having_type': {'single': 'COUNT'}, 'orderby_type': 'DESC', 'limit_type': 'none', 'value_exp_types': ['single_exp_number', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT Valid_Answers.Question_ID, Student_Answer_Text, Student_Assessments.Valid_Answer_ID FROM Questions JOIN Valid_Answers JOIN Student_Assessments ON Valid_Answers.Question_ID = Questions.Question_ID AND Valid_Answers.Valid_Answer_ID = Student_Assessments.Valid_Answer_ID WHERE  Valid_Answers.Valid_Answer_ID > 9 GROUP BY Student_Assessments.Valid_Answer_ID HAVING COUNT(Valid_Answers.Valid_Answer_ID) > 69 ORDER BY Student_Assessments.Valid_Answer_ID DESC"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': {'basic_comparison': '='}, 'number_of_value_exp_in_group_by': 1, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['count_distinct_exp', 'single_exp_number', 'single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT COUNT(DISTINCT Question_Text), Valid_Answers.Question_ID, Valid_Answer_ID FROM Questions JOIN Valid_Answers ON Valid_Answers.Question_ID = Questions.Question_ID WHERE  Valid_Answer_ID = 20 GROUP BY Valid_Answers.Question_ID"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': 'none', 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'ASC', 'limit_type': 'none', 'value_exp_types': ['single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT a.Question_ID FROM Valid_Answers AS a ORDER BY a.Question_ID ASC
"{'meaningful_joins': 'yes', 'table_exp_type': 'SELF JOIN', 'where_type': {'logical_operator': ['AND', 'basic_comparison', 'not_exists_subquery']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'without_offset', 'value_exp_types': ['agg_exp', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT MAX(p.Question_ID), Questions.Question_Text FROM Questions JOIN Questions AS p ON Questions.Question_ID = p.Question_ID WHERE  Questions.Question_ID != 91 AND EXISTS (SELECT * FROM Valid_Answers WHERE Questions.Question_ID = Question_ID) LIMIT 1"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': 'none', 'number_of_value_exp_in_group_by': 1, 'having_type': {'single': 'MIN'}, 'orderby_type': 'none', 'limit_type': 'without_offset', 'value_exp_types': ['count_distinct_exp', 'single_exp_text', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT COUNT(DISTINCT Question_Text), Question_Text, Question_Text, Type_of_Question_Code FROM Questions GROUP BY Type_of_Question_Code HAVING MIN(Question_ID) = 5 LIMIT 3"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': 'not_exists_subquery', 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['count_distinct_exp', 'count_distinct_exp', 'single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT COUNT(DISTINCT Valid_Answer_ID), COUNT(DISTINCT Valid_Answer_ID), Question_ID FROM Valid_Answers WHERE EXISTS (SELECT * FROM Questions AS v WHERE  v.Question_ID <= 26 AND Valid_Answers.Valid_Answer_ID = v.Question_ID LIMIT 7)"
