Specification,query
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': {'logical_operator': ['AND', 'basic_comparison', 'in_with_subquery']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT f.Branch_ID FROM branch AS f WHERE  f.Branch_ID = 63 AND membership_amount IN (SELECT membership_amount FROM branch LIMIT 10)
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': {'basic_comparison': '>'}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'DESC', 'limit_type': 'none', 'value_exp_types': ['single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT Member_ID FROM branch JOIN membership_register_branch ON membership_register_branch.Branch_ID = branch.Branch_ID WHERE  branch.Branch_ID > 88 ORDER BY Member_ID DESC
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': 'none', 'number_of_value_exp_in_group_by': 1, 'having_type': 'none', 'orderby_type': 'ASC', 'limit_type': 'without_offset', 'value_exp_types': ['agg_exp', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT SUM(Member_ID), Register_Year, Branch_ID FROM membership_register_branch GROUP BY Branch_ID ORDER BY Branch_ID ASC LIMIT 5"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN_JOIN_JOIN', 'where_type': {'logical_operator': ['OR', 'between', 'in_with_subquery']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'agg_exp', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT AVG(Level), MIN(purchase.Member_ID), branch.Name FROM purchase JOIN branch JOIN member JOIN membership_register_branch ON membership_register_branch.Branch_ID = branch.Branch_ID AND branch.Branch_ID = purchase.Branch_ID AND member.Member_ID = membership_register_branch.Member_ID AND purchase.Member_ID = member.Member_ID WHERE Total_pounds BETWEEN 1 AND 10 OR Member_ID IN (SELECT Member_ID FROM purchase AS v WHERE  v.Total_pounds > 82)"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': {'logical_operator': ['OR', 'between', 'exists_subquery']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'DESC', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT SUM(Level), member.Member_ID FROM purchase JOIN member ON purchase.Member_ID = member.Member_ID WHERE purchase.Member_ID BETWEEN 1 AND 10 OR EXISTS (SELECT * FROM purchase AS j WHERE  j.Total_pounds != 93 AND member.Member_ID = j.Member_ID) ORDER BY member.Member_ID DESC"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': {'logical_operator': ['AND', 'between', 'not_exists_subquery']}, 'number_of_value_exp_in_group_by': 1, 'having_type': 'none', 'orderby_type': 'ASC', 'limit_type': 'none', 'value_exp_types': ['agg_exp'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT COUNT(member.Member_ID), Branch_ID FROM member JOIN membership_register_branch ON member.Member_ID = membership_register_branch.Member_ID WHERE membership_register_branch.Member_ID BETWEEN 1 AND 10 AND EXISTS (SELECT * FROM purchase WHERE Total_pounds BETWEEN 1 AND 10 AND member.Member_ID = Member_ID) GROUP BY Branch_ID ORDER BY Branch_ID ASC"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN_JOIN_JOIN', 'where_type': {'basic_comparison': '<'}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_number', 'single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT Level, membership_register_branch.Member_ID FROM purchase JOIN branch JOIN member JOIN membership_register_branch ON membership_register_branch.Branch_ID = branch.Branch_ID AND branch.Branch_ID = purchase.Branch_ID AND member.Member_ID = membership_register_branch.Member_ID AND purchase.Member_ID = member.Member_ID WHERE  Level < 41"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN_JOIN', 'where_type': 'none', 'number_of_value_exp_in_group_by': 1, 'having_type': {'single': 'AVG'}, 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_number', 'single_exp_text', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT Level, Open_year, Address_road FROM purchase JOIN branch JOIN member ON branch.Branch_ID = purchase.Branch_ID AND purchase.Member_ID = member.Member_ID GROUP BY Level HAVING AVG(Total_pounds) < 82"
"{'meaningful_joins': 'yes', 'table_exp_type': 'SELF JOIN', 'where_type': {'basic_comparison': '>='}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_number', 'single_exp_text', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT branch.Branch_ID, p.Open_year, branch.Name FROM branch JOIN branch AS p ON branch.Branch_ID = p.Branch_ID WHERE  p.Branch_ID >= 13"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN_JOIN', 'where_type': {'basic_comparison': '!='}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'ASC', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT AVG(Level), branch.Branch_ID FROM purchase JOIN branch JOIN member ON branch.Branch_ID = purchase.Branch_ID AND purchase.Member_ID = member.Member_ID WHERE  member.Member_ID != 27 ORDER BY branch.Branch_ID ASC"
