sql,hardness
SELECT c.cmi_cross_ref_id FROM Benefits_Overpayments AS c JOIN Council_Tax ON Council_Tax.council_tax_id = c.council_tax_id,easy
"SELECT AVG(s.electoral_register_id), s.cmi_cross_ref_id FROM Electoral_Register AS s WHERE s.electoral_register_id BETWEEN 1 AND 10 AND  s.cmi_cross_ref_id >= 13 LIMIT 10",extra
SELECT source_system_code FROM CMI_Cross_References JOIN Customer_Master_Index ON CMI_Cross_References.master_customer_id = Customer_Master_Index.master_customer_id JOIN Benefits_Overpayments ON CMI_Cross_References.cmi_cross_ref_id = Benefits_Overpayments.cmi_cross_ref_id WHERE CMI_Cross_References.cmi_cross_ref_id BETWEEN 1 AND 10 AND Benefits_Overpayments.cmi_cross_ref_id < 58 LIMIT 7,extra
SELECT MAX(cmi_cross_ref_id) AS max_cmi_cross_ref_id FROM Benefits_Overpayments WHERE cmi_cross_ref_id > 53,easy
"SELECT MAX(Rent_Arrears.council_tax_id), COUNT(DISTINCT source_system_code), Council_Tax.cmi_cross_ref_id FROM CMI_Cross_References JOIN Council_Tax JOIN Customer_Master_Index JOIN Rent_Arrears ON CMI_Cross_References.master_customer_id = Customer_Master_Index.master_customer_id AND Council_Tax.cmi_cross_ref_id = CMI_Cross_References.cmi_cross_ref_id AND Rent_Arrears.cmi_cross_ref_id = CMI_Cross_References.cmi_cross_ref_id WHERE  CMI_Cross_References.master_customer_id >= 17 AND council_tax_id >= (SELECT AVG(council_tax_id) FROM Parking_Fines AS x) GROUP BY Council_Tax.cmi_cross_ref_id ORDER BY Council_Tax.cmi_cross_ref_id ASC",extra
SELECT Council_Tax.cmi_cross_ref_id FROM Council_Tax JOIN CMI_Cross_References ON Council_Tax.cmi_cross_ref_id = CMI_Cross_References.cmi_cross_ref_id WHERE CMI_Cross_References.master_customer_id BETWEEN 1 AND 10 OR cmi_cross_ref_id IN (SELECT cmi_cross_ref_id FROM Rent_Arrears),extra
"SELECT business_rates_id, cmi_cross_ref_id FROM Business_Rates WHERE business_rates_id = 51 LIMIT 9",medium
"SELECT cmi_cross_ref_id, council_tax_id FROM Benefits_Overpayments WHERE  cmi_cross_ref_id = 53",medium
"SELECT T1.council_tax_id, T4.source_system_code FROM Council_Tax T1 JOIN CMI_Cross_References T4 ON T1.cmi_cross_ref_id = T4.cmi_cross_ref_id JOIN Customer_Master_Index T3 ON T4.master_customer_id = T3.master_customer_id JOIN Electoral_Register T2 ON T4.cmi_cross_ref_id = T2.cmi_cross_ref_id WHERE T3.master_customer_id < 50 LIMIT 1",extra
SELECT source_system_code FROM CMI_Cross_References JOIN Benefits_Overpayments ON Benefits_Overpayments.cmi_cross_ref_id = CMI_Cross_References.cmi_cross_ref_id WHERE council_tax_id = (SELECT MIN(council_tax_id) FROM Rent_Arrears) GROUP BY source_system_code LIMIT 9,extra
SELECT Benefits_Overpayments.cmi_cross_ref_id FROM CMI_Cross_References JOIN Benefits_Overpayments ON Benefits_Overpayments.cmi_cross_ref_id = CMI_Cross_References.cmi_cross_ref_id JOIN Electoral_Register ON CMI_Cross_References.cmi_cross_ref_id = Electoral_Register.cmi_cross_ref_id WHERE Benefits_Overpayments.council_tax_id <= 73 ORDER BY Benefits_Overpayments.cmi_cross_ref_id ASC,extra
"SELECT AVG(m.council_tax_id) AS avg_council_tax_id, m.cmi_cross_ref_id FROM Rent_Arrears AS m WHERE m.cmi_cross_ref_id BETWEEN 1 AND 10 OR m.cmi_cross_ref_id >= 39 GROUP BY m.cmi_cross_ref_id",hard
SELECT source_system_code FROM Council_Tax JOIN CMI_Cross_References ON Council_Tax.cmi_cross_ref_id = CMI_Cross_References.cmi_cross_ref_id JOIN Benefits_Overpayments ON Benefits_Overpayments.cmi_cross_ref_id = CMI_Cross_References.cmi_cross_ref_id JOIN Rent_Arrears ON Rent_Arrears.cmi_cross_ref_id = CMI_Cross_References.cmi_cross_ref_id;,hard
"SELECT COUNT(DISTINCT x.cmi_details), x.cmi_details FROM Customer_Master_Index AS x JOIN CMI_Cross_References AS y ON x.master_customer_id = y.master_customer_id ORDER BY x.cmi_details DESC;",medium
"SELECT source_system_code, Rent_Arrears.cmi_cross_ref_id FROM CMI_Cross_References JOIN Benefits_Overpayments JOIN Rent_Arrears ON Benefits_Overpayments.cmi_cross_ref_id = CMI_Cross_References.cmi_cross_ref_id AND Rent_Arrears.cmi_cross_ref_id = CMI_Cross_References.cmi_cross_ref_id WHERE  Benefits_Overpayments.cmi_cross_ref_id <= 91 GROUP BY Rent_Arrears.cmi_cross_ref_id, source_system_code LIMIT 5;",extra
"SELECT AVG(Rent_Arrears.cmi_cross_ref_id), COUNT(DISTINCT Rent_Arrears.cmi_cross_ref_id) FROM Rent_Arrears WHERE Rent_Arrears.cmi_cross_ref_id >= 25",medium
"SELECT e.master_customer_id, e.cmi_details FROM Customer_Master_Index AS e WHERE e.master_customer_id BETWEEN 1 AND 10 OR e.master_customer_id <= 66 GROUP BY e.master_customer_id, e.cmi_details LIMIT 3",extra
"SELECT COUNT(electoral_register_id), COUNT(DISTINCT electoral_register_id), cmi_cross_ref_id FROM Electoral_Register WHERE electoral_register_id <= 95 AND electoral_register_id <= (SELECT MIN(electoral_register_id) FROM Electoral_Register WHERE electoral_register_id <= 2 LIMIT 1) AND cmi_cross_ref_id < 8 GROUP BY cmi_cross_ref_id ORDER BY cmi_cross_ref_id DESC",extra
