sql,hardness
SELECT Minister FROM party_events JOIN party ON party.Party_ID = party_events.Party_ID WHERE party.Region_ID <= 79 ORDER BY Minister ASC;,hard
SELECT Member_in_charge_ID FROM party_events WHERE  Member_in_charge_ID > 96 ORDER BY Member_in_charge_ID DESC LIMIT 3,hard
"SELECT region.Region_ID, Format, Region_name FROM party JOIN region ON party.Region_ID = region.Region_ID WHERE party.Region_ID BETWEEN 1 AND 10 LIMIT 4",hard
"SELECT n.Member_ID, n.In_office FROM member AS n WHERE n.Member_ID >= 18",medium
"SELECT COUNT(DISTINCT p1.Party_ID), p1.Region_ID FROM party AS p1 GROUP BY p1.Region_ID HAVING COUNT(p1.Party_ID) <= 15",medium
SELECT Region_ID FROM region WHERE Region_ID BETWEEN 1 AND 10 OR Region_ID <= 57 LIMIT 1,hard
SELECT Event_ID FROM party_events JOIN party ON party.Party_ID = party_events.Party_ID WHERE Region_ID BETWEEN 1 AND 10 OR  Event_ID != 26 ORDER BY Event_ID DESC,extra
"SELECT T1.Member_in_charge_ID, T2.Party_name, T2.Took_office, T3.In_office FROM party_events AS T1 JOIN party AS T2 JOIN member AS T3 JOIN region AS T4 ON T2.Region_ID = T4.Region_ID AND T2.Party_ID = T1.Party_ID AND T3.Party_ID = T2.Party_ID AND T1.Member_in_charge_ID = T3.Member_ID WHERE T1.Member_in_charge_ID BETWEEN 1 AND 10 GROUP BY T3.In_office ORDER BY T2.Party_name DESC",extra
"SELECT Member_ID, Party_ID FROM member WHERE Member_ID BETWEEN 1 AND 10 GROUP BY Party_ID ORDER BY Member_ID ASC LIMIT 4",extra
SELECT Region_ID FROM region WHERE Region_ID = 66 LIMIT 4,medium
"SELECT d.Event_ID, d.Event_Name FROM party_events AS d WHERE  d.Event_ID < 72 GROUP BY d.Event_Name HAVING MIN(d.Member_in_charge_ID) < 87 LIMIT 8",hard
"SELECT Party_ID, Took_office FROM party WHERE Region_ID BETWEEN 1 AND 10 GROUP BY Party_ID, Took_office HAVING COUNT(Party_ID) < 66",extra
"SELECT Region_ID, party_events.Party_ID, Party_name FROM party_events JOIN party ON party.Party_ID = party_events.Party_ID WHERE party.Party_ID = 55",medium
"SELECT MIN(T1.Region_ID), COUNT(T1.Region_ID) FROM party AS T1 WHERE T1.Region_ID != 59;",medium
SELECT t.Format FROM region AS t WHERE  t.Region_ID <= 85 GROUP BY t.Format HAVING MIN(t.Region_ID) = 49,medium
SELECT T1.Region_ID FROM party AS T1 JOIN party_events AS T2 ON T1.Party_ID = T2.Party_ID WHERE T1.Region_ID = 88;,medium
"SELECT COUNT(DISTINCT p.Member_Name), p.In_office FROM member AS p WHERE  p.Member_ID >= 10 ORDER BY p.In_office ASC LIMIT 10",hard
"SELECT MAX(Party_ID), Catalogue FROM party JOIN region ON party.Region_ID = region.Region_ID WHERE  party.Region_ID = 87 ORDER BY Catalogue DESC LIMIT 7",extra
"SELECT Catalogue, party.Region_ID FROM party JOIN region ON party.Region_ID = region.Region_ID WHERE  party.Region_ID = 15 GROUP BY party.Region_ID ORDER BY Catalogue DESC",extra
"SELECT MIN(Party_ID), Region_ID FROM party WHERE Region_ID >= 69 GROUP BY Region_ID HAVING MIN(Party_ID) > 33 ORDER BY Region_ID DESC",hard
SELECT Party_ID FROM party_events WHERE Event_ID BETWEEN 1 AND 10 OR Member_in_charge_ID IN (SELECT Member_in_charge_ID FROM party_events AS b WHERE  b.Member_in_charge_ID != 92) LIMIT 2,extra
"SELECT MIN(party.Region_ID), member.Party_ID FROM party_events JOIN member ON party_events.Member_in_charge_ID = member.Member_ID JOIN party ON member.Party_ID = party.Party_ID WHERE  member.Party_ID >= 10 GROUP BY member.Party_ID HAVING AVG(party_events.Party_ID) >= 16 LIMIT 1",extra
"SELECT Member_ID, T1.Party_ID, In_office FROM member AS T1 WHERE Member_ID BETWEEN 1 AND 10 GROUP BY In_office, T1.Party_ID HAVING COUNT(T1.Member_ID) = 35",extra
"SELECT Party_name, Took_office, Region_ID FROM party WHERE Party_ID BETWEEN 1 AND 10 OR Took_office IN (SELECT Took_office FROM party AS f WHERE  f.Region_ID >= 15) GROUP BY Party_name, Took_office, Region_ID HAVING MIN(Region_ID) >= 77",extra
