sql,hardness
"SELECT SUM(amount_outstanding), returned_damaged_yn FROM Bookings WHERE  amount_of_refund <= 39",medium
SELECT first_name FROM Customers JOIN Bookings ON Bookings.customer_id = Customers.customer_id,easy
"SELECT COUNT(DISTINCT Products_Booked.product_id) as unique_products, product_type_code, MAX(daily_hire_cost) as max_cost FROM Products_Booked JOIN Products_for_Hire ON Products_Booked.product_id = Products_for_Hire.product_id WHERE Products_for_Hire.product_id >= 52 GROUP BY product_type_code HAVING MAX(daily_hire_cost) > 5 ORDER BY product_type_code ASC",extra
"SELECT u.gender_mf, COUNT(DISTINCT u.gender_mf) FROM Customers AS u WHERE u.coupon_id = 96 GROUP BY u.gender_mf LIMIT 7",hard
"SELECT product_id, booking_id FROM View_Product_Availability WHERE  product_id >= 23 LIMIT 3",medium
"SELECT coupon_id, date_became_customer FROM Customers WHERE customer_id = 58 LIMIT 10",medium
SELECT COUNT(DISTINCT last_name) FROM Customers WHERE gender_mf NOT IN (SELECT gender_mf FROM Customers WHERE coupon_id BETWEEN 1 AND 10 OR  customer_id = 55),extra
"SELECT amount_of_discount, amount_of_refund FROM Customers JOIN Bookings ON Bookings.customer_id = Customers.customer_id WHERE  amount_of_discount != 20 AND first_name NOT IN (SELECT first_name FROM Customers WHERE  customer_id = 77)",extra
"SELECT product_id, product_id FROM Products_for_Hire",medium
"SELECT product_type_code, product_description FROM Products_for_Hire WHERE  product_id >= 72",medium
SELECT product_name FROM View_Product_Availability JOIN Products_for_Hire ON Products_for_Hire.product_id = View_Product_Availability.product_id WHERE available_yn IN (SELECT available_yn FROM View_Product_Availability WHERE  product_id <= 99) ORDER BY product_name DESC,extra
"SELECT booking_status_code, customer_id FROM Bookings GROUP BY customer_id HAVING COUNT(booking_id) = 22",medium
"SELECT amount_of_discount, count_hired, date_became_customer FROM Customers JOIN Bookings ON Bookings.customer_id = Customers.customer_id WHERE amount_of_refund NOT IN (SELECT amount_of_refund FROM Bookings AS u WHERE  u.amount_of_discount != 14 LIMIT 5) GROUP BY amount_of_discount, count_hired, date_became_customer HAVING SUM(amount_of_refund) < 45",extra
"SELECT last_name, available_yn FROM View_Product_Availability JOIN Customers JOIN Bookings ON Bookings.customer_id = Customers.customer_id AND Bookings.booking_id = View_Product_Availability.booking_id WHERE amount_payable BETWEEN 1 AND 10 AND  Customers.customer_id = 18",hard
"SELECT MAX(customer_id), MAX(coupon_id) FROM Customers WHERE coupon_id != 55",medium
"SELECT v.available_yn, v.booking_id FROM View_Product_Availability AS v WHERE v.product_id = 54 GROUP BY v.booking_id, v.status_date, v.available_yn;",extra
"SELECT MAX(product_id), product_type_code FROM Products_for_Hire WHERE  product_id > 65 GROUP BY product_type_code LIMIT 2",hard
"SELECT last_name, Bookings.customer_id FROM Customers JOIN Bookings ON Bookings.customer_id = Customers.customer_id WHERE Bookings.customer_id BETWEEN 1 AND 10 OR  amount_of_refund = 48 GROUP BY Bookings.customer_id, last_name",extra
SELECT coupon_amount FROM Customers JOIN Discount_Coupons ON Customers.coupon_id = Discount_Coupons.coupon_id ORDER BY coupon_amount ASC,medium
SELECT customer_id FROM Payments WHERE  booking_id = 20,easy
SELECT product_type_code FROM Products_for_Hire WHERE  daily_hire_cost < 95 ORDER BY product_type_code DESC,medium
"SELECT MAX(Customers.coupon_id), gender_mf FROM Customers JOIN Discount_Coupons ON Customers.coupon_id = Discount_Coupons.coupon_id WHERE Customers.coupon_id >= 32 GROUP BY gender_mf LIMIT 3",extra
"SELECT booking_id, product_id FROM View_Product_Availability WHERE booking_id BETWEEN 1 AND 10 OR EXISTS (SELECT * FROM Bookings WHERE amount_of_discount != 46 AND View_Product_Availability.booking_id = Bookings.booking_id AND View_Product_Availability.status_date = Bookings.booking_start_date)",extra
"SELECT MIN(amount_payable), returned_damaged_yn FROM Bookings WHERE  amount_of_refund != 74",medium
"SELECT COUNT(amount_due), COUNT(booking_id) FROM Customers JOIN Payments ON Payments.customer_id = Customers.customer_id WHERE  amount_paid < 78 OR EXISTS (SELECT * FROM Bookings AS j WHERE  j.amount_of_refund >= 91 AND Customers.customer_id = j.customer_id) LIMIT 2",extra
"SELECT c.payment_type_code, c.amount_paid_in_full_yn FROM Payments AS c WHERE c.customer_id BETWEEN 1 AND 10",medium
SELECT COUNT(DISTINCT booked_count) FROM Products_Booked WHERE booked_amount > 14,easy
"SELECT booking_status_code, last_name FROM Customers JOIN Payments JOIN Discount_Coupons JOIN Bookings ON Bookings.customer_id = Customers.customer_id AND Customers.coupon_id = Discount_Coupons.coupon_id AND Payments.customer_id = Customers.customer_id WHERE  amount_payable > 70",extra
SELECT amount_payable FROM View_Product_Availability JOIN Bookings ON Bookings.booking_id = View_Product_Availability.booking_id WHERE  Bookings.booking_id != 57,medium
SELECT booking_status_code FROM Customers JOIN Payments JOIN Bookings ON Bookings.customer_id = Customers.customer_id AND Payments.customer_id = Customers.customer_id WHERE  amount_outstanding <= 82 ORDER BY booking_status_code ASC,extra
SELECT amount_paid_in_full_yn FROM Payments WHERE  amount_paid = 61 LIMIT 4,medium
"SELECT T1.customer_id, T1.last_name, T1.gender_mf FROM Customers AS T1 JOIN Discount_Coupons AS T2 ON T1.coupon_id = T2.coupon_id WHERE T2.coupon_amount BETWEEN 1 AND 10 GROUP BY T1.gender_mf LIMIT 6",extra
"SELECT COUNT(DISTINCT T2.booking_start_date), T2.amount_of_refund FROM View_Product_Availability AS T1 JOIN Bookings AS T2 ON T2.booking_id = T1.booking_id WHERE T2.booking_id NOT IN (SELECT T1.booking_id FROM View_Product_Availability AS T1 WHERE T1.available_yn = 'Y') GROUP BY T2.amount_of_refund HAVING T2.amount_of_refund < 67 LIMIT 7",extra
"SELECT COUNT(DISTINCT payment_date), COUNT(DISTINCT amount_due), payment_id FROM Payments WHERE amount_due >= 92 ORDER BY payment_id DESC",extra
