not_make_sense,0,1,2,3,4,not_make_sense_queries,queries_4,0_percentage,1_percentage,2_percentage,3_percentage,4_percentage,filename
0.0,22.0,5.0,0.0,5.0,0.0,[],"['SELECT COUNT(DISTINCT school.Location), school.Location, school.School FROM school WHERE school.Enrollment > 1500 AND school.Founded < 1900 ORDER BY school.Enrollment DESC', 'SELECT * FROM school JOIN school_details ON school.School_ID = school_details.School_ID WHERE Enrollment <= 2300.0 ORDER BY School DESC LIMIT 5', 'SELECT * FROM school JOIN player ON school.School_ID = player.School_ID WHERE Age < 16 ORDER BY School_ID DESC', 'SELECT COUNT(DISTINCT school_details.Nickname), school.School  FROM school  INNER JOIN school_details ON school.School_ID = school_details.School_ID  WHERE school.Founded BETWEEN 1879 AND 1918  ORDER BY school.School ASC', 'SELECT * FROM school JOIN school_details ON school.School_ID = school_details.School_ID WHERE Enrollment <= 2300.0']",68.75,15.62,0.0,15.62,0.0,
0.0,26.0,2.0,0.0,5.0,0.0,[],"[""SELECT MIN(c.cust_name), COUNT(DISTINCT l.loan_type) FROM customer c JOIN loan l ON c.cust_ID = l.cust_ID WHERE c.state != 'Utah' GROUP BY c.cust_name"", 'SELECT b.bname, COUNT(c.cust_ID) FROM bank b, customer c WHERE b.branch_ID = c.branch_ID AND c.acc_bal <= 2000 GROUP BY b.bname', 'SELECT COUNT(DISTINCT c.cust_ID), AVG(c.acc_bal), MAX(c.no_of_loans) FROM customer c JOIN bank b ON c.branch_ID != b.branch_ID ORDER BY c.cust_name DESC', 'SELECT * FROM customer WHERE no_of_loans > 1 ORDER BY cust_name ASC LIMIT 10', 'SELECT * FROM customer AS c1 JOIN customer AS c2 ON c1.branch_ID = c2.branch_ID WHERE c1.credit_score >= 20 ORDER BY c1.cust_name ASC']",78.79,6.06,0.0,15.15,0.0,
0.0,21.0,2.0,3.0,7.0,0.0,[],"['SELECT COUNT(DISTINCT customer_id) FROM Customer_Addresses ORDER BY premise_id DESC', ""SELECT * FROM Customer_Addresses WHERE date_address_from > '1990-01-01 00:00:00' ORDER BY date_address_from DESC"", ""SELECT COUNT(DISTINCT c.customer_id), COUNT(o.order_id) FROM Customers c JOIN Customer_Orders o ON c.customer_id = o.customer_id WHERE o.order_placed_datetime <= '2018-03-15 00:00:00' ORDER BY c.customer_id DESC LIMIT 10"", ""SELECT AVG(order_shipping_charges) FROM Customer_Orders WHERE customer_id IN (SELECT customer_id FROM Mailshot_Customers WHERE mailshot_id = (SELECT mailshot_id FROM Mailshot_Campaigns WHERE product_category = 'food'))"", ""SELECT * FROM Customer_Addresses WHERE date_address_from <= '1992-08-23 21:17:38' ORDER BY premise_id DESC"", 'SELECT 85.79, 98.4 FROM Customer_Orders ORDER BY order_id LIMIT 2', ""SELECT * FROM Customer_Addresses WHERE premise_id NOT IN (SELECT premise_id FROM Premises WHERE premises_type = 'Residence')""]",63.64,6.06,9.09,21.21,0.0,
0.0,20.0,2.0,3.0,8.0,0.0,[],"[""SELECT MAX(Population), Official_Name  FROM city WHERE Census_Ranking >= '636 of 5008'"", 'SELECT farm.Total_Cattle, farm_competition.Theme, city.Official_Name FROM farm JOIN farm_competition ON farm.Farm_ID = farm_competition.Competition_ID JOIN city ON farm_competition.Host_city_ID = city.City_ID WHERE farm.Total_Cattle > 8000 ORDER BY farm.Total_Cattle ASC LIMIT 5', 'SELECT * FROM farm JOIN farm_competition ON farm.Farm_ID NOT IN (SELECT Farm_ID FROM competition_record WHERE Competition_ID = farm_competition.Competition_ID) LIMIT 10', 'SELECT * FROM farm_competition JOIN city ON farm_competition.Host_city_ID = city.City_ID ORDER BY farm_competition.Year ASC', 'SELECT AVG(farm.Total_Horses), farm.Year FROM farm GROUP BY farm.Year', 'SELECT * FROM farm_competition JOIN city ON farm_competition.Host_city_ID = city.City_ID WHERE (farm_competition.Year BETWEEN 2005 AND 2013) OR (city.Area_km_2 > 8.89) ORDER BY AVG(city.Population)', 'SELECT AVG(f.Working_Horses)  FROM farm f  WHERE (f.Year BETWEEN 1927 AND 1930) OR f.Total_Horses > 5000 ORDER BY f.Year', 'SELECT COUNT(DISTINCT f.Year), f.Total_Horses, c.Official_Name FROM farm f JOIN city c ON f.Farm_ID = c.City_ID WHERE f.Total_Horses > 4000 ORDER BY f.Total_Horses DESC']",60.61,6.06,9.09,24.24,0.0,
1.0,15.0,2.0,4.0,5.0,0.0,['SELECT * FROM stadium s1 WHERE s1.id != s1.id ORDER BY s1.name DESC'],"['SELECT g.stadium_id, MIN(s.Capacity_Percentage) FROM game g JOIN stadium s ON g.stadium_id = s.id GROUP BY g.stadium_id ORDER BY MIN(s.Capacity_Percentage) ASC LIMIT 10', ""SELECT * FROM stadium WHERE name > 'FedExField'"", 'SELECT COUNT(DISTINCT game_id) FROM game WHERE stadium_id <= 5 GROUP BY stadium_id HAVING AVG(Capacity_Percentage) > 95', ""SELECT COUNT(DISTINCT g.id), AVG(s.Total_Attendance) FROM stadium s JOIN game g ON s.id = g.stadium_id WHERE g.Date BETWEEN '2007-01-01' AND '2013-12-31' OR g.Score LIKE '%1–1%' GROUP BY s.id HAVING AVG(s.Total_Attendance) > 600000 LIMIT 5"", 'SELECT name FROM stadium WHERE Capacity_Percentage > 95 AND Capacity_Percentage < 105 GROUP BY name HAVING SUM(Average_Attendance) > 70000 ORDER BY name DESC']",57.69,7.69,15.38,19.23,0.0,
0.0,20.0,8.0,0.0,9.0,0.0,[],"['SELECT * FROM SAVINGS AS S WHERE S.balance BETWEEN 200000 AND 80000 OR S.balance > 230000', 'SELECT COUNT(CHECKING.balance), SAVINGS.balance  FROM CHECKING INNER JOIN SAVINGS ON CHECKING.custid = SAVINGS.custid WHERE SAVINGS.balance BETWEEN 200000.0 AND 80000.0', 'SELECT COUNT(DISTINCT A.custid)  FROM ACCOUNTS A JOIN SAVINGS S ON A.custid = S.custid JOIN CHECKING C ON A.custid = C.custid WHERE (S.balance BETWEEN 200000 AND 80000 OR C.balance NOT IN (SELECT balance FROM CHECKING WHERE balance < 10000))', 'SELECT COUNT(SAVINGS.balance), SUM(CHECKING.balance), SAVINGS.custid FROM SAVINGS JOIN CHECKING ON SAVINGS.custid = CHECKING.custid WHERE SAVINGS.balance > 100000.0 ORDER BY SAVINGS.custid ASC', 'SELECT * FROM SAVINGS WHERE balance BETWEEN 200000.0 AND 80000.0', 'SELECT COUNT(*)  FROM SAVINGS S1 JOIN CHECKING C1 ON S1.custid = C1.custid WHERE S1.balance BETWEEN 200000 AND 80000 AND C1.balance > 10000 LIMIT 5', 'SELECT COUNT(*), name FROM ACCOUNTS WHERE custid <= 3 GROUP BY name', 'SELECT COUNT(DISTINCT S.balance), MIN(C.name) FROM ACCOUNTS C JOIN SAVINGS S ON C.custid = S.custid JOIN CHECKING Ch ON C.custid = Ch.custid WHERE Ch.balance >= 10000.0 GROUP BY C.name HAVING MIN(S.balance) > 200000.0 LIMIT 10', 'SELECT COUNT(DISTINCT S.custid), C.name, S.balance FROM CHECKING C JOIN CHECKING S ON C.custid = S.custid WHERE C.custid NOT IN (SELECT custid FROM SAVINGS)']",54.05,21.62,0.0,24.32,0.0,
0.0,15.0,6.0,2.0,7.0,0.0,[],"[""SELECT * FROM Problem_Log PL1 WHERE PL1.problem_category_code NOT IN (SELECT PL2.problem_category_code FROM Problem_Log PL2 WHERE PL2.problem_status_code = 'Solved') ORDER BY PL1.log_entry_date ASC"", ""SELECT * FROM Problem_Log PL1 JOIN Problem_Log PL2 ON PL1.problem_log_id = PL2.problem_log_id WHERE PL1.problem_category_code = 'Middleware' AND PL1.log_entry_date BETWEEN '1970-01-01 00:00:00' AND '2000-01-01 00:00:00' AND PL2.problem_status_code NOT IN (SELECT problem_status_code FROM Problem_Status_Codes WHERE problem_status_description = 'Solved') LIMIT 10"", ""SELECT COUNT(DISTINCT problem_category_code) FROM Problem_Log WHERE log_entry_date <= '1999-08-17 00:00:18'"", ""SELECT COUNT(DISTINCT p.problem_id), AVG(pl.log_entry_date), MAX(pl.log_entry_date) FROM Problem_Log pl JOIN Problem p ON pl.problem_id = p.problem_id WHERE pl.log_entry_date >= '1970-01-01 00:00:00' LIMIT 10"", ""SELECT MIN(p.problem_description) FROM Problems p JOIN Problem_Log pl ON p.problem_id = pl.problem_id WHERE pl.problem_status_code = 'Solved' AND pl.log_entry_date BETWEEN '1970-01-01 00:00:00' AND '2000-12-31 23:59:59'"", ""SELECT * FROM Problem_Log INNER JOIN Problems ON Problem_Log.problem_id = Problems.problem_id WHERE Problem_Log.problem_status_code = 'Solved' AND Problems.date_problem_reported BETWEEN '1970-01-01 00:00:00' AND '1980-12-31 23:59:59' LIMIT 10"", 'SELECT SUM(pl.log_entry_description), pc.problem_category_description FROM Problem_Log pl JOIN Problem_Category_Codes pc ON pl.problem_category_code = pc.problem_category_code GROUP BY pc.problem_category_description ORDER BY SUM(pl.log_entry_description) DESC']",50.0,20.0,6.67,23.33,0.0,
0.0,23.0,3.0,1.0,2.0,0.0,[],"['SELECT AVG(Num_of_Audience) FROM festival_detail ORDER BY AVG(Num_of_Audience) DESC', 'SELECT COUNT(DISTINCT n.Artwork_ID) FROM festival_detail AS fd JOIN nomination AS n ON fd.Festival_ID != n.Festival_ID LIMIT 10']",79.31,10.34,3.45,6.9,0.0,
0.0,19.0,5.0,2.0,5.0,0.0,[],"['SELECT * FROM Owners ORDER BY last_name DESC', ""SELECT SUM(cost_of_treatment) FROM Treatments WHERE date_of_treatment >= '2018-03-01 00:00:00' GROUP BY dog_id HAVING SUM(cost_of_treatment) > 500 ORDER BY SUM(cost_of_treatment) DESC"", 'SELECT COUNT(*) FROM Dogs WHERE EXISTS (SELECT 1 FROM Treatments WHERE Treatments.dog_id = Dogs.dog_id AND Treatments.cost_of_treatment > 300)', 'SELECT * FROM Dogs WHERE age BETWEEN 2 AND 9 ORDER BY age DESC LIMIT 10', 'SELECT COUNT(DISTINCT D.dog_id) FROM Dogs D JOIN Owners O ON D.owner_id = O.owner_id ORDER BY O.first_name DESC']",61.29,16.13,6.45,16.13,0.0,
0.0,22.0,4.0,2.0,6.0,0.0,[],"[""SELECT SUM(Result = 'Won') FROM book_club WHERE Year BETWEEN 1989 AND 1990"", 'SELECT COUNT(DISTINCT Book_Title), COUNT(DISTINCT Author_or_Editor), Publisher FROM book_club WHERE Year <= 1990', ""SELECT COUNT(DISTINCT book_club.Year), COUNT(DISTINCT culture_company.Group_Equity_Shareholding), COUNT(DISTINCT movie.Budget_million) FROM culture_company WHERE culture_company.book_club_id NOT IN (SELECT book_club_id FROM book_club WHERE Year = 1989) AND culture_company.movie_id NOT IN (SELECT movie_id FROM movie WHERE Director = 'Troy Duffy') LIMIT 10"", ""SELECT COUNT(DISTINCT book_club.Author_or_Editor), COUNT(DISTINCT movie.Director) FROM book_club JOIN culture_company ON book_club.book_club_id = culture_company.book_club_id JOIN movie ON culture_company.movie_id = movie.movie_id WHERE book_club.Year BETWEEN 1989 AND 1990 AND movie.Year BETWEEN 1999 AND 2001 AND culture_company.Group_Equity_Shareholding IN (SELECT Group_Equity_Shareholding FROM culture_company WHERE Type = 'Subsidiary')"", 'SELECT COUNT(DISTINCT Year), COUNT(DISTINCT Author_or_Editor), COUNT(book_club_id) FROM book_club WHERE Year != 1989 ORDER BY Year ASC', 'SELECT SUM(m.Budget_million), b.Year  FROM movie m JOIN culture_company c ON m.movie_id = c.movie_id JOIN book_club b ON c.book_club_id = b.book_club_id WHERE b.Year BETWEEN 1989 AND 1990 GROUP BY b.Year ORDER BY b.Year ASC']",64.71,11.76,5.88,17.65,0.0,
