query,question,iter,flag,hardness
"SELECT T1.name, T2.name FROM author AS T1 JOIN author AS T2 ON T1.aid = T2.oid WHERE T1.oid <= 10",What are the names of authors who collaborated with authors whose organization id is less than or equal to 10?,3,True,medium
SELECT MIN(count(DISTINCT pid)) FROM writes WHERE aid > 10,What is the minimum number of distinct papers written by any author with id greater than 10?,6,False,easy
SELECT COUNT(DISTINCT pid) FROM writes WHERE aid <= 10 GROUP BY aid HAVING MAX(aid) = 10 LIMIT 5,What are the 6th to 10th authors (with aid 10 or less) that have written the most distinct papers?,6,False,hard
"SELECT T1.oid, AVG(T2.citing) FROM author AS T1 JOIN cite AS T2 ON T1.aid = T2.citing WHERE T1.aid IN (SELECT aid FROM writes) GROUP BY T1.oid HAVING AVG(T2.citing) > 10 LIMIT 10","Which 10 organizations have authors who published papers with an average citation count greater than 10, and what are their IDs?",6,False,extra
"SELECT COUNT(pid), title FROM publication WHERE (cid BETWEEN 10 AND 20 OR citation_num = 100) AND (jid > 50 OR year BETWEEN 1990 AND 2000) GROUP BY title","What is the count of publications for each title that has a conference id between 10 and 20 or a citation number of 100, and also has a journal id greater than 50 or was published between 1990 and 2000?",2,True,extra
SELECT * FROM publication WHERE YEAR BETWEEN 2010 AND 2020 AND citation_num > 100,What are the details of publications with more than 100 citations that were published between 2010 and 2020?,2,True,medium
"SELECT T1.oid, COUNT(DISTINCT T2.oid) FROM author AS T1 JOIN author AS T2 ON T1.oid = T2.oid WHERE T1.name = 'John' AND T2.name = 'Jane' AND T1.oid IN (SELECT T3.oid FROM author AS T3 WHERE T3.name = 'John') ORDER BY T1.oid DESC","What are the IDs of authors with the name 'John' along with the count of distinct authors with the name 'Jane' and the same ID, ordered by ID in descending order?",6,False,extra
SELECT COUNT(T1.aid) FROM author AS T1 JOIN writes AS T2 ON T1.aid = T2.aid WHERE T1.name != 'John',How many authors are there excluding the author named John?,2,True,medium
SELECT COUNT(T1.cid) FROM conference AS T1 JOIN publication AS T2 ON T1.cid = T2.cid WHERE T1.cid = 10 OR T2.year BETWEEN 2000 AND 2010 OR T2.citation_num > 100 ORDER BY T1.cid DESC LIMIT 10,"What is the number of conferences with id 10 or publications between 2000 and 2010 or more than 100 citations, listed in descending order of conference id, from the 11th to the 20th?",5,True,extra
"SELECT T1.name, COUNT(DISTINCT T2.kid) FROM domain AS T1 JOIN domain_keyword AS T2 ON T1.did = T2.did WHERE T2.kid BETWEEN 10 AND 20 OR T1.name = 'Computer Science' OR T2.kid IN (SELECT kid FROM keyword WHERE keyword = 'AI') GROUP BY T1.name HAVING AVG(T2.did) > 5 ORDER BY T1.name ASC","For each domain, what is the number of unique keywords associated with it, given that the keyword id is between 10 and 20, or the domain name is 'Computer Science', or the keyword is 'AI', and the average domain id is greater than 5, sorted by domain name in ascending order?",3,True,extra
"SELECT T1.oid, T2.name FROM organization AS T1 JOIN organization AS T2 ON T1.oid = T2.oid WHERE T1.continent BETWEEN 'Asia' AND 'Europe' ORDER BY T2.name DESC","What are the names and organization ids of organizations located in continents between Asia and Europe, ordered by organization name in descending order?",6,False,hard
SELECT COUNT(DISTINCT T1.oid) FROM author AS T1 WHERE T1.name = 'Author1' AND T1.homepage IS NOT NULL AND (SELECT COUNT(*) FROM writes AS T2 WHERE T2.aid = T1.aid) BETWEEN 1 AND 10 ORDER BY T1.oid ASC,"How many distinct organizations are there with the name 'Author1', a non-null homepage, and having written between 1 and 10 publications, listed in ascending order by organization id?",6,False,extra
SELECT * FROM publication WHERE pid = ( SELECT T2.pid FROM writes AS T1 JOIN publication AS T2 ON T1.pid = T2.pid WHERE T1.aid = 123 ),What are the details of the publications written by author with aid 123?,2,True,hard
"SELECT COUNT(citation_num), COUNT(reference_num) FROM publication WHERE citation_num <= 100 AND reference_num <= 100 LIMIT 10",What are the counts of citation numbers and reference numbers for the top 10 publications with less than or equal to 100 citations and 100 references?,2,True,hard
"SELECT T1.aid, T1.name FROM author AS T1 WHERE T1.oid NOT IN (SELECT T2.oid FROM organization AS T2 WHERE T2.continent = 'Asia') ORDER BY T1.aid ASC LIMIT 100","What are the names and IDs of authors affiliated with organizations outside of Asia, listed in ascending order of author ID, from the 101st to the 200th author?",3,True,extra
"SELECT DISTINCT T1.name, T2.name FROM organization AS T1 JOIN organization AS T2 ON T1.continent = T2.continent WHERE T1.homepage BETWEEN 'https://www.google.com' AND 'https://www.bing.com' OR T2.name LIKE 'University%' OR T1.oid > 10","What are the distinct names of organizations that have homepages between Google and Bing, or are universities, or have an oid greater than 10, and what are the names of other organizations in the same continent as these organizations?",6,False,extra
"SELECT T1.oid, T1.homepage FROM organization AS T1 WHERE T1.name IN (SELECT T2.name FROM organization AS T2 WHERE T2.continent = 'Asia')",What are the homepages and ids of organizations that have the same name as an organization in Asia?,4,True,extra
"SELECT T1.name, COUNT(T2.aid) FROM author AS T1 JOIN writes AS T2 ON T1.aid = T2.aid WHERE T1.oid < 10 GROUP BY T1.name ORDER BY COUNT(T2.aid) DESC LIMIT 5","What are the names of the 6th to 10th most prolific authors with an organization id less than 10, along with the number of papers they have written?",6,False,extra
"SELECT T2.title, AVG(T1.reference_num) FROM publication AS T1 JOIN publication AS T2 ON T1.pid = T2.pid WHERE T1.year = 2020 GROUP BY T2.title",What are the titles of publications from 2020 and their average number of references?,2,True,hard
"SELECT COUNT(title), MAX(abstract), MIN(citation_num) FROM publication WHERE year <= 2000","What are the count of titles, maximum abstract, and minimum citation number for publications published before or in the year 2000?",4,True,medium
SELECT name FROM author WHERE aid <= 10 ORDER BY aid ASC LIMIT 5,"What are the names of authors with aid greater than or equal to 6 and less than or equal to 10, listed in ascending order of aid?",4,True,hard
