query,question,iter,flag,hardness
SELECT M1.agency_details FROM Agencies AS M1 WHERE M1.agency_id = 10,What are the agency details of the agency with agency id 10?,2,True,easy
"SELECT T1.agency_id, COUNT(DISTINCT T1.staff_id) FROM Staff AS T1 JOIN Agencies AS T2 ON T1.agency_id = T2.agency_id WHERE T1.agency_id IN (SELECT agency_id FROM Agencies WHERE agency_details = 'details') GROUP BY T1.agency_id HAVING MAX(T1.staff_id) = 1000 ORDER BY COUNT(DISTINCT T1.staff_id) DESC","What are the agency IDs with the highest number of unique staff IDs, considering only agencies with the specified details and staff with an ID of 1000, and list them in descending order of staff count?",6,False,extra
"SELECT T1.staff_id, T1.staff_details FROM Staff AS T1 JOIN Clients AS T2 ON T1.agency_id = T2.agency_id WHERE T1.staff_id = 101 GROUP BY T1.staff_id ORDER BY T1.staff_id ASC LIMIT 100","What is the staff details of staff with id 101 from agencies that have clients, listed in ascending order of staff id starting from the 101st record?",6,False,extra
SELECT staff_details FROM Staff WHERE staff_id > 10 ORDER BY staff_id DESC,"What are the staff details of staff members with staff id greater than 10, listed in descending order by staff id?",2,True,medium
"SELECT T1.client_details, SUM(T2.invoice_status), T1.sic_code FROM Clients AS T1 JOIN Invoices AS T2 ON T1.client_id = T2.client_id JOIN Payments AS T3 ON T2.invoice_id = T3.invoice_id WHERE T3.payment_details < 'some_details' LIMIT 10","What are the client details, total invoice statuses, and sic codes for the next 10 clients with payment details less than 'some_details', after the first 10 results?",6,False,extra
SELECT T1.sic_code FROM Clients AS T1 WHERE T1.sic_code = 'Retail' AND EXISTS ( SELECT 1 FROM Invoices AS T2 WHERE T2.client_id = T1.client_id AND T2.invoice_status = 'Paid' ) ORDER BY COUNT(DISTINCT T1.client_id) DESC LIMIT 10,"What are the top 10 retail sic codes of clients who have at least one paid invoice, ordered by the number of distinct clients in descending order, starting from the 11th result?",6,False,extra
SELECT AVG(T1.sic_code) FROM Clients AS T1 GROUP BY T1.agency_id HAVING T1.agency_id != 100 ORDER BY T1.agency_id ASC,"What is the average sic code of clients for each agency id, excluding agency id 100, listed in ascending order of agency id?",2,True,medium
"SELECT T1.agency_details, T2.staff_details FROM Agencies AS T1 JOIN Staff AS T2 ON T1.agency_id = T2.agency_id WHERE T1.agency_id BETWEEN 1 AND 10 OR T2.staff_id = 5 OR T2.staff_id > 10 ORDER BY T1.agency_id DESC LIMIT 10","What are the agency and staff details for the agencies with agency id between 1 and 10 or staff id of 5 or staff id greater than 10, listed in descending order by agency id starting from the 11th result?",6,False,extra
SELECT COUNT(DISTINCT client_id) FROM Invoices WHERE invoice_status >= 'UNPAID',How many distinct clients have unpaid invoices?,6,False,easy
SELECT COUNT(DISTINCT client_id) FROM Clients WHERE agency_id < 10,How many unique clients are associated with agencies that have an agency id less than 10?,2,True,easy
"SELECT T1.agency_id, SUM(T2.staff_details) FROM Agencies AS T1 JOIN Staff AS T2 ON T1.agency_id = T2.agency_id JOIN Clients AS T3 ON T2.agency_id = T3.agency_id WHERE T1.agency_id = 100 AND T3.sic_code BETWEEN 1000 AND 2000 AND T2.staff_id > 10","What is the total staff details for agency with id 100, that has clients with sic code between 1000 and 2000 and staff id greater than 10?",6,False,hard
SELECT T1.client_details FROM Clients AS T1 JOIN Meetings AS T2 ON T1.client_id = T2.client_id JOIN Invoices AS T3 ON T1.client_id = T3.client_id WHERE T2.start_date_time >= '2020-01-01',What are the client details for clients who had meetings starting from 2020-01-01 and also have invoices?,2,True,hard
SELECT COUNT(DISTINCT T1.staff_id) FROM Staff AS T1 JOIN Staff_in_Meetings AS T2 ON T1.staff_id = T2.staff_id WHERE T2.meeting_id < 10,How many distinct staff members attended meetings with meeting ID less than 10?,2,True,medium
SELECT T1.staff_id FROM Staff AS T1 JOIN Staff AS T2 ON T1.agency_id = T2.agency_id WHERE T1.staff_details IN (SELECT staff_details FROM Staff) ORDER BY T1.staff_id DESC LIMIT 10,"What are the staff ids of the staff members with the 11th to 20th highest staff ids, who are in the same agency as at least one other staff member?",6,False,extra
SELECT agency_id FROM Agencies WHERE agency_id = 1 OR agency_id IN (SELECT agency_id FROM Staff WHERE staff_id NOT IN (SELECT staff_id FROM Staff_in_Meetings)) ORDER BY agency_id ASC LIMIT 5,"What are the next 5 agency ids, in ascending order, that are either 1 or not represented by any staff member who has attended a meeting, starting from the 6th agency id?",2,True,extra
SELECT agency_details FROM Agencies WHERE agency_details != 'abc' AND agency_details != 'xyz' LIMIT 10,"What are the next ten agency details, excluding 'abc' and 'xyz', after the first ten records?",6,False,medium
"SELECT AVG(T1.invoice_status), SUM(T2.meeting_outcome) FROM Invoices AS T1 JOIN Meetings AS T2 ON T1.client_id = T2.client_id JOIN Clients AS T3 ON T3.client_id = T1.client_id WHERE T2.meeting_type != 'Type1'",What is the average invoice status and the total meeting outcome for clients who have had meetings that are not of type 'Type1'?,3,True,hard
"SELECT T1.agency_id, T2.staff_details FROM Agencies AS T1 JOIN Staff AS T2 ON T1.agency_id = T2.agency_id WHERE T2.staff_id > 400 AND T2.staff_id < 500 AND NOT EXISTS (SELECT 1 FROM Clients AS T3 WHERE T3.agency_id = T2.agency_id AND T3.client_id IS NULL) ORDER BY T1.agency_id ASC","What are the agency IDs and staff details for agencies that have staff members with IDs between 400 and 500, and these agencies do not have any clients with missing client IDs?",6,True,extra
"SELECT COUNT(invoice_id), SUM(invoice_id), MIN(invoice_id) FROM Invoices LIMIT 10","What are the count, sum, and minimum of the first ten invoice ids after the initial ten invoice ids in the invoices table?",6,False,medium
SELECT * FROM Clients AS Client WHERE client_id BETWEEN 100 AND 200 ORDER BY client_id ASC LIMIT 10,What are the details of the 11th to 20th clients with client IDs between 100 and 200?,3,True,hard
SELECT AVG(T1.staff_id) FROM Staff AS T1 JOIN Staff_in_Meetings AS T2 ON T1.staff_id = T2.staff_id WHERE T1.agency_id = 100 AND T2.meeting_id BETWEEN 100 AND 200 AND T1.staff_details LIKE '%Details%',What is the average staff id of staff in agency 100 who attended meetings between 100 and 200 and have staff details containing 'Details'?,3,True,hard
