query,question,iter,flag,hardness
SELECT Name FROM people AS T1 WHERE NOT EXISTS ( SELECT 1 FROM body_builder AS T2 WHERE T2.People_ID = T1.People_ID AND T2.Total > 500 ),What are the names of people who do not have a total body builder score greater than 500?,4,True,hard
SELECT Name FROM people WHERE EXISTS (SELECT 1 FROM body_builder WHERE people.People_ID = body_builder.People_ID AND body_builder.Snatch > (SELECT AVG(Snatch) FROM body_builder) AND body_builder.Clean_Jerk > (SELECT AVG(Clean_Jerk) FROM body_builder)),What are the names of the people who have a better than average snatch and a better than average clean and jerk?,2,True,hard
"SELECT T1.Name, T2.Total FROM people AS T1 JOIN body_builder AS T2 ON T1.People_ID = T2.People_ID WHERE T2.Snatch > 100 AND T2.Clean_Jerk BETWEEN 150 AND (SELECT MAX(Clean_Jerk) FROM body_builder) ORDER BY T2.Total DESC","What are the names of the bodybuilders with a snatch of more than 100 pounds and a clean jerk between 150 and the maximum clean jerk, listed in descending order of their total score?",6,False,extra
"SELECT p.Name, COUNT(b.Body_Builder_ID) FROM people p JOIN body_builder b ON p.People_ID = b.People_ID WHERE b.Total BETWEEN 200 AND 300 AND EXISTS (SELECT 1 FROM body_builder WHERE Snatch > 100 AND Clean_Jerk > 150) GROUP BY p.Name LIMIT 1","Among people with a total body build between 200 and 300 and where there exists a body build with a snatch over 100 and a clean jerk over 150, what is the name of the second person with the most body builds?",2,True,extra
SELECT COUNT(DISTINCT T2.Name) FROM body_builder AS T1 JOIN people AS T2 ON T1.People_ID = T2.People_ID WHERE T1.Snatch >= 200 LIMIT 5,"What are the names of the next 5 distinct body builders who achieved a snatch of 200 or more, after the first 5?",6,False,hard
"SELECT T1.Name, MAX(T2.Total) FROM people AS T1 JOIN body_builder AS T2 ON T1.People_ID = T2.People_ID WHERE T1.Height = 170 AND T2.Snatch > 80 AND NOT EXISTS (SELECT 1 FROM body_builder WHERE People_ID = T2.People_ID AND Snatch < 90) GROUP BY T1.Name ORDER BY T1.Name ASC","What are the names of the 170cm tall people with the highest total score in body building competitions, where they have never achieved a snatch score below 90 and their highest snatch score is above 80, listed in alphabetical order by name?",6,False,extra
SELECT Name FROM people WHERE Birth_Place != 'China' LIMIT 10,What are the names of the next 10 people not born in China?,2,True,medium
"SELECT T1.Name, T2.Snatch FROM people AS T1 JOIN body_builder AS T2 ON T1.People_ID = T2.People_ID WHERE T2.Clean_Jerk > 100 AND T2.Total BETWEEN 200 AND 300 ORDER BY T1.Name ASC","What are the names of body builders with a clean jerk greater than 100 and a total between 200 and 300, listed along with their snatch in ascending order by name?",3,True,hard
"SELECT COUNT(DISTINCT T1.People_ID), T2.Name FROM body_builder AS T1 JOIN people AS T2 ON T1.People_ID = T2.People_ID JOIN people AS T3 ON T2.People_ID = T3.People_ID WHERE T1.Snatch = 200 ORDER BY T3.Weight DESC LIMIT 10","What are the names and number of distinct people ids of the top 10 heaviest people who have a snatch of 200, starting from the 11th heaviest person?",6,False,extra
"SELECT COUNT(DISTINCT T1.People_ID), T2.Name FROM body_builder AS T1 JOIN people AS T2 ON T1.People_ID = T2.People_ID WHERE T1.Total = 1000 ORDER BY T1.Total DESC","What are the names and number of distinct people with a total of 1000 in body building competitions, listed in order of total score in descending order?",6,False,hard
"SELECT T1.Name, COUNT(DISTINCT T2.Snatch), COUNT(DISTINCT T2.Clean_Jerk) FROM people AS T1 JOIN body_builder AS T2 ON T1.People_ID = T2.People_ID WHERE T1.People_ID NOT IN (SELECT People_ID FROM body_builder WHERE Total > 500) LIMIT 10",What are the names of the top 10 bodybuilders with the most distinct snatch and clean jerk records who have a total below 500?,6,False,extra
SELECT AVG(T1.Snatch) FROM body_builder AS T1 WHERE T1.People_ID = 1 OR T1.Snatch BETWEEN 100 AND 200 OR T1.Total NOT IN (SELECT AVG(T2.Total) FROM body_builder AS T2 GROUP BY T2.People_ID),"What is the average snatch of body builders with a people id of 1, or a snatch between 100 and 200, or a total that is not equal to the average total of any group of body builders?",6,True,extra
