query,question,iter,flag,hardness
SELECT AVG(T1.Price) FROM publication AS T1 JOIN book AS T2 ON T1.Book_ID = T2.Book_ID WHERE T1.Publication_Date <= '2000-01-01',"What is the average price of books that were published before January 1st, 2000?",6,False,medium
SELECT T1.Title FROM book AS T1 JOIN publication AS T2 ON T1.Book_ID = T2.Book_ID WHERE T2.Publisher = 'ABC' AND T2.Publication_Date > '2000' AND T1.Issues BETWEEN 1 AND 10 ORDER BY T1.Title ASC LIMIT 10,"What are the next 10 book titles, in alphabetical order, with between 1 and 10 issues, published by 'ABC' after the year 2000?",2,True,extra
SELECT COUNT (DISTINCT Title) FROM book WHERE Issues BETWEEN 1 AND 10 OR Writer = 'Author1',How many distinct book titles have issues between 1 and 10 or are written by 'Author1'?,2,True,medium
"SELECT T1.Title, COUNT(DISTINCT T2.Publisher) FROM book AS T1 JOIN publication AS T2 ON T1.Book_ID = T2.Book_ID WHERE T2.Price < 50 GROUP BY T1.Title ORDER BY T1.Title DESC LIMIT 10","What are the titles of the 11-20 most expensive books with the number of distinct publishers for each, where price is less than 50, ordered by book title in descending order?",3,True,extra
SELECT T1.Title FROM book AS T1 JOIN publication AS T2 ON T1.Book_ID = T2.Book_ID WHERE T2.Price > 20 ORDER BY T1.Writer ASC LIMIT 10,"What are the titles of the books written by the first 10 writers in alphabetical order, given that the books cost more than 20 dollars?",2,True,extra
"SELECT Title, COUNT(Publication_ID) FROM book AS T1 JOIN publication AS T2 ON T1.Book_ID = T2.Book_ID GROUP BY T1.Title",What are the titles of the books and how many publications does each title have?,2,True,medium
"SELECT COUNT(DISTINCT T1.Title), T2.Publisher FROM book AS T1 JOIN publication AS T2 ON T1.Book_ID = T2.Book_ID WHERE T1.Issues > 10 OR T2.Publication_Date BETWEEN '2020-01-01' AND '2020-12-31' OR T2.Price < 20 ORDER BY T1.Title DESC LIMIT 10","What are the distinct book titles and publishers for books with more than 10 issues, published in 2020, or priced under 20, listed in descending order by title?",6,False,extra
"SELECT T1.Title, T2.Publisher FROM book AS T1 JOIN publication AS T2 ON T1.Book_ID = T2.Book_ID JOIN publication AS T3 ON T2.Book_ID = T3.Book_ID WHERE T2.Publisher = 'Publisher1' AND T1.Writer = 'Writer1' AND T3.Price > (SELECT AVG(Price) FROM publication) ORDER BY T1.Title ASC LIMIT 10","What are the titles of books written by 'Writer1' and published by 'Publisher1', where the price is higher than the average price, listed in ascending order, starting from the 11th result?",6,False,extra
"SELECT Publisher, Title FROM publication AS T1 INNER JOIN book AS T2 ON T1.Book_ID = T2.Book_ID WHERE Publication_Date > '1990' ORDER BY Publication_ID DESC LIMIT 10","What are the publishers and titles of the publications published after 1990, listed in descending order of publication id, from the 11th to the 20th?",2,True,extra
"SELECT T1.Title, T2.Title FROM book AS T1 JOIN book AS T2 ON T1.Book_ID <= T2.Book_ID",What are all possible pairs of book titles where the first book's id is less than or equal to the second book's id?,6,False,medium
SELECT * FROM publication WHERE NOT EXISTS (SELECT 1 FROM book WHERE publication.Book_ID = book.Book_ID AND book.Issues = 1 AND publication.Price > 10),What publications do not have a book counterpart with 1 issue and a publication price greater than 10?,6,False,hard
"SELECT COUNT(DISTINCT Publisher), COUNT(Book_ID) FROM publication WHERE Publication_Date = (SELECT MAX(Publication_Date) FROM publication) ORDER BY Price DESC","What are the number of distinct publishers and the total number of books published on the most recent publication date, listed in order of highest to lowest price?",6,False,extra
SELECT T1.Publisher FROM publication AS T1 JOIN publication AS T2 ON T1.Publication_ID = T2.Publication_ID WHERE T1.Price NOT IN (SELECT Price FROM publication WHERE Publication_Date = '2000') ORDER BY T1.Price DESC,"What are the publishers of publications with prices different from those published in 2000, sorted by price in descending order?",4,True,extra
"SELECT COUNT(DISTINCT Publisher), Title FROM publication AS T1 JOIN book AS T2 ON T1.Book_ID = T2.Book_ID WHERE Publication_Date BETWEEN '1990' AND '2000'",What are the titles of books published by distinct publishers between 1990 and 2000 and how many distinct publishers are there for each title?,6,False,medium
SELECT Publisher FROM publication WHERE Publication_Date <= '1999-01-01' AND Price <= 30.00,"Who are the publishers of all publications that were published on or before January 1st, 1999, and cost $30 or less?",3,True,medium
"SELECT T1.Title, SUM(T2.Price) FROM book AS T1 JOIN publication AS T2 ON T1.Book_ID = T2.Book_ID JOIN publication AS T3 ON T2.Book_ID = T3.Book_ID WHERE T2.Publication_Date <= '2000' GROUP BY T1.Title LIMIT 10","What are the titles of books along with their total publication price for publications before or in the year 2000, listed from 11th to 20th?",2,True,extra
SELECT COUNT(DISTINCT T1.Publisher) FROM publication AS T1 WHERE T1.Price > (SELECT COUNT(DISTINCT T2.Writer) FROM book AS T2) LIMIT 5,"What is the count of distinct publishers whose books' prices are higher than the count of distinct writers, returning rows 6 to 10?",3,True,extra
