query,question,iter,flag,hardness
SELECT id FROM Web_client_accelerator WHERE Operating_system = 'Windows' OR id NOT IN ( SELECT accelerator_id FROM accelerator_compatible_browser WHERE browser_id = 1 ) LIMIT 10,What are the IDs of the first 10 web client accelerators that are either compatible with the Windows operating system or not compatible with browser ID 1?,2,True,extra
"SELECT COUNT(name), COUNT(Operating_system) FROM Web_client_accelerator WHERE Client != 'Win32'",How many web client accelerator names and operating systems are there for non-Win32 clients?,2,True,medium
SELECT COUNT(DISTINCT T1.name) FROM Web_client_accelerator AS T1 WHERE NOT EXISTS (SELECT T3.accelerator_id FROM accelerator_compatible_browser AS T3 JOIN browser AS T2 ON T3.browser_id = T2.id WHERE T1.id = T3.accelerator_id AND T2.market_share > 0.5) LIMIT 10,What are the names of the 10 distinct web client accelerators that are not compatible with any browser having a market share of more than 0.5?,2,True,extra
"SELECT T2.name, MAX(T2.market_share) FROM Web_client_accelerator AS T1 JOIN browser AS T2 ON T1.id = T2.id WHERE T2.name = ( SELECT name FROM browser WHERE market_share > 0.5 ) GROUP BY T2.name",What are the names and maximum market share of browsers with a market share greater than 0.5?,6,False,extra
"SELECT COUNT(DISTINCT T1.name), T1.name, T1.name FROM Web_client_accelerator AS T1 WHERE T1.name = 'Web_client_accelerator'",What are the distinct names of the web client accelerators named 'Web_client_accelerator' and how many are there?,6,False,medium
SELECT name FROM Web_client_accelerator WHERE id > 5 LIMIT 10,What are the names of the next 10 web client accelerators with an id greater than 5?,2,True,medium
"SELECT T1.name, COUNT(T2.browser_id) FROM Web_client_accelerator AS T1 JOIN accelerator_compatible_browser AS T2 ON T1.id = T2.accelerator_id WHERE T1.Connection = 'SSL' AND T2.compatible_since_year <= 2010",What are the names of web client accelerators that use SSL connections and the number of browsers that are compatible with them since 2010 or before?,5,True,extra
"SELECT T1.name, COUNT(DISTINCT T2.name) FROM Web_client_accelerator AS T1 JOIN accelerator_compatible_browser AS T3 ON T1.id = T3.accelerator_id JOIN browser AS T2 ON T3.browser_id = T2.id WHERE T2.market_share <= 0.5 GROUP BY T1.name HAVING COUNT(T2.name) > 1",What are the names of web client accelerators compatible with more than one browser with a market share of 0.5 or less?,6,False,extra
SELECT AVG(T2.market_share) FROM Web_client_accelerator AS T1 JOIN accelerator_compatible_browser AS T3 ON T1.id = T3.accelerator_id JOIN browser AS T2 ON T3.browser_id = T2.id WHERE T1.id < 10,What is the average market share of the browsers that are compatible with the first 9 web client accelerators?,3,True,hard
"SELECT COUNT(DISTINCT T1.name), COUNT(T1.id) FROM Web_client_accelerator AS T1 WHERE T1.id = 1 AND T1.Operating_system = 'Windows' AND T1.Connection BETWEEN '2020-01-01' AND '2020-12-31' ORDER BY T1.id DESC LIMIT 10","How many unique names and total entries of web client accelerators are there for Windows operating system and connections made in the year 2020, listed in descending order of id starting from the 11th entry?",6,False,extra
"SELECT T1.name, T2.market_share FROM Web_client_accelerator AS T1 JOIN accelerator_compatible_browser AS T3 ON T1.id = T3.accelerator_id JOIN browser AS T2 ON T3.browser_id = T2.id WHERE T1.id < 5 ORDER BY T1.name DESC LIMIT 10","What are the names and market shares of browsers compatible with the top 10 web client accelerators with ids less than 5 when ordered by accelerator name in descending order, starting from the 11th accelerator?",6,False,extra
"SELECT T1.name, T2.market_share, SUM(T1.id) FROM Web_client_accelerator AS T1 JOIN accelerator_compatible_browser AS T3 ON T1.id = T3.accelerator_id JOIN browser AS T2 ON T2.id = T3.browser_id WHERE T1.Client != T2.name GROUP BY T2.market_share ORDER BY T2.market_share ASC LIMIT 5","What are the names of web client accelerators and their corresponding browser market share, excluding cases where the client and browser have the same name, ordered by market share in ascending order, from the 6th to the 10th result?",6,False,extra
"SELECT T1.name, T2.name FROM Web_client_accelerator AS T1 JOIN accelerator_compatible_browser AS T3 ON T1.id = T3.accelerator_id JOIN browser AS T2 ON T2.id = T3.browser_id WHERE T3.compatible_since_year BETWEEN 2000 AND 2010",What are the names of the web client accelerators and compatible browsers that were compatible between the years 2000 and 2010?,2,True,hard
"SELECT COUNT(DISTINCT T1.name), T2.name FROM Web_client_accelerator AS T1 JOIN accelerator_compatible_browser AS T3 ON T1.id = T3.accelerator_id JOIN browser AS T2 ON T2.id = T3.browser_id WHERE T1.id > 1","What are the names of the browsers that are compatible with web client accelerators with id greater than 1, and how many distinct web client accelerators are there in this case?",6,False,hard
SELECT T1.name FROM Web_client_accelerator AS T1 WHERE T1.id IN ( SELECT T2.accelerator_id FROM accelerator_compatible_browser AS T2 ) ORDER BY T1.id DESC LIMIT 10,"What are the names of the 11th to 20th web client accelerators that are compatible with at least one browser, sorted in descending order of their IDs?",2,True,extra
